Tarih,TP_AB_C1,TP_AB_C1
2001-05-04,2001-18,1005.0
2001-05-11,2001-19,1005.0
2001-05-18,2001-20,1005.0
2001-05-25,2001-21,1005.0
2001-06-01,2001-22,1005.0
2001-06-08,2001-23,1005.0
2001-06-15,2001-24,1005.0
2001-06-22,2001-25,1005.0
2001-06-29,2001-26,1005.0
2001-07-06,2001-27,1005.0
2001-07-13,2001-28,1005.0
2001-07-20,2001-29,1005.0
2001-07-27,2001-30,1005.0
2001-08-03,2001-31,1005.0
2001-08-10,2001-32,1005.0
2001-08-17,2001-33,1005.0
2001-08-24,2001-34,1005.0
2001-08-31,2001-35,1005.0
2001-09-07,2001-36,1005.0
2001-09-14,2001-37,1005.0
2001-09-21,2001-38,1005.0
2001-09-28,2001-39,1004.0
2001-10-05,2001-40,1004.0
2001-10-12,2001-41,1004.0
2001-10-19,2001-42,1004.0
2001-10-26,2001-43,1004.0
2001-11-02,2001-44,1004.0
2001-11-09,2001-45,1004.0
2001-11-16,2001-46,1004.0
2001-11-23,2001-47,1004.0
2001-11-30,2001-48,1004.0
2001-12-07,2001-49,1004.0
2001-12-14,2001-50,1004.0
2001-12-21,2001-51,1004.0
2001-12-28,2001-52,1004.0
2002-01-04,2002-1,1032.0
2002-01-11,2002-2,1032.0
2002-01-18,2002-3,1032.0
2002-01-25,2002-4,1032.0
2002-02-01,2002-5,1032.0
2002-02-08,2002-6,1032.0
2002-02-15,2002-7,1032.0
2002-02-22,2002-8,1032.0
2002-03-01,2002-9,1032.0
2002-03-08,2002-10,1032.0
2002-03-15,2002-11,1032.0
2002-03-22,2002-12,1032.0
2002-03-29,2002-13,1032.0
2002-04-05,2002-14,1032.0
2002-04-12,2002-15,1032.0
2002-04-19,2002-16,1032.0
2002-04-26,2002-17,1032.0
2002-05-03,2002-18,1032.0
2002-05-10,2002-19,1032.0
2002-05-17,2002-20,1032.0
2002-05-24,2002-21,1032.0
2002-05-31,2002-22,1032.0
2002-06-07,2002-23,1032.0
2002-06-14,2002-24,1032.0
2002-06-21,2002-25,1032.0
2002-06-28,2002-26,1032.0
2002-07-05,2002-27,1032.0
2002-07-12,2002-28,1032.0
2002-07-19,2002-29,1032.0
2002-07-26,2002-30,1032.0
2002-08-02,2002-31,1032.0
2002-08-09,2002-32,1032.0
2002-08-16,2002-33,1032.0
2002-08-23,2002-34,1032.0
2002-08-30,2002-35,1032.0
2002-09-06,2002-36,1032.0
2002-09-13,2002-37,1032.0
2002-09-20,2002-38,1032.0
2002-09-27,2002-39,1032.0
2002-10-04,2002-40,1032.0
2002-10-11,2002-41,1032.0
2002-10-18,2002-42,1032.0
2002-10-25,2002-43,1032.0
2002-11-01,2002-44,1032.0
2002-11-08,2002-45,1032.0
2002-11-15,2002-46,1032.0
2002-11-22,2002-47,1032.0
2002-11-29,2002-48,1032.0
2002-12-06,2002-49,1032.0
2002-12-13,2002-50,1032.0
2002-12-20,2002-51,1032.0
2002-12-27,2002-52,1032.0
2003-01-03,2003-1,1279.0
2003-01-10,2003-2,1279.0
2003-01-17,2003-3,1279.0
2003-01-24,2003-4,1279.0
2003-01-31,2003-5,1279.0
2003-02-07,2003-6,1279.0
2003-02-14,2003-7,1279.0
2003-02-21,2003-8,1279.0
2003-02-28,2003-9,1279.0
2003-03-07,2003-10,1279.0
2003-03-14,2003-11,1279.0
2003-03-21,2003-12,1279.0
2003-03-28,2003-13,1279.0
2003-04-04,2003-14,1279.0
2003-04-11,2003-15,1279.0
2003-04-18,2003-16,1279.0
2003-04-25,2003-17,1279.0
2003-05-02,2003-18,1279.0
2003-05-09,2003-19,1279.0
2003-05-16,2003-20,1279.0
2003-05-23,2003-21,1279.0
2003-05-30,2003-22,1279.0
2003-06-06,2003-23,1279.0
2003-06-13,2003-24,1279.0
2003-06-20,2003-25,1279.0
2003-06-27,2003-26,1279.0
2003-07-04,2003-27,1279.0
2003-07-11,2003-28,1279.0
2003-07-18,2003-29,1279.0
2003-07-25,2003-30,1279.0
2003-08-01,2003-31,1279.0
2003-08-08,2003-32,1279.0
2003-08-15,2003-33,1279.0
2003-08-22,2003-34,1279.0
2003-08-29,2003-35,1279.0
2003-09-05,2003-36,1279.0
2003-09-12,2003-37,1279.0
2003-09-19,2003-38,1279.0
2003-09-26,2003-39,1279.0
2003-10-03,2003-40,1279.0
2003-10-10,2003-41,1279.0
2003-10-17,2003-42,1279.0
2003-10-24,2003-43,1279.0
2003-10-31,2003-44,1279.0
2003-11-07,2003-45,1279.0
2003-11-14,2003-46,1279.0
2003-11-21,2003-47,1279.0
2003-11-28,2003-48,1279.0
2003-12-05,2003-49,1279.0
2003-12-12,2003-50,1279.0
2003-12-19,2003-51,1279.0
2003-12-26,2003-52,1279.0
2004-01-02,2004-1,1558.0
2004-01-09,2004-2,1558.0
2004-01-16,2004-3,1558.0
2004-01-23,2004-4,1558.0
2004-01-30,2004-5,1558.0
2004-02-06,2004-6,1558.0
2004-02-13,2004-7,1558.0
2004-02-20,2004-8,1558.0
2004-02-27,2004-9,1558.0
2004-03-05,2004-10,1558.0
2004-03-12,2004-11,1558.0
2004-03-19,2004-12,1558.0
2004-03-26,2004-13,1558.0
2004-04-02,2004-14,1580.0
2004-04-09,2004-15,1580.0
2004-04-16,2004-16,1580.0
2004-04-23,2004-17,1580.0
2004-04-30,2004-18,1580.0
2004-05-07,2004-19,1580.0
2004-05-14,2004-20,1580.0
2004-05-21,2004-21,1580.0
2004-05-28,2004-22,1580.0
2004-06-04,2004-23,1580.0
2004-06-11,2004-24,1580.0
2004-06-18,2004-25,1580.0
2004-06-25,2004-26,1580.0
2004-07-02,2004-27,1474.0
2004-07-09,2004-28,1474.0
2004-07-16,2004-29,1474.0
2004-07-23,2004-30,1474.0
2004-07-30,2004-31,1474.0
2004-08-06,2004-32,1474.0
2004-08-13,2004-33,1474.0
2004-08-20,2004-34,1474.0
2004-08-27,2004-35,1474.0
2004-09-03,2004-36,1474.0
2004-09-10,2004-37,1474.0
2004-09-17,2004-38,1474.0
2004-09-24,2004-39,1474.0
2004-10-01,2004-40,1545.0
2004-10-08,2004-41,1545.0
2004-10-15,2004-42,1545.0
2004-10-22,2004-43,1545.0
2004-10-29,2004-44,1545.0
2004-11-05,2004-45,1545.0
2004-11-12,2004-46,1545.0
2004-11-19,2004-47,1545.0
2004-11-26,2004-48,1545.0
2004-12-03,2004-49,1545.0
2004-12-10,2004-50,1545.0
2004-12-17,2004-51,1545.0
2004-12-24,2004-52,1545.0
2004-12-31,2004-53,1635.0
2005-01-07,2005-1,1635.0
2005-01-14,2005-2,1635.0
2005-01-21,2005-3,1635.0
2005-01-28,2005-4,1635.0
2005-02-04,2005-5,1635.0
2005-02-11,2005-6,1635.0
2005-02-18,2005-7,1635.0
2005-02-25,2005-8,1635.0
2005-03-04,2005-9,1635.0
2005-03-11,2005-10,1635.0
2005-03-18,2005-11,1635.0
2005-03-25,2005-12,1635.0
2005-04-01,2005-13,1596.0
2005-04-08,2005-14,1596.0
2005-04-15,2005-15,1596.0
2005-04-22,2005-16,1596.0
2005-04-29,2005-17,1596.0
2005-05-06,2005-18,1596.0
2005-05-13,2005-19,1596.0
2005-05-20,2005-20,1596.0
2005-05-27,2005-21,1596.0
2005-06-03,2005-22,1596.0
2005-06-10,2005-23,1596.0
2005-06-17,2005-24,1596.0
2005-06-24,2005-25,1596.0
2005-07-01,2005-26,1631.0
2005-07-08,2005-27,1631.0
2005-07-15,2005-28,1631.0
2005-07-22,2005-29,1631.0
2005-07-29,2005-30,1631.0
2005-08-05,2005-31,1631.0
2005-08-12,2005-32,1631.0
2005-08-19,2005-33,1631.0
2005-08-26,2005-34,1631.0
2005-09-02,2005-35,1631.0
2005-09-09,2005-36,1631.0
2005-09-16,2005-37,1631.0
2005-09-23,2005-38,1631.0
2005-09-30,2005-39,1767.0
2005-10-07,2005-40,1767.0
2005-10-14,2005-41,1767.0
2005-10-21,2005-42,1767.0
2005-10-28,2005-43,1767.0
2005-11-04,2005-44,1767.0
2005-11-11,2005-45,1767.0
2005-11-18,2005-46,1767.0
2005-11-25,2005-47,1767.0
2005-12-02,2005-48,1767.0
2005-12-09,2005-49,1767.0
2005-12-16,2005-50,1767.0
2005-12-23,2005-51,1767.0
2005-12-30,2005-52,1915.0
2006-01-06,2006-1,1915.0
2006-01-13,2006-2,1915.0
2006-01-20,2006-3,1915.0
2006-01-27,2006-4,1915.0
2006-02-03,2006-5,1915.0
2006-02-10,2006-6,1915.0
2006-02-17,2006-7,1915.0
2006-02-24,2006-8,1915.0
2006-03-03,2006-9,1915.0
2006-03-10,2006-10,1915.0
2006-03-17,2006-11,1915.0
2006-03-24,2006-12,1915.0
2006-03-31,2006-13,2176.0
2006-04-07,2006-14,2176.0
2006-04-14,2006-15,2176.0
2006-04-21,2006-16,2176.0
2006-04-28,2006-17,2176.0
2006-05-05,2006-18,2176.0
2006-05-12,2006-19,2176.0
2006-05-19,2006-20,2176.0
2006-05-26,2006-21,2176.0
2006-06-02,2006-22,2176.0
2006-06-09,2006-23,2176.0
2006-06-16,2006-24,2176.0
2006-06-23,2006-25,2176.0
2006-06-30,2006-26,2266.0
2006-07-07,2006-27,2266.0
2006-07-14,2006-28,2266.0
2006-07-21,2006-29,2266.0
2006-07-28,2006-30,2266.0
2006-08-04,2006-31,2266.0
2006-08-11,2006-32,2266.0
2006-08-18,2006-33,2266.0
2006-08-25,2006-34,2266.0
2006-09-01,2006-35,2266.0
2006-09-08,2006-36,2266.0
2006-09-15,2006-37,2266.0
2006-09-22,2006-38,2266.0
2006-09-29,2006-39,2242.0
2006-10-06,2006-40,2242.0
2006-10-13,2006-41,2242.0
2006-10-20,2006-42,2242.0
2006-10-27,2006-43,2242.0
2006-11-03,2006-44,2242.0
2006-11-10,2006-45,2242.0
2006-11-17,2006-46,2242.0
2006-11-24,2006-47,2242.0
2006-12-01,2006-48,2242.0
2006-12-08,2006-49,2242.0
2006-12-15,2006-50,2242.0
2006-12-22,2006-51,2242.0
2006-12-29,2006-52,2373.0
2007-01-05,2007-1,2373.0
2007-01-12,2007-2,2373.0
2007-01-19,2007-3,2373.0
2007-01-26,2007-4,2373.0
2007-02-02,2007-5,2373.0
2007-02-09,2007-6,2373.0
2007-02-16,2007-7,2373.0
2007-02-23,2007-8,2373.0
2007-03-02,2007-9,2373.0
2007-03-09,2007-10,2373.0
2007-03-16,2007-11,2373.0
2007-03-23,2007-12,2373.0
2007-03-30,2007-13,2473.0
2007-04-06,2007-14,2473.0
2007-04-13,2007-15,2473.0
2007-04-20,2007-16,2473.0
2007-04-27,2007-17,2473.0
2007-05-04,2007-18,2473.0
2007-05-11,2007-19,2473.0
2007-05-18,2007-20,2473.0
2007-05-25,2007-21,2473.0
2007-06-01,2007-22,2473.0
2007-06-08,2007-23,2473.0
2007-06-15,2007-24,2473.0
2007-06-22,2007-25,2473.0
2007-06-29,2007-26,2424.0
2007-07-06,2007-27,2424.0
2007-07-13,2007-28,2424.0
2007-07-20,2007-29,2424.0
2007-07-27,2007-30,2424.0
2007-08-03,2007-31,2424.0
2007-08-10,2007-32,2424.0
2007-08-17,2007-33,2424.0
2007-08-24,2007-34,2424.0
2007-08-31,2007-35,2424.0
2007-09-07,2007-36,2424.0
2007-09-14,2007-37,2424.0
2007-09-21,2007-38,2424.0
2007-09-28,2007-39,2764.0
2007-10-05,2007-40,2764.0
2007-10-12,2007-41,2764.0
2007-10-19,2007-42,2764.0
2007-10-26,2007-43,2764.0
2007-11-02,2007-44,2764.0
2007-11-09,2007-45,2764.0
2007-11-16,2007-46,2764.0
2007-11-23,2007-47,2764.0
2007-11-30,2007-48,2764.0
2007-12-07,2007-49,2764.0
2007-12-14,2007-50,2764.0
2007-12-21,2007-51,2764.0
2007-12-28,2007-52,2764.0
2008-01-04,2008-1,3123.0
2008-01-11,2008-2,3123.0
2008-01-18,2008-3,3123.0
2008-01-25,2008-4,3123.0
2008-02-01,2008-5,3123.0
2008-02-08,2008-6,3123.0
2008-02-15,2008-7,3123.0
2008-02-22,2008-8,3123.0
2008-02-29,2008-9,3123.0
2008-03-07,2008-10,3123.0
2008-03-14,2008-11,3123.0
2008-03-21,2008-12,3123.0
2008-03-28,2008-13,3123.0
2008-04-04,2008-14,3492.0
2008-04-11,2008-15,3492.0
2008-04-18,2008-16,3492.0
2008-04-25,2008-17,3492.0
2008-05-02,2008-18,3492.0
2008-05-09,2008-19,3492.0
2008-05-16,2008-20,3492.0
2008-05-23,2008-21,3492.0
2008-05-30,2008-22,3492.0
2008-06-06,2008-23,3492.0
2008-06-13,2008-24,3492.0
2008-06-20,2008-25,3492.0
2008-06-27,2008-26,3492.0
2008-07-04,2008-27,3477.0
2008-07-11,2008-28,3477.0
2008-07-18,2008-29,3477.0
2008-07-25,2008-30,3477.0
2008-08-01,2008-31,3477.0
2008-08-08,2008-32,3477.0
2008-08-15,2008-33,3477.0
2008-08-22,2008-34,3477.0
2008-08-29,2008-35,3477.0
2008-09-05,2008-36,3477.0
2008-09-12,2008-37,3477.0
2008-09-19,2008-38,3477.0
2008-09-26,2008-39,3477.0
2008-10-03,2008-40,3272.0
2008-10-10,2008-41,3272.0
2008-10-17,2008-42,3272.0
2008-10-24,2008-43,3272.0
2008-10-31,2008-44,3272.0
2008-11-07,2008-45,3272.0
2008-11-14,2008-46,3272.0
2008-11-21,2008-47,3272.0
2008-11-28,2008-48,3272.0
2008-12-05,2008-49,3272.0
2008-12-12,2008-50,3272.0
2008-12-19,2008-51,3272.0
2008-12-26,2008-52,3272.0
2009-01-02,2009-1,3229.0
2009-01-09,2009-2,3229.0
2009-01-16,2009-3,3229.0
2009-01-23,2009-4,3229.0
2009-01-30,2009-5,3229.0
2009-02-06,2009-6,3229.0
2009-02-13,2009-7,3229.0
2009-02-20,2009-8,3229.0
2009-02-27,2009-9,3229.0
2009-03-06,2009-10,3229.0
2009-03-13,2009-11,3229.0
2009-03-20,2009-12,3229.0
2009-03-27,2009-13,3229.0
2009-04-03,2009-14,3425.0
2009-04-10,2009-15,3425.0
2009-04-17,2009-16,3425.0
2009-04-24,2009-17,3425.0
2009-05-01,2009-18,3425.0
2009-05-08,2009-19,3425.0
2009-05-15,2009-20,3425.0
2009-05-22,2009-21,3425.0
2009-05-29,2009-22,3425.0
2009-06-05,2009-23,3425.0
2009-06-12,2009-24,3425.0
2009-06-19,2009-25,3425.0
2009-06-26,2009-26,3425.0
2009-07-03,2009-27,3500.0
2009-07-10,2009-28,3500.0
2009-07-17,2009-29,3500.0
2009-07-24,2009-30,3500.0
2009-07-31,2009-31,3500.0
2009-08-07,2009-32,3500.0
2009-08-14,2009-33,3500.0
2009-08-21,2009-34,3500.0
2009-08-28,2009-35,3500.0
2009-09-04,2009-36,3500.0
2009-09-11,2009-37,3500.0
2009-09-18,2009-38,3500.0
2009-09-25,2009-39,3500.0
2009-10-02,2009-40,3727.0
2009-10-09,2009-41,3727.0
2009-10-16,2009-42,3727.0
2009-10-23,2009-43,3727.0
2009-10-30,2009-44,3727.0
2009-11-06,2009-45,3727.0
2009-11-13,2009-46,3727.0
2009-11-20,2009-47,3727.0
2009-11-27,2009-48,3727.0
2009-12-04,2009-49,3727.0
2009-12-11,2009-50,3727.0
2009-12-18,2009-51,3727.0
2009-12-25,2009-52,3727.0
2010-01-01,2010-1,4121.0
2010-01-08,2010-2,4121.0
2010-01-15,2010-3,4121.0
2010-01-22,2010-4,4121.0
2010-01-29,2010-5,4121.0
2010-02-05,2010-6,4121.0
2010-02-12,2010-7,4121.0
2010-02-19,2010-8,4121.0
2010-02-26,2010-9,4121.0
2010-03-05,2010-10,4121.0
2010-03-12,2010-11,4121.0
2010-03-19,2010-12,4121.0
2010-03-26,2010-13,4121.0
2010-04-02,2010-14,4153.0
2010-04-09,2010-15,4153.0
2010-04-16,2010-16,4153.0
2010-04-23,2010-17,4153.0
2010-04-30,2010-18,4153.0
2010-05-07,2010-19,4153.0
2010-05-14,2010-20,4153.0
2010-05-21,2010-21,4153.0
2010-05-28,2010-22,4153.0
2010-06-04,2010-23,4153.0
2010-06-11,2010-24,4153.0
2010-06-18,2010-25,4153.0
2010-06-25,2010-26,4153.0
2010-07-02,2010-27,4637.0
2010-07-09,2010-28,4637.0
2010-07-16,2010-29,4637.0
2010-07-23,2010-30,4637.0
2010-07-30,2010-31,4637.0
2010-08-06,2010-32,4637.0
2010-08-13,2010-33,4637.0
2010-08-20,2010-34,4637.0
2010-08-27,2010-35,4637.0
2010-09-03,2010-36,4637.0
2010-09-10,2010-37,4637.0
2010-09-17,2010-38,4637.0
2010-09-24,2010-39,4637.0
2010-10-01,2010-40,4886.0
2010-10-08,2010-41,4886.0
2010-10-15,2010-42,4886.0
2010-10-22,2010-43,4886.0
2010-10-29,2010-44,4886.0
2010-11-05,2010-45,4886.0
2010-11-12,2010-46,4886.0
2010-11-19,2010-47,4886.0
2010-11-26,2010-48,4886.0
2010-12-03,2010-49,4886.0
2010-12-10,2010-50,4886.0
2010-12-17,2010-51,4886.0
2010-12-24,2010-52,4886.0
2010-12-31,2010-53,5264.0
2011-01-07,2011-1,5264.0
2011-01-14,2011-2,5264.0
2011-01-21,2011-3,5264.0
2011-01-28,2011-4,5264.0
2011-02-04,2011-5,5264.0
2011-02-11,2011-6,5264.0
2011-02-18,2011-7,5264.0
2011-02-25,2011-8,5264.0
2011-03-04,2011-9,5264.0
2011-03-11,2011-10,5264.0
2011-03-18,2011-11,5264.0
2011-03-25,2011-12,5264.0
2011-04-01,2011-13,5357.0
2011-04-08,2011-14,5357.0
2011-04-15,2011-15,5357.0
2011-04-22,2011-16,5357.0
2011-04-29,2011-17,5357.0
2011-05-06,2011-18,5357.0
2011-05-13,2011-19,5357.0
2011-05-20,2011-20,5357.0
2011-05-27,2011-21,5357.0
2011-06-03,2011-22,5357.0
2011-06-10,2011-23,5357.0
2011-06-17,2011-24,5357.0
2011-06-24,2011-25,5357.0
2011-07-01,2011-26,5624.0
2011-07-08,2011-27,5624.0
2011-07-15,2011-28,5624.0
2011-07-22,2011-29,5624.0
2011-07-29,2011-30,5624.0
2011-08-05,2011-31,5624.0
2011-08-12,2011-32,5624.0
2011-08-19,2011-33,5624.0
2011-08-26,2011-34,5624.0
2011-09-02,2011-35,5624.0
2011-09-09,2011-36,5624.0
2011-09-16,2011-37,5624.0
2011-09-23,2011-38,5624.0
2011-09-30,2011-39,6064.0
2011-10-07,2011-40,6064.0
2011-10-14,2011-41,6064.0
2011-10-21,2011-42,6064.0
2011-10-28,2011-43,7195.0
2011-11-04,2011-44,7190.0
2011-11-11,2011-45,8776.0
2011-11-18,2011-46,8776.0
2011-11-25,2011-47,9362.0
2011-12-02,2011-48,9353.0
2011-12-09,2011-49,9547.0
2011-12-16,2011-50,9547.0
2011-12-23,2011-51,10202.0
2011-12-30,2011-52,9888.0
2012-01-06,2012-1,10090.0
2012-01-13,2012-2,10090.0
2012-01-20,2012-3,10095.0
2012-01-27,2012-4,10095.0
2012-02-03,2012-5,11126.0
2012-02-10,2012-6,11126.0
2012-02-17,2012-7,11090.0
2012-02-24,2012-8,11090.0
2012-03-02,2012-9,11556.0
2012-03-09,2012-10,11556.0
2012-03-16,2012-11,11626.0
2012-03-23,2012-12,11626.0
2012-03-30,2012-13,11198.0
2012-04-06,2012-14,11198.0
2012-04-13,2012-15,12642.0
2012-04-20,2012-16,12642.0
2012-04-27,2012-17,12783.0
2012-05-04,2012-18,12746.0
2012-05-11,2012-19,12829.0
2012-05-18,2012-20,12829.0
2012-05-25,2012-21,13050.0
2012-06-01,2012-22,12309.0
2012-06-08,2012-23,12244.0
2012-06-15,2012-24,12244.0
2012-06-22,2012-25,12271.0
2012-06-29,2012-26,12438.0
2012-07-06,2012-27,12667.0
2012-07-13,2012-28,12667.0
2012-07-20,2012-29,14712.0
2012-07-27,2012-30,14712.0
2012-08-03,2012-31,15357.0
2012-08-10,2012-32,15357.0
2012-08-17,2012-33,15403.0
2012-08-24,2012-34,15403.0
2012-08-31,2012-35,15706.0
2012-09-07,2012-36,15706.0
2012-09-14,2012-37,16182.0
2012-09-21,2012-38,16182.0
2012-09-28,2012-39,17289.0
2012-10-05,2012-40,17289.0
2012-10-12,2012-41,18015.0
2012-10-19,2012-42,18015.0
2012-10-26,2012-43,18015.0
2012-11-02,2012-44,17675.0
2012-11-09,2012-45,18053.0
2012-11-16,2012-46,18053.0
2012-11-23,2012-47,18109.0
2012-11-30,2012-48,18200.0
2012-12-07,2012-49,18270.0
2012-12-14,2012-50,18270.0
2012-12-21,2012-51,19970.0
2012-12-28,2012-52,19970.0
2013-01-04,2013-1,20414.0
2013-01-11,2013-2,20414.0
2013-01-18,2013-3,19793.0
2013-01-25,2013-4,19793.0
2013-02-01,2013-5,19922.0
2013-02-08,2013-6,19922.0
2013-02-15,2013-7,20168.0
2013-02-22,2013-8,20168.0
2013-03-01,2013-9,19831.0
2013-03-08,2013-10,19831.0
2013-03-15,2013-11,20305.0
2013-03-22,2013-12,20305.0
2013-03-29,2013-13,21037.0
2013-04-05,2013-14,20962.0
2013-04-12,2013-15,21361.0
2013-04-19,2013-16,21361.0
2013-04-26,2013-17,21974.0
2013-05-03,2013-18,20196.0
2013-05-10,2013-19,21151.0
2013-05-17,2013-20,21151.0
2013-05-24,2013-21,21056.0
2013-05-31,2013-22,20075.0
2013-06-07,2013-23,20172.0
2013-06-14,2013-24,20172.0
2013-06-21,2013-25,19905.0
2013-06-28,2013-26,16999.0
2013-07-05,2013-27,16749.0
2013-07-12,2013-28,16749.0
2013-07-19,2013-29,17871.0
2013-07-26,2013-30,17865.0
2013-08-02,2013-31,20986.0
2013-08-09,2013-32,20986.0
2013-08-16,2013-33,20729.0
2013-08-23,2013-34,20729.0
2013-08-30,2013-35,22045.0
2013-09-06,2013-36,21701.0
2013-09-13,2013-37,20900.0
2013-09-20,2013-38,20900.0
2013-09-27,2013-39,22176.0
2013-10-04,2013-40,20981.0
2013-10-11,2013-41,20846.0
2013-10-18,2013-42,20846.0
2013-10-25,2013-43,21537.0
2013-11-01,2013-44,21500.0
2013-11-08,2013-45,21218.0
2013-11-15,2013-46,21218.0
2013-11-22,2013-47,21633.0
2013-11-29,2013-48,20335.0
2013-12-06,2013-49,20818.0
2013-12-13,2013-50,20818.0
2013-12-20,2013-51,20872.0
2013-12-27,2013-52,20872.0
2014-01-03,2014-1,19995.0
2014-01-10,2014-2,19995.0
2014-01-17,2014-3,19265.0
2014-01-24,2014-4,19265.0
2014-01-31,2014-5,19615.0
2014-02-07,2014-6,19615.0
2014-02-14,2014-7,19845.0
2014-02-21,2014-8,19845.0
2014-02-28,2014-9,21242.0
2014-03-07,2014-10,21242.0
2014-03-14,2014-11,20872.0
2014-03-21,2014-12,20872.0
2014-03-28,2014-13,20631.0
2014-04-04,2014-14,20099.0
2014-04-11,2014-15,20371.0
2014-04-18,2014-16,20371.0
2014-04-25,2014-17,20658.0
2014-05-02,2014-18,20616.0
2014-05-09,2014-19,20642.0
2014-05-16,2014-20,20642.0
2014-05-23,2014-21,20865.0
2014-05-30,2014-22,20251.0
2014-06-06,2014-23,20358.0
2014-06-13,2014-24,20358.0
2014-06-20,2014-25,20651.0
2014-06-27,2014-26,20651.0
2014-07-04,2014-27,21565.0
2014-07-11,2014-28,21565.0
2014-07-18,2014-29,21488.0
2014-07-25,2014-30,21488.0
2014-08-01,2014-31,21100.0
2014-08-08,2014-32,21101.0
2014-08-15,2014-33,21546.0
2014-08-22,2014-34,21546.0
2014-08-29,2014-35,21151.0
2014-09-05,2014-36,21151.0
2014-09-12,2014-37,21201.0
2014-09-19,2014-38,21201.0
2014-09-26,2014-39,21651.0
2014-10-03,2014-40,20430.0
2014-10-10,2014-41,20381.0
2014-10-17,2014-42,20381.0
2014-10-24,2014-43,20323.0
2014-10-31,2014-44,19577.0
2014-11-07,2014-45,19561.0
2014-11-14,2014-46,19561.0
2014-11-21,2014-47,20027.0
2014-11-28,2014-48,20281.0
2014-12-05,2014-49,20186.0
2014-12-12,2014-50,20186.0
2014-12-19,2014-51,20134.0
2014-12-26,2014-52,20134.0
2015-01-02,2015-1,20287.0
2015-01-09,2015-2,20287.0
2015-01-16,2015-3,20558.0
2015-01-23,2015-4,20558.0
2015-01-30,2015-5,20888.0
2015-02-06,2015-6,20888.0
2015-02-13,2015-7,20388.0
2015-02-20,2015-8,20388.0
2015-02-27,2015-9,19843.0
2015-03-06,2015-10,19843.0
2015-03-13,2015-11,19833.0
2015-03-20,2015-12,19833.0
2015-03-27,2015-13,19948.0
2015-04-03,2015-14,19513.0
2015-04-10,2015-15,19130.0
2015-04-17,2015-16,19130.0
2015-04-24,2015-17,19267.0
2015-05-01,2015-18,19416.0
2015-05-08,2015-19,19283.0
2015-05-15,2015-20,19283.0
2015-05-22,2015-21,19345.0
2015-05-29,2015-22,19322.0
2015-06-05,2015-23,19308.0
2015-06-12,2015-24,19308.0
2015-06-19,2015-25,19138.0
2015-06-26,2015-26,19138.0
2015-07-03,2015-27,18440.0
2015-07-10,2015-28,18440.0
2015-07-17,2015-29,18440.0
2015-07-24,2015-30,18552.0
2015-07-31,2015-31,18107.0
2015-08-07,2015-32,18107.0
2015-08-14,2015-33,18443.0
2015-08-21,2015-34,18443.0
2015-08-28,2015-35,18127.0
2015-09-04,2015-36,18810.0
2015-09-11,2015-37,18332.0
2015-09-18,2015-38,18332.0
