Tarih,TP_AB_TOPLAM,TP_AB_TOPLAM
2001-05-18,2001-20,22006.0
2001-05-25,2001-21,21531.0
2001-06-01,2001-22,20814.0
2001-06-08,2001-23,20650.0
2001-06-15,2001-24,20477.0
2001-06-22,2001-25,18065.0
2001-06-29,2001-26,17487.0
2001-07-06,2001-27,17384.0
2001-07-13,2001-28,16918.0
2001-07-20,2001-29,18773.0
2001-07-27,2001-30,18193.0
2001-08-03,2001-31,18598.0
2001-08-10,2001-32,19969.0
2001-08-17,2001-33,19916.0
2001-08-24,2001-34,19910.0
2001-08-31,2001-35,19719.0
2001-09-07,2001-36,18823.0
2001-09-14,2001-37,18948.0
2001-09-21,2001-38,18930.0
2001-09-28,2001-39,19929.0
2001-10-05,2001-40,19755.0
2001-10-12,2001-41,19473.0
2001-10-19,2001-42,19576.0
2001-10-26,2001-43,19327.0
2001-11-02,2001-44,19338.0
2001-11-09,2001-45,19411.0
2001-11-16,2001-46,18658.0
2001-11-23,2001-47,18659.0
2001-11-30,2001-48,18271.0
2001-12-07,2001-49,20631.0
2001-12-14,2001-50,21765.0
2001-12-21,2001-51,21518.0
2001-12-28,2001-52,19745.0
2002-01-04,2002-1,19924.0
2002-01-11,2002-2,19857.0
2002-01-18,2002-3,19718.0
2002-01-25,2002-4,20230.0
2002-02-01,2002-5,19955.0
2002-02-08,2002-6,22525.0
2002-02-15,2002-7,21725.0
2002-02-22,2002-8,22036.0
2002-03-01,2002-9,21360.0
2002-03-08,2002-10,21349.0
2002-03-15,2002-11,21048.0
2002-03-22,2002-12,21606.0
2002-03-29,2002-13,21357.0
2002-04-05,2002-14,21552.0
2002-04-12,2002-15,21591.0
2002-04-19,2002-16,23126.0
2002-04-26,2002-17,23249.0
2002-05-03,2002-18,23427.0
2002-05-10,2002-19,23906.0
2002-05-17,2002-20,23694.0
2002-05-24,2002-21,23435.0
2002-05-31,2002-22,23026.0
2002-06-07,2002-23,23855.0
2002-06-14,2002-24,23312.0
2002-06-21,2002-25,23213.0
2002-06-28,2002-26,23279.0
2002-07-05,2002-27,24171.0
2002-07-12,2002-28,24397.0
2002-07-19,2002-29,24485.0
2002-07-26,2002-30,24620.0
2002-08-02,2002-31,24455.0
2002-08-09,2002-32,24182.0
2002-08-16,2002-33,25871.0
2002-08-23,2002-34,25942.0
2002-08-30,2002-35,26104.0
2002-09-06,2002-36,26084.0
2002-09-13,2002-37,26324.0
2002-09-20,2002-38,26179.0
2002-09-27,2002-39,26131.0
2002-10-04,2002-40,26203.0
2002-10-11,2002-41,26139.0
2002-10-18,2002-42,26643.0
2002-10-25,2002-43,26528.0
2002-11-01,2002-44,26605.0
2002-11-08,2002-45,26563.0
2002-11-15,2002-46,27017.0
2002-11-22,2002-47,27133.0
2002-11-29,2002-48,27048.0
2002-12-06,2002-49,27133.0
2002-12-13,2002-50,27776.0
2002-12-20,2002-51,26955.0
2002-12-27,2002-52,27757.0
2003-01-03,2003-1,28285.0
2003-01-10,2003-2,28521.0
2003-01-17,2003-3,29167.0
2003-01-24,2003-4,29752.0
2003-01-31,2003-5,30486.0
2003-02-07,2003-6,29829.0
2003-02-14,2003-7,29802.0
2003-02-21,2003-8,29013.0
2003-02-28,2003-9,28977.0
2003-03-07,2003-10,29113.0
2003-03-14,2003-11,28733.0
2003-03-21,2003-12,28027.0
2003-03-28,2003-13,27942.0
2003-04-04,2003-14,27668.0
2003-04-11,2003-15,27696.0
2003-04-18,2003-16,27521.0
2003-04-25,2003-17,28290.0
2003-05-02,2003-18,28358.0
2003-05-09,2003-19,27959.0
2003-05-16,2003-20,28882.0
2003-05-23,2003-21,29659.0
2003-05-30,2003-22,29819.0
2003-06-06,2003-23,28917.0
2003-06-13,2003-24,28811.0
2003-06-20,2003-25,29411.0
2003-06-27,2003-26,30120.0
2003-07-04,2003-27,29917.0
2003-07-11,2003-28,29319.0
2003-07-18,2003-29,29822.0
2003-07-25,2003-30,30270.0
2003-08-01,2003-31,30391.0
2003-08-08,2003-32,30882.0
2003-08-15,2003-33,30729.0
2003-08-22,2003-34,30990.0
2003-08-29,2003-35,31041.0
2003-09-05,2003-36,31066.0
2003-09-12,2003-37,32664.0
2003-09-19,2003-38,32747.0
2003-09-26,2003-39,35149.0
2003-10-03,2003-40,35430.0
2003-10-10,2003-41,35954.0
2003-10-17,2003-42,35705.0
2003-10-24,2003-43,34388.0
2003-10-31,2003-44,34207.0
2003-11-07,2003-45,33326.0
2003-11-14,2003-46,33632.0
2003-11-21,2003-47,33630.0
2003-11-28,2003-48,32603.0
2003-12-05,2003-49,32601.0
2003-12-12,2003-50,33211.0
2003-12-19,2003-51,33490.0
2003-12-26,2003-52,34918.0
2004-01-02,2004-1,35282.0
2004-01-09,2004-2,34925.0
2004-01-16,2004-3,35562.0
2004-01-23,2004-4,35399.0
2004-01-30,2004-5,35297.0
2004-02-06,2004-6,35074.0
2004-02-13,2004-7,35617.0
2004-02-20,2004-8,36143.0
2004-02-27,2004-9,34939.0
2004-03-05,2004-10,34357.0
2004-03-12,2004-11,33411.0
2004-03-19,2004-12,33565.0
2004-03-26,2004-13,34110.0
2004-04-02,2004-14,34726.0
2004-04-09,2004-15,35048.0
2004-04-16,2004-16,34609.0
2004-04-23,2004-17,35425.0
2004-04-30,2004-18,35297.0
2004-05-07,2004-19,35131.0
2004-05-14,2004-20,34631.0
2004-05-21,2004-21,34357.0
2004-05-28,2004-22,34638.0
2004-06-04,2004-23,34267.0
2004-06-11,2004-24,34123.0
2004-06-18,2004-25,33920.0
2004-06-25,2004-26,33954.0
2004-07-02,2004-27,34585.0
2004-07-09,2004-28,35123.0
2004-07-16,2004-29,34270.0
2004-07-23,2004-30,33992.0
2004-07-30,2004-31,33818.0
2004-08-06,2004-32,33868.0
2004-08-13,2004-33,34189.0
2004-08-20,2004-34,35404.0
2004-08-27,2004-35,35098.0
2004-09-03,2004-36,34798.0
2004-09-10,2004-37,34987.0
2004-09-17,2004-38,34674.0
2004-09-24,2004-39,35710.0
2004-10-01,2004-40,35740.0
2004-10-08,2004-41,36165.0
2004-10-15,2004-42,36847.0
2004-10-22,2004-43,37195.0
2004-10-29,2004-44,37484.0
2004-11-05,2004-45,36241.0
2004-11-12,2004-46,36024.0
2004-11-19,2004-47,35843.0
2004-11-26,2004-48,37194.0
2004-12-03,2004-49,36844.0
2004-12-10,2004-50,36440.0
2004-12-17,2004-51,36407.0
2004-12-24,2004-52,36473.0
2004-12-31,2004-53,37641.0
2005-01-07,2005-1,35887.0
2005-01-14,2005-2,35863.0
2005-01-21,2005-3,35475.0
2005-01-28,2005-4,38805.0
2005-02-04,2005-5,37149.0
2005-02-11,2005-6,36672.0
2005-02-18,2005-7,38433.0
2005-02-25,2005-8,38477.0
2005-03-04,2005-9,38053.0
2005-03-11,2005-10,41070.0
2005-03-18,2005-11,40638.0
2005-03-25,2005-12,39635.0
2005-04-01,2005-13,39530.0
2005-04-08,2005-14,39433.0
2005-04-15,2005-15,38090.0
2005-04-22,2005-16,38457.0
2005-04-29,2005-17,38916.0
2005-05-06,2005-18,36738.0
2005-05-13,2005-19,37426.0
2005-05-20,2005-20,36867.0
2005-05-27,2005-21,37369.0
2005-06-03,2005-22,38712.0
2005-06-10,2005-23,40692.0
2005-06-17,2005-24,40853.0
2005-06-24,2005-25,40833.0
2005-07-01,2005-26,41178.0
2005-07-08,2005-27,41704.0
2005-07-15,2005-28,41590.0
2005-07-22,2005-29,42466.0
2005-07-29,2005-30,44526.0
2005-08-05,2005-31,43427.0
2005-08-12,2005-32,43856.0
2005-08-19,2005-33,43546.0
2005-08-26,2005-34,42924.0
2005-09-02,2005-35,42436.0
2005-09-09,2005-36,42850.0
2005-09-16,2005-37,42323.0
2005-09-23,2005-38,42230.0
2005-09-30,2005-39,43536.0
2005-10-07,2005-40,45739.0
2005-10-14,2005-41,45998.0
2005-10-21,2005-42,46009.0
2005-10-28,2005-43,46614.0
2005-11-04,2005-44,44808.0
2005-11-11,2005-45,43616.0
2005-11-18,2005-46,46915.0
2005-11-25,2005-47,48748.0
2005-12-02,2005-48,49445.0
2005-12-09,2005-49,49306.0
2005-12-16,2005-50,51679.0
2005-12-23,2005-51,51106.0
2005-12-30,2005-52,52433.0
2006-01-06,2006-1,50235.0
2006-01-13,2006-2,50491.0
2006-01-20,2006-3,52707.0
2006-01-27,2006-4,55157.0
2006-02-03,2006-5,54786.0
2006-02-10,2006-6,53130.0
2006-02-17,2006-7,58104.0
2006-02-24,2006-8,58448.0
2006-03-03,2006-9,59462.0
2006-03-10,2006-10,60039.0
2006-03-17,2006-11,60199.0
2006-03-24,2006-12,60054.0
2006-03-31,2006-13,60459.0
2006-04-07,2006-14,61057.0
2006-04-14,2006-15,62547.0
2006-04-21,2006-16,61846.0
2006-04-28,2006-17,61929.0
2006-05-05,2006-18,60367.0
2006-05-12,2006-19,60823.0
2006-05-19,2006-20,62197.0
2006-05-26,2006-21,61746.0
2006-06-02,2006-22,61224.0
2006-06-09,2006-23,61191.0
2006-06-16,2006-24,60500.0
2006-06-23,2006-25,60424.0
2006-06-30,2006-26,58998.0
2006-07-07,2006-27,59574.0
2006-07-14,2006-28,59827.0
2006-07-21,2006-29,59391.0
2006-07-28,2006-30,59400.0
2006-08-04,2006-31,59662.0
2006-08-11,2006-32,59885.0
2006-08-18,2006-33,59276.0
2006-08-25,2006-34,59380.0
2006-09-01,2006-35,59443.0
2006-09-08,2006-36,59526.0
2006-09-15,2006-37,59073.0
2006-09-22,2006-38,58534.0
2006-09-29,2006-39,60768.0
2006-10-06,2006-40,58873.0
2006-10-13,2006-41,58270.0
2006-10-20,2006-42,57861.0
2006-10-27,2006-43,58051.0
2006-11-03,2006-44,59916.0
2006-11-10,2006-45,58230.0
2006-11-17,2006-46,60437.0
2006-11-24,2006-47,60733.0
2006-12-01,2006-48,60726.0
2006-12-08,2006-49,61022.0
2006-12-15,2006-50,61585.0
2006-12-22,2006-51,61462.0
2006-12-29,2006-52,63218.0
2007-01-05,2007-1,60705.0
2007-01-12,2007-2,61874.0
2007-01-19,2007-3,62261.0
2007-01-26,2007-4,63728.0
2007-02-02,2007-5,66464.0
2007-02-09,2007-6,64363.0
2007-02-16,2007-7,64570.0
2007-02-23,2007-8,65326.0
2007-03-02,2007-9,65492.0
2007-03-09,2007-10,65777.0
2007-03-16,2007-11,65950.0
2007-03-23,2007-12,64683.0
2007-03-30,2007-13,69971.0
2007-04-06,2007-14,68103.0
2007-04-13,2007-15,68180.0
2007-04-20,2007-16,68226.0
2007-04-27,2007-17,68651.0
2007-05-04,2007-18,68569.0
2007-05-11,2007-19,66817.0
2007-05-18,2007-20,66889.0
2007-05-25,2007-21,68232.0
2007-06-01,2007-22,69299.0
2007-06-08,2007-23,69406.0
2007-06-15,2007-24,69116.0
2007-06-22,2007-25,69542.0
2007-06-29,2007-26,70676.0
2007-07-06,2007-27,70208.0
2007-07-13,2007-28,71058.0
2007-07-20,2007-29,71421.0
2007-07-27,2007-30,71192.0
2007-08-03,2007-31,72158.0
2007-08-10,2007-32,72272.0
2007-08-17,2007-33,71298.0
2007-08-24,2007-34,71640.0
2007-08-31,2007-35,74299.0
2007-09-07,2007-36,72387.0
2007-09-14,2007-37,73093.0
2007-09-21,2007-38,72381.0
2007-09-28,2007-39,74489.0
2007-10-05,2007-40,74320.0
2007-10-12,2007-41,74607.0
2007-10-19,2007-42,72452.0
2007-10-26,2007-43,72976.0
2007-11-02,2007-44,73432.0
2007-11-09,2007-45,74024.0
2007-11-16,2007-46,74121.0
2007-11-23,2007-47,74896.0
2007-11-30,2007-48,75177.0
2007-12-07,2007-49,72355.0
2007-12-14,2007-50,73337.0
2007-12-21,2007-51,72836.0
2007-12-28,2007-52,74027.0
2008-01-04,2008-1,74691.0
2008-01-11,2008-2,75372.0
2008-01-18,2008-3,75171.0
2008-01-25,2008-4,74495.0
2008-02-01,2008-5,75714.0
2008-02-08,2008-6,75006.0
2008-02-15,2008-7,73675.0
2008-02-22,2008-8,74278.0
2008-02-29,2008-9,78033.0
2008-03-07,2008-10,78121.0
2008-03-14,2008-11,79684.0
2008-03-21,2008-12,76638.0
2008-03-28,2008-13,77877.0
2008-04-04,2008-14,78011.0
2008-04-11,2008-15,78857.0
2008-04-18,2008-16,78569.0
2008-04-25,2008-17,78152.0
2008-05-02,2008-18,77502.0
2008-05-09,2008-19,76919.0
2008-05-16,2008-20,80960.0
2008-05-23,2008-21,81806.0
2008-05-30,2008-22,77544.0
2008-06-06,2008-23,76739.0
2008-06-13,2008-24,77000.0
2008-06-20,2008-25,77083.0
2008-06-27,2008-26,78499.0
2008-07-04,2008-27,79384.0
2008-07-11,2008-28,78679.0
2008-07-18,2008-29,79141.0
2008-07-25,2008-30,78582.0
2008-08-01,2008-31,78901.0
2008-08-08,2008-32,78187.0
2008-08-15,2008-33,78803.0
2008-08-22,2008-34,78939.0
2008-08-29,2008-35,79411.0
2008-09-05,2008-36,78491.0
2008-09-12,2008-37,78686.0
2008-09-19,2008-38,79702.0
2008-09-26,2008-39,80039.0
2008-10-03,2008-40,80081.0
2008-10-10,2008-41,77612.0
2008-10-17,2008-42,76676.0
2008-10-24,2008-43,73278.0
2008-10-31,2008-44,75277.0
2008-11-07,2008-45,73818.0
2008-11-14,2008-46,72568.0
2008-11-21,2008-47,72408.0
2008-11-28,2008-48,74477.0
2008-12-05,2008-49,73008.0
2008-12-12,2008-50,70517.0
2008-12-19,2008-51,74606.0
2008-12-26,2008-52,73347.0
2009-01-02,2009-1,72944.0
2009-01-09,2009-2,71643.0
2009-01-16,2009-3,71255.0
2009-01-23,2009-4,70143.0
2009-01-30,2009-5,71191.0
2009-02-06,2009-6,69780.0
2009-02-13,2009-7,70272.0
2009-02-20,2009-8,69549.0
2009-02-27,2009-9,70776.0
2009-03-06,2009-10,68817.0
2009-03-13,2009-11,68668.0
2009-03-20,2009-12,70297.0
2009-03-27,2009-13,69768.0
2009-04-03,2009-14,67236.0
2009-04-10,2009-15,67133.0
2009-04-17,2009-16,67168.0
2009-04-24,2009-17,65839.0
2009-05-01,2009-18,67867.0
2009-05-08,2009-19,68773.0
2009-05-15,2009-20,69463.0
2009-05-22,2009-21,70171.0
2009-05-29,2009-22,70803.0
2009-06-05,2009-23,71198.0
2009-06-12,2009-24,70515.0
2009-06-19,2009-25,69015.0
2009-06-26,2009-26,68314.0
2009-07-03,2009-27,68511.0
2009-07-10,2009-28,68317.0
2009-07-17,2009-29,69146.0
2009-07-24,2009-30,69295.0
2009-07-31,2009-31,70470.0
2009-08-07,2009-32,71287.0
2009-08-14,2009-33,71309.0
2009-08-21,2009-34,71560.0
2009-08-28,2009-35,73323.0
2009-09-04,2009-36,73537.0
2009-09-11,2009-37,74294.0
2009-09-18,2009-38,73601.0
2009-09-25,2009-39,73853.0
2009-10-02,2009-40,73823.0
2009-10-09,2009-41,74399.0
2009-10-16,2009-42,74571.0
2009-10-23,2009-43,74918.0
2009-10-30,2009-44,75267.0
2009-11-06,2009-45,75016.0
2009-11-13,2009-46,75330.0
2009-11-20,2009-47,75274.0
2009-11-27,2009-48,75237.0
2009-12-04,2009-49,75042.0
2009-12-11,2009-50,74281.0
2009-12-18,2009-51,72976.0
2009-12-25,2009-52,73358.0
2010-01-01,2010-1,74810.0
2010-01-08,2010-2,74532.0
2010-01-15,2010-3,76631.0
2010-01-22,2010-4,74380.0
2010-01-29,2010-5,74899.0
2010-02-05,2010-6,74285.0
2010-02-12,2010-7,72010.0
2010-02-19,2010-8,71478.0
2010-02-26,2010-9,71842.0
2010-03-05,2010-10,72199.0
2010-03-12,2010-11,72186.0
2010-03-19,2010-12,72897.0
2010-03-26,2010-13,72398.0
2010-04-02,2010-14,73421.0
2010-04-09,2010-15,72584.0
2010-04-16,2010-16,74987.0
2010-04-23,2010-17,76729.0
2010-04-30,2010-18,77104.0
2010-05-07,2010-19,75494.0
2010-05-14,2010-20,76496.0
2010-05-21,2010-21,75842.0
2010-05-28,2010-22,76014.0
2010-06-04,2010-23,75938.0
2010-06-11,2010-24,75012.0
2010-06-18,2010-25,74724.0
2010-06-25,2010-26,74769.0
2010-07-02,2010-27,75421.0
2010-07-09,2010-28,76646.0
2010-07-16,2010-29,77096.0
2010-07-23,2010-30,77494.0
2010-07-30,2010-31,78852.0
2010-08-06,2010-32,80177.0
2010-08-13,2010-33,79370.0
2010-08-20,2010-34,80064.0
2010-08-27,2010-35,80638.0
2010-09-03,2010-36,81474.0
2010-09-10,2010-37,81615.0
2010-09-17,2010-38,79501.0
2010-09-24,2010-39,80432.0
2010-10-01,2010-40,81921.0
2010-10-08,2010-41,83256.0
2010-10-15,2010-42,84217.0
2010-10-22,2010-43,84490.0
2010-10-29,2010-44,83958.0
2010-11-05,2010-45,85174.0
2010-11-12,2010-46,85033.0
2010-11-19,2010-47,84761.0
2010-11-26,2010-48,84296.0
2010-12-03,2010-49,84105.0
2010-12-10,2010-50,84620.0
2010-12-17,2010-51,84238.0
2010-12-24,2010-52,84615.0
2010-12-31,2010-53,85960.0
2011-01-07,2011-1,85443.0
2011-01-14,2011-2,86917.0
2011-01-21,2011-3,86772.0
2011-01-28,2011-4,87599.0
2011-02-04,2011-5,87839.0
2011-02-11,2011-6,87341.0
2011-02-18,2011-7,86927.0
2011-02-25,2011-8,87841.0
2011-03-04,2011-9,88636.0
2011-03-11,2011-10,88732.0
2011-03-18,2011-11,91040.0
2011-03-25,2011-12,91469.0
2011-04-01,2011-13,92149.0
2011-04-08,2011-14,92366.0
2011-04-15,2011-15,93409.0
2011-04-22,2011-16,94068.0
2011-04-29,2011-17,95578.0
2011-05-06,2011-18,95288.0
2011-05-13,2011-19,94843.0
2011-05-20,2011-20,94811.0
2011-05-27,2011-21,96753.0
2011-06-03,2011-22,97557.0
2011-06-10,2011-23,99162.0
2011-06-17,2011-24,97652.0
2011-06-24,2011-25,98102.0
2011-07-01,2011-26,99471.0
2011-07-08,2011-27,99527.0
2011-07-15,2011-28,99120.0
2011-07-22,2011-29,98115.0
2011-07-29,2011-30,98638.0
2011-08-05,2011-31,97592.0
2011-08-12,2011-32,96521.0
2011-08-19,2011-33,94813.0
2011-08-26,2011-34,94412.0
2011-09-02,2011-35,94268.0
2011-09-09,2011-36,92947.0
2011-09-16,2011-37,92857.0
2011-09-23,2011-38,91271.0
2011-09-30,2011-39,93601.0
2011-10-07,2011-40,91203.0
2011-10-14,2011-41,91951.0
2011-10-21,2011-42,88387.0
2011-10-28,2011-43,91628.0
2011-11-04,2011-44,90942.0
2011-11-11,2011-45,95971.0
2011-11-18,2011-46,94019.0
2011-11-25,2011-47,95528.0
2011-12-02,2011-48,94843.0
2011-12-09,2011-49,93981.0
2011-12-16,2011-50,92290.0
2011-12-23,2011-51,93049.0
2011-12-30,2011-52,88218.0
2012-01-06,2012-1,87846.0
2012-01-13,2012-2,87321.0
2012-01-20,2012-3,85392.0
2012-01-27,2012-4,86422.0
2012-02-03,2012-5,88110.0
2012-02-10,2012-6,88536.0
2012-02-17,2012-7,88101.0
2012-02-24,2012-8,88815.0
2012-03-02,2012-9,90780.0
2012-03-09,2012-10,90411.0
2012-03-16,2012-11,90503.0
2012-03-23,2012-12,90749.0
2012-03-30,2012-13,91347.0
2012-04-06,2012-14,90345.0
2012-04-13,2012-15,93296.0
2012-04-20,2012-16,92927.0
2012-04-27,2012-17,92989.0
2012-05-04,2012-18,92732.0
2012-05-11,2012-19,94044.0
2012-05-18,2012-20,92819.0
2012-05-25,2012-21,91645.0
2012-06-01,2012-22,90543.0
2012-06-08,2012-23,92235.0
2012-06-15,2012-24,92202.0
2012-06-22,2012-25,94677.0
2012-06-29,2012-26,95488.0
2012-07-06,2012-27,97466.0
2012-07-13,2012-28,96669.0
2012-07-20,2012-29,99228.0
2012-07-27,2012-30,99036.0
2012-08-03,2012-31,103114.0
2012-08-10,2012-32,103207.0
2012-08-17,2012-33,103221.0
2012-08-24,2012-34,104485.0
2012-08-31,2012-35,108702.0
2012-09-07,2012-36,107493.0
2012-09-14,2012-37,109727.0
2012-09-21,2012-38,109611.0
2012-09-28,2012-39,112089.0
2012-10-05,2012-40,112203.0
2012-10-12,2012-41,114629.0
2012-10-19,2012-42,114941.0
2012-10-26,2012-43,114693.0
2012-11-02,2012-44,116945.0
2012-11-09,2012-45,117277.0
2012-11-16,2012-46,117165.0
2012-11-23,2012-47,117672.0
2012-11-30,2012-48,118366.0
2012-12-07,2012-49,119142.0
2012-12-14,2012-50,120586.0
2012-12-21,2012-51,120646.0
2012-12-28,2012-52,120290.0
2013-01-04,2013-1,122145.0
2013-01-11,2013-2,121627.0
2013-01-18,2013-3,123324.0
2013-01-25,2013-4,123343.0
2013-02-01,2013-5,125233.0
2013-02-08,2013-6,125451.0
2013-02-15,2013-7,125166.0
2013-02-22,2013-8,124605.0
2013-03-01,2013-9,124037.0
2013-03-08,2013-10,123993.0
2013-03-15,2013-11,125362.0
2013-03-22,2013-12,125291.0
2013-03-29,2013-13,126687.0
2013-04-05,2013-14,127070.0
2013-04-12,2013-15,130274.0
2013-04-19,2013-16,131827.0
2013-04-26,2013-17,135243.0
2013-05-03,2013-18,133479.0
2013-05-10,2013-19,131401.0
2013-05-17,2013-20,130227.0
2013-05-24,2013-21,129814.0
2013-05-31,2013-22,128848.0
2013-06-07,2013-23,128276.0
2013-06-14,2013-24,128745.0
2013-06-21,2013-25,127546.0
2013-06-28,2013-26,122565.0
2013-07-05,2013-27,123659.0
2013-07-12,2013-28,120170.0
2013-07-19,2013-29,120966.0
2013-07-26,2013-30,122168.0
2013-08-02,2013-31,128853.0
2013-08-09,2013-32,128818.0
2013-08-16,2013-33,129979.0
2013-08-23,2013-34,129292.0
2013-08-30,2013-35,130660.0
2013-09-06,2013-36,130370.0
2013-09-13,2013-37,126688.0
2013-09-20,2013-38,126189.0
2013-09-27,2013-39,131060.0
2013-10-04,2013-40,129257.0
2013-10-11,2013-41,132562.0
2013-10-18,2013-42,132679.0
2013-10-25,2013-43,134268.0
2013-11-01,2013-44,133897.0
2013-11-08,2013-45,133977.0
2013-11-15,2013-46,135135.0
2013-11-22,2013-47,135328.0
2013-11-29,2013-48,134617.0
2013-12-06,2013-49,135637.0
2013-12-13,2013-50,135962.0
2013-12-20,2013-51,135066.0
2013-12-27,2013-52,132874.0
2014-01-03,2014-1,130311.0
2014-01-10,2014-2,129704.0
2014-01-17,2014-3,126143.0
2014-01-24,2014-4,121676.0
2014-01-31,2014-5,124242.0
2014-02-07,2014-6,121672.0
2014-02-14,2014-7,123066.0
2014-02-21,2014-8,124148.0
2014-02-28,2014-9,127695.0
2014-03-07,2014-10,128064.0
2014-03-14,2014-11,127941.0
2014-03-21,2014-12,126695.0
2014-03-28,2014-13,126528.0
2014-04-04,2014-14,125211.0
2014-04-11,2014-15,128034.0
2014-04-18,2014-16,127398.0
2014-04-25,2014-17,129647.0
2014-05-02,2014-18,129520.0
2014-05-09,2014-19,129594.0
2014-05-16,2014-20,129040.0
2014-05-23,2014-21,130611.0
2014-05-30,2014-22,130588.0
2014-06-06,2014-23,130781.0
2014-06-13,2014-24,130534.0
2014-06-20,2014-25,130719.0
2014-06-27,2014-26,132552.0
2014-07-04,2014-27,135007.0
2014-07-11,2014-28,133682.0
2014-07-18,2014-29,134014.0
2014-07-25,2014-30,133226.0
2014-08-01,2014-31,133498.0
2014-08-08,2014-32,133577.0
2014-08-15,2014-33,135576.0
2014-08-22,2014-34,135414.0
2014-08-29,2014-35,134080.0
2014-09-05,2014-36,134477.0
2014-09-12,2014-37,133020.0
2014-09-19,2014-38,132582.0
2014-09-26,2014-39,134424.0
2014-10-03,2014-40,133172.0
2014-10-10,2014-41,133942.0
2014-10-17,2014-42,133650.0
2014-10-24,2014-43,132685.0
2014-10-31,2014-44,132287.0
2014-11-07,2014-45,132893.0
2014-11-14,2014-46,132669.0
2014-11-21,2014-47,132594.0
2014-11-28,2014-48,133440.0
2014-12-05,2014-49,131886.0
2014-12-12,2014-50,132033.0
2014-12-19,2014-51,127344.0
2014-12-26,2014-52,126448.0
2015-01-02,2015-1,128317.0
2015-01-09,2015-2,127789.0
2015-01-16,2015-3,130348.0
2015-01-23,2015-4,129311.0
2015-01-30,2015-5,130527.0
2015-02-06,2015-6,130925.0
2015-02-13,2015-7,128606.0
2015-02-20,2015-8,127718.0
2015-02-27,2015-9,128484.0
2015-03-06,2015-10,127858.0
2015-03-13,2015-11,125795.0
2015-03-20,2015-12,121855.0
2015-03-27,2015-13,123422.0
2015-04-03,2015-14,121569.0
2015-04-10,2015-15,121759.0
2015-04-17,2015-16,122374.0
2015-04-24,2015-17,122068.0
2015-05-01,2015-18,122856.0
2015-05-08,2015-19,121913.0
2015-05-15,2015-20,121788.0
2015-05-22,2015-21,120860.0
2015-05-29,2015-22,120651.0
2015-06-05,2015-23,122415.0
2015-06-12,2015-24,122368.0
2015-06-19,2015-25,120864.0
2015-06-26,2015-26,119909.0
2015-07-03,2015-27,120313.0
2015-07-10,2015-28,120400.0
2015-07-17,2015-29,120302.0
2015-07-24,2015-30,119006.0
2015-07-31,2015-31,120639.0
2015-08-07,2015-32,120479.0
2015-08-14,2015-33,120657.0
2015-08-21,2015-34,120358.0
2015-08-28,2015-35,120414.0
2015-09-04,2015-36,121106.0
2015-09-11,2015-37,119268.0
