Tarih,TP_FG_T63
2009-04-01,68227981.5
2009-05-01,67674732.9
2009-06-01,67659119.2
2009-07-01,67815890.6
2009-08-01,67947222.9
2009-09-01,68930167.2
2009-10-01,69238734.7
2009-11-01,69673365.2
2009-12-01,70238343.8
2010-01-01,71861328.2
2010-02-01,73028888.2
2010-03-01,74106110.3
2010-04-01,75061118.1
2010-05-01,74174799.1
2010-06-01,74042796.1
2010-07-01,74219549.2
2010-08-01,74410367.0
2010-09-01,75225077.4
2010-10-01,76496234.3
2010-11-01,77941946.3
2010-12-01,79219771.8
2011-01-01,81443741.5
2011-02-01,83414213.6
2011-03-01,84153191.0
2011-04-01,84784841.0
2011-05-01,84106216.1
2011-06-01,83883885.7
2011-07-01,84427703.5
2011-08-01,85769084.3
2011-09-01,87185513.8
2011-10-01,88907909.1
2011-11-01,90266002.2
2011-12-01,90691120.0
2012-01-01,91763525.5
2012-02-01,91610129.3
2012-03-01,92220315.3
2012-04-01,92525261.4
2012-05-01,92594667.9
2012-06-01,91506235.0
2012-07-01,91679444.6
2012-08-01,92375978.1
2012-09-01,93238835.8
2012-10-01,93684341.4
2012-11-01,94487272.3
2012-12-01,95012716.7
2013-01-01,95795190.9
2013-02-01,96192519.3
2013-03-01,95849873.1
2013-04-01,96346670.5
2013-05-01,96575079.6
2013-06-01,97360911.3
2013-07-01,97915987.5
2013-08-01,98905597.7
2013-09-01,99202686.1
2013-10-01,100111218.8
2013-11-01,101793715.2
2013-12-01,103033501.2
2014-01-01,105993988.0
2014-02-01,106489482.7
2014-03-01,108006147.3
2014-04-01,108174986.6
2014-05-01,108452843.2
2014-06-01,109520843.7
2014-07-01,110004978.0
2014-08-01,111098487.6
2014-09-01,112860129.0
2014-10-01,114321127.9
2014-11-01,115090144.2
2014-12-01,114580855.7
2015-01-01,115482140.6
2015-02-01,116794994.6
2015-03-01,118624141.7
2015-04-01,119606314.5
2015-05-01,119469187.4
2015-06-01,119279106.7
2015-07-01,119522591.5
2015-08-01,120513673.1
2015-09-01,121710891.8
2015-10-01,122756498.5
2015-11-01,122833726.7
2015-12-01,122299970.8
2016-01-01,123807708.2
2016-02-01,124575239.2
2016-03-01,124776586.1
2016-04-01,124811955.1
2016-05-01,124624698.4
2016-06-01,125047310.2
2016-07-01,125592896.2
2016-08-01,126392901.1
2016-09-01,126724435.1
2016-10-01,128146551.1
2016-11-01,133247767.9
2016-12-01,135604799.3
2017-01-01,139610798.8
2017-02-01,139889839.7
2017-03-01,141029650.7
2017-04-01,141634045.8
2017-05-01,141271573.8
2017-06-01,141396127.4
2017-07-01,142168115.4
2017-08-01,141854174.8
2017-09-01,144908937.9
2017-10-01,145030717.1
2017-11-01,148084335.7
2017-12-01,150953837.4
2018-01-01,153099222.3
2018-02-01,154489540.8
2018-03-01,155121190.3
2018-04-01,158125618.5
2018-05-01,162229705.9
2018-06-01,164502171.8
2018-07-01,166006272.6
2018-08-01,172317200.3
2018-09-01,183469076.9
2018-10-01,184134034.8
2018-11-01,184468455.6
2018-12-01,185534711.6
2019-01-01,188228776.2
2019-02-01,190016401.7
2019-03-01,191362448.3
2019-04-01,196197698.2
2019-05-01,200445558.7
2019-06-01,196260871.4
2019-07-01,197285928.3
2019-08-01,193968779.9
2019-09-01,193700960.3
2019-10-01,196600645.9
2019-11-01,197022690.7
2019-12-01,199785078.3
2020-01-01,203135315.3
2020-02-01,206664820.6
2020-03-01,210335257.6
2020-04-01,212077885.4
2020-05-01,214140088.1
2020-06-01,209237446.8
2020-07-01,212265747.9
2020-08-01,214046697.3
2020-09-01,219657441.3
2020-10-01,225006888.4
2020-11-01,231366059.3
2020-12-01,236103784.5
2021-01-01,239188914.5
2021-02-01,240050938.0
2021-03-01,247949696.2
2021-04-01,249233498.0
2021-05-01,254897115.3
2021-06-01,262720070.0
2021-07-01,270905880.6
2021-08-01,274758891.2
2021-09-01,282736466.3
2021-10-01,290537312.0
2021-11-01,310214224.7
2021-12-01,347304182.4
2022-01-01,368244394.2
2022-02-01,380700413.4
2022-03-01,409834332.2
2022-04-01,431696836.2
2022-05-01,456561569.3
2022-06-01,493872310.1
2022-07-01,509171085.0
2022-08-01,544281049.4
2022-09-01,560298217.3
2022-10-01,593296204.0
2022-11-01,607155350.6
2022-12-01,629703909.2
2023-01-01,664484230.0
2023-02-01,680276380.0
2023-03-01,713993229.0
2023-04-01,736397568.7
2023-05-01,777651329.1
2023-06-01,811260353.7
2023-07-01,848103933.4
2023-08-01,904496542.1
2023-09-01,940121032.1
2023-10-01,973272318.8
2023-11-01,1001879046.6
2023-12-01,1024991605.8
2024-01-01,1073035235.0
2024-02-01,1122867664.4
2024-03-01,1165298242.4
2024-04-01,1221993526.3
2024-05-01,1253689585.2
2024-06-01,1301993390.6
2024-07-01,1315548347.5
2024-08-01,1328411358.3
2024-09-01,1390387345.7
2024-10-01,1392489279.8
2024-11-01,1429861160.9
2024-12-01,1441573241.8
2025-01-01,1482418888.9
2025-02-01,1517004722.6
2025-03-01,1551872788.5
2025-04-01,1574533502.4
2025-05-01,1585473295.5
2025-06-01,1616108327.3
2025-07-01,1634545400.0
2025-08-01,1676408635.5
2025-09-01,1697961388.6
