Tarih,TP_AB_A08
2001-11-20,185176.8
2001-11-21,191558.9
2001-11-22,190426.6
2001-11-23,180514.4
2001-11-26,189462.0
2001-11-27,192781.0
2001-11-28,171547.4
2001-11-29,205779.5
2001-11-30,259237.1
2001-12-03,265069.5
2001-12-04,287547.0
2001-12-05,246214.4
2001-12-06,206386.7
2001-12-07,179921.9
2001-12-10,200809.0
2001-12-11,130261.5
2001-12-12,153103.0
2001-12-13,162001.0
2001-12-14,153421.9
2001-12-17,
2001-12-18,
2001-12-19,211721.7
2001-12-20,239490.1
2001-12-21,240970.2
2001-12-24,213754.6
2001-12-25,124342.4
2001-12-26,135901.4
2001-12-27,116196.9
2001-12-28,115550.9
2001-12-31,-174804.0
2002-01-01,
2002-01-02,109890.7
2002-01-03,156061.1
2002-01-04,134584.7
2002-01-07,72883.4
2002-01-08,30474.1
2002-01-09,22344.9
2002-01-10,42845.3
2002-01-11,24373.1
2002-01-14,22960.7
2002-01-15,7191.7
2002-01-16,14125.1
2002-01-17,-295547.0
2002-01-18,-309066.0
2002-01-21,-342412.0
2002-01-22,-352744.4
2002-01-23,-356246.2
2002-01-24,-328464.9
2002-01-25,-377682.4
2002-01-28,-457742.6
2002-01-29,-492684.5
2002-01-30,-477882.8
2002-01-31,-466823.7
2002-02-01,-478607.8
2002-02-04,-486697.0
2002-02-05,-465986.6
2002-02-06,-444576.7
2002-02-07,-409452.1
2002-02-08,-405876.6
2002-02-11,-432907.3
2002-02-12,-409552.1
2002-02-13,-415027.2
2002-02-14,-345571.0
2002-02-15,-362972.0
2002-02-18,-380009.5
2002-02-19,-379438.0
2002-02-20,-432495.0
2002-02-21,-425374.8
2002-02-22,
2002-02-25,
2002-02-26,-425304.8
2002-02-27,-514312.8
2002-02-28,-570332.2
2002-03-01,-531780.0
2002-03-04,-498437.7
2002-03-05,-494044.9
2002-03-06,-471918.5
2002-03-07,-449043.6
2002-03-08,-392763.6
2002-03-11,-346640.5
2002-03-12,-374841.8
2002-03-13,-382378.4
2002-03-14,-378662.1
2002-03-15,-318782.4
2002-03-18,-265752.3
2002-03-19,-311844.3
2002-03-20,-327706.6
2002-03-21,-299485.8
2002-03-22,-294251.9
2002-03-25,-289104.0
2002-03-26,-326733.9
2002-03-27,-331460.7
2002-03-28,-307863.8
2002-03-29,-326682.5
2002-04-01,-336704.9
2002-04-02,-340987.7
2002-04-03,-284642.8
2002-04-04,-272395.2
2002-04-05,-221644.2
2002-04-08,-219387.3
2002-04-09,-227563.5
2002-04-10,-232244.1
2002-04-11,-184445.7
2002-04-12,-169438.8
2002-04-15,-158780.5
2002-04-16,-183269.6
2002-04-17,-162386.2
2002-04-18,-135955.9
2002-04-19,-121903.6
2002-04-22,-116674.7
2002-04-23,
2002-04-24,-157256.4
2002-04-25,-200607.1
2002-04-26,-199926.5
2002-04-29,-204251.3
2002-04-30,-117956.2
2002-05-01,-126925.8
2002-05-02,-177679.4
2002-05-03,-175488.4
2002-05-06,-152010.7
2002-05-07,-131327.6
2002-05-08,-126122.2
2002-05-09,-157550.9
2002-05-10,-294874.4
2002-05-13,-246026.5
2002-05-14,-243168.0
2002-05-15,-323537.8
2002-05-16,-339252.9
2002-05-17,-300485.3
2002-05-20,-315593.8
2002-05-21,-312380.8
2002-05-22,-291743.4
2002-05-23,-239369.0
2002-05-24,-257767.9
2002-05-27,-284670.8
2002-05-28,-265801.3
2002-05-29,-223246.6
2002-05-30,-220753.0
2002-05-31,-834700.0
2002-06-03,-874236.0
2002-06-04,-943910.0
2002-06-05,-835176.0
2002-06-06,-866563.0
2002-06-07,-875247.0
2002-06-10,-845792.0
2002-06-11,-885639.9
2002-06-12,-928557.2
2002-06-13,-1007877.9
2002-06-14,-1072339.7
2002-06-17,-1043333.5
2002-06-18,-1152398.6
2002-06-19,-1132186.1
2002-06-20,-1024872.0
2002-06-21,-1439883.7
2002-06-24,-1518536.8
2002-06-25,-1453946.8
2002-06-26,-1495161.0
2002-06-27,-1541459.2
2002-06-28,-1510933.3
2002-07-01,-1346794.3
2002-07-02,-1374546.0
2002-07-03,-1460842.3
2002-07-04,-1621974.0
2002-07-05,-1574811.6
2002-07-08,-1591509.0
2002-07-09,-1638560.5
2002-07-10,-1626776.5
2002-07-11,-1578269.4
2002-07-12,-1582129.4
2002-07-15,-1602737.2
2002-07-16,-1614857.3
2002-07-17,-1544662.3
2002-07-18,-1491096.2
2002-07-19,-1471675.5
2002-07-22,-1452077.8
2002-07-23,-1514016.5
2002-07-24,-1625544.4
2002-07-25,-1667106.9
2002-07-26,-1593362.0
2002-07-29,-1590886.0
2002-07-30,-1741592.0
2002-07-31,-1728907.0
2002-08-01,-1772722.0
2002-08-02,-1760142.0
2002-08-05,-1592961.0
2002-08-06,-1554240.0
2002-08-07,-1708496.0
2002-08-08,-1681223.0
2002-08-09,-1652046.0
2002-08-12,-1663551.0
2002-08-13,-1664871.0
2002-08-14,-1620952.0
2002-08-15,-1549502.0
2002-08-16,-1640343.1
2002-08-19,-1594827.8
2002-08-20,-1605571.5
2002-08-21,-1602724.3
2002-08-22,-1584693.6
2002-08-23,-1604334.3
2002-08-26,-1675526.9
2002-08-27,-1656483.0
2002-08-28,-1611086.7
2002-08-29,-1576986.6
2002-08-30,
2002-09-02,-1532917.2
2002-09-03,-1546024.2
2002-09-04,-1472989.3
2002-09-05,-1474050.4
2002-09-06,-1440793.3
2002-09-09,-1473113.7
2002-09-10,-1578881.0
2002-09-11,-1674166.2
2002-09-12,-1676083.7
2002-09-13,-1664559.0
2002-09-16,-1641777.0
2002-09-17,-1746785.0
2002-09-18,-1779177.0
2002-09-19,-1712670.0
2002-09-20,-1669817.0
2002-09-23,-1636068.0
2002-09-24,-1618446.0
2002-09-25,-1661469.0
2002-09-26,-1622800.0
2002-09-27,-1641971.6
2002-09-30,-1649664.9
2002-10-01,-1608451.9
2002-10-02,-1607389.2
2002-10-03,-1581439.7
2002-10-04,-1527100.7
2002-10-07,-1539797.4
2002-10-08,-1613620.3
2002-10-09,-1615058.5
2002-10-10,-1611381.2
2002-10-11,-1555087.8
2002-10-14,-1540537.7
2002-10-15,-1566950.6
2002-10-16,-1590698.5
2002-10-17,-1594655.1
2002-10-18,-1642184.6
2002-10-21,-1678397.5
2002-10-22,-1681781.7
2002-10-23,-1666403.5
2002-10-24,-1660876.7
2002-10-25,-1712457.9
2002-10-28,-1710733.7
2002-10-29,
2002-10-30,-1710511.7
2002-10-31,-1670463.9
2002-11-01,-1625340.6
2002-11-04,-1630519.5
2002-11-05,-1598477.5
2002-11-06,-1448689.0
2002-11-07,-1492663.3
2002-11-08,-1435678.5
2002-11-11,-1334968.2
2002-11-12,-1293282.9
2002-11-13,-1384350.1
2002-11-14,-1393435.9
2002-11-15,-1322379.3
2002-11-18,-1282912.9
2002-11-19,-1174713.8
2002-11-20,-1418359.8
2002-11-21,-1478321.3
2002-11-22,-1437478.3
2002-11-25,-1411296.7
2002-11-26,-1441355.3
2002-11-27,-1380194.8
2002-11-28,-1394004.5
2002-11-29,-1227310.9
2002-12-02,-1195725.0
2002-12-03,-1117311.0
2002-12-04,-857521.5
2002-12-05,
2002-12-06,
2002-12-09,-857431.5
2002-12-10,-940201.2
2002-12-11,-903962.5
2002-12-12,-909359.8
2002-12-13,-905204.3
2002-12-16,-822103.9
2002-12-17,-773506.4
2002-12-18,-825687.6
2002-12-19,-997277.9
2002-12-20,-1108207.7
2002-12-23,-1135290.2
2002-12-24,-1167825.1
2002-12-25,-1289471.0
