Tarih,TP_AB_A15
2001-10-05,7071659.0
2001-10-08,7039787.0
2001-10-09,6891359.0
2001-10-10,7828452.0
2001-10-11,8277409.0
2001-10-12,8223628.0
2001-10-15,8117101.0
2001-10-16,8028387.0
2001-10-17,8352052.0
2001-10-18,8249738.0
2001-10-19,8353285.0
2001-10-22,8319772.0
2001-10-23,8266015.0
2001-10-24,8443903.0
2001-10-25,8420056.0
2001-10-26,8384188.0
2001-10-29,
2001-10-30,8192449.0
2001-10-31,8112201.0
2001-11-01,8009546.0
2001-11-02,12996222.0
2001-11-05,12816385.0
2001-11-06,12681730.0
2001-11-07,12659629.0
2001-11-08,12644556.0
2001-11-09,12588848.0
2001-11-12,11835908.0
2001-11-13,11842600.0
2001-11-14,11767233.0
2001-11-15,11729341.0
2001-11-16,11678357.0
2001-11-19,11676331.0
2001-11-20,11675726.0
2001-11-21,11598939.0
2001-11-22,10982656.0
2001-11-23,10940885.0
2001-11-26,10917545.0
2001-11-27,10054591.0
2001-11-28,9911644.0
2001-11-29,9804382.0
2001-11-30,9753391.0
2001-12-03,9242153.0
2001-12-04,8841139.0
2001-12-05,8837683.0
2001-12-06,8777586.0
2001-12-07,8716115.0
2001-12-10,8748487.0
2001-12-11,9665811.0
2001-12-12,9621638.0
2001-12-13,9439784.0
2001-12-14,9423975.0
2001-12-17,
2001-12-18,
2001-12-19,9918512.0
2001-12-20,10108980.0
2001-12-21,10034792.0
2001-12-24,10058457.0
2001-12-25,10028867.0
2001-12-26,9871670.0
2001-12-27,9855566.0
2001-12-28,9710761.0
2001-12-31,9868820.4
2002-01-01,
2002-01-02,9850583.0
2002-01-03,9831262.0
2002-01-04,9854034.0
2002-01-07,9882586.0
2002-01-08,9835777.0
2002-01-09,9903948.0
2002-01-10,9901493.0
2002-01-11,10038671.0
2002-01-14,10042559.0
2002-01-15,10057627.0
2002-01-16,10054520.0
2002-01-17,10064695.0
2002-01-18,10063646.0
2002-01-21,10049947.0
2002-01-22,10059403.0
2002-01-23,10237862.0
2002-01-24,10239595.0
2002-01-25,10254356.0
2002-01-28,10251919.0
2002-01-29,10266600.0
2002-01-30,10268780.0
2002-01-31,10270022.0
2002-02-01,10302875.0
2002-02-04,10292395.0
2002-02-05,10288265.0
2002-02-06,10310585.0
2002-02-07,10193575.0
2002-02-08,13888062.0
2002-02-11,13908038.0
2002-02-12,14256321.0
2002-02-13,15679378.0
2002-02-14,15928504.0
2002-02-15,15992105.0
2002-02-18,16147808.0
2002-02-19,16157192.0
2002-02-20,16119821.0
2002-02-21,16126454.0
2002-02-22,
2002-02-25,
2002-02-26,16152506.0
2002-02-27,16176286.0
2002-02-28,16198506.0
2002-03-01,16208299.0
2002-03-04,16202115.0
2002-03-05,16185337.0
2002-03-06,16184622.0
2002-03-07,16198244.0
2002-03-08,16198457.0
2002-03-11,16202877.0
2002-03-12,16078320.0
2002-03-13,15968750.0
2002-03-14,15702914.0
2002-03-15,15663098.0
2002-03-18,15615338.0
2002-03-19,15622828.0
2002-03-20,15702638.0
2002-03-21,15714741.0
2002-03-22,15737328.0
2002-03-25,15668855.0
2002-03-26,15660574.0
2002-03-27,15677915.0
2002-03-28,15669165.0
2002-03-29,15841642.0
2002-04-01,15886136.0
2002-04-02,15882069.0
2002-04-03,15968693.0
2002-04-04,15998912.0
2002-04-05,16046987.0
2002-04-08,16059351.0
2002-04-09,16074441.0
2002-04-10,16129249.0
2002-04-11,16181477.0
2002-04-12,16177187.0
2002-04-15,16192612.0
2002-04-16,16179780.0
2002-04-17,16163812.0
2002-04-18,16189967.0
2002-04-19,16248760.0
2002-04-22,16230082.0
2002-04-23,
2002-04-24,16398963.0
2002-04-25,16361663.0
2002-04-26,16399785.0
2002-04-29,16305151.0
2002-04-30,16401091.0
2002-05-01,16417247.0
2002-05-02,16452534.0
2002-05-03,16422264.0
2002-05-06,16350224.0
2002-05-07,16322747.0
2002-05-08,16213704.0
2002-05-09,16194614.0
2002-05-10,16141886.0
2002-05-13,17092223.0
2002-05-14,17046447.0
2002-05-15,17562706.0
2002-05-16,17576924.0
2002-05-17,17580493.0
2002-05-20,17146443.0
2002-05-21,17148312.0
2002-05-22,17217993.0
2002-05-23,17202358.0
2002-05-24,16921947.0
2002-05-27,16912505.0
2002-05-28,16895845.0
2002-05-29,16849243.0
2002-05-30,16989933.0
2002-05-31,16903954.0
2002-06-03,16962674.0
2002-06-04,16994270.0
2002-06-05,16943267.0
2002-06-06,17043640.0
2002-06-07,17076966.0
2002-06-10,17102848.0
2002-06-11,17389175.0
2002-06-12,18043121.0
2002-06-13,18442195.0
2002-06-14,18441228.0
2002-06-17,18437697.0
2002-06-18,18469122.0
2002-06-19,19385734.0
2002-06-20,19160732.0
2002-06-21,19201210.0
2002-06-24,19101785.0
2002-06-25,19091311.0
2002-06-26,18853349.0
2002-06-27,18883566.0
2002-06-28,18836898.0
2002-07-01,18930485.0
2002-07-02,18956355.0
2002-07-03,18759052.0
2002-07-04,18756194.0
2002-07-05,18707715.0
2002-07-08,18711854.0
2002-07-09,18668426.0
