Tarih,TP_GOLDIMPRT_V1
2017-06-01,46390.18
2017-07-01,62852.69
2017-08-01,23538.91
2017-09-01,28526.79
2017-10-01,17012.73
2017-11-01,14039.03
2017-12-01,40251.86
2018-01-01,44210.3
2018-02-01,16340.55
2018-03-01,31238.35
2018-04-01,26457.31
2018-05-01,34857.95
2018-06-01,8035.16
2018-07-01,13000.57
2018-08-01,4292.7
2018-09-01,7487.16
2018-10-01,3135.32
2018-11-01,4879.55
2018-12-01,8414.64
2019-01-01,8894.7
2019-02-01,5010.39
2019-03-01,18684.0
2019-04-01,13878.31
2019-05-01,3361.41
2019-06-01,7824.72
2019-07-01,13509.47
2019-08-01,11190.78
2019-09-01,12149.52
2019-10-01,23076.24
2019-11-01,20650.5
2019-12-01,21134.87
2020-01-01,29647.63
2020-02-01,18872.63
2020-03-01,26268.15
2020-04-01,7308.34
2020-05-01,11779.97
2020-06-01,21518.34
2020-07-01,21611.22
2020-08-01,37572.45
2020-09-01,37128.7
2020-10-01,22821.81
2020-11-01,30660.12
2020-12-01,26119.85
2021-01-01,11464.33
2021-02-01,9381.35
2021-03-01,13256.64
2021-04-01,6551.04
2021-05-01,3106.64
2021-06-01,3100.92
2021-07-01,1469.07
2021-08-01,2259.45
2021-09-01,2155.0
2021-10-01,1213.59
2021-11-01,492.32
2021-12-01,1499.66
2022-01-01,3577.96
2022-02-01,4497.81
2022-03-01,8761.38
2022-04-01,2712.96
2022-05-01,15298.48
2022-06-01,12526.28
2022-07-01,22375.97
2022-08-01,31343.21
2022-09-01,39032.91
2022-10-01,44568.48
2022-11-01,38928.33
2022-12-01,41216.16
2023-01-01,68330.32
2023-02-01,57452.72
2023-03-01,21670.23
2023-04-01,2883.15
2023-05-01,13426.26
2023-06-01,19299.87
2023-07-01,38145.41
2023-08-01,21223.35
2023-09-01,14961.78
2023-10-01,23182.2
2023-11-01,22312.96
2023-12-01,16090.35
2024-01-01,11546.02
2024-02-01,11193.17
2024-03-01,12781.35
2024-04-01,11419.0
2024-05-01,11834.75
2024-06-01,7268.82
2024-07-01,6192.99
2024-08-01,7644.27
2024-09-01,8218.92
2024-10-01,9651.89
2024-11-01,13385.36
2024-12-01,14557.21
2025-01-01,9654.0
2025-02-01,11619.48
2025-03-01,9667.76
2025-04-01,15228.54
2025-05-01,12245.8
2025-06-01,9334.44
2025-07-01,4343.46
2025-08-01,6500.22
