Tarih,TP_ITHALATBEC_62
2024-11-01,735831.0
2024-12-01,822679.0
2025-01-01,820316.0
2025-02-01,728994.0
2025-03-01,793807.0
2025-04-01,779566.0
2025-05-01,791615.0
2025-06-01,728588.0
2025-07-01,932015.0
2025-08-01,824447.0
