Tarih,TP_URISTSAYIL_ISPARTA
2019-02-01,1757.0
2019-03-01,10193.0
2019-04-01,3584.0
2019-05-01,2527.0
2019-06-01,3371.0
2019-07-01,2801.0
2019-08-01,3508.0
2019-09-01,3108.0
2019-10-01,1948.0
2019-11-01,738.0
2019-12-01,2.0
2020-01-01,440.0
2020-02-01,89.0
2020-03-01,6.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,6.0
2020-07-01,125.0
2020-08-01,205.0
2020-09-01,141.0
2020-10-01,8.0
2020-11-01,0.0
2020-12-01,300.0
2021-01-01,11.0
2021-02-01,370.0
2021-03-01,426.0
2021-04-01,331.0
2021-05-01,34.0
2021-06-01,549.0
2021-07-01,372.0
2021-08-01,1098.0
2021-09-01,1422.0
2021-10-01,1153.0
2021-11-01,0.0
2021-12-01,646.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,1147.0
2022-04-01,345.0
2022-05-01,1154.0
2022-06-01,1931.0
2022-07-01,1940.0
2022-08-01,1624.0
2022-09-01,2049.0
2022-10-01,1098.0
2022-11-01,1109.0
2022-12-01,617.0
2023-01-01,4.0
2023-02-01,0.0
2023-03-01,1907.0
2023-04-01,964.0
2023-05-01,1156.0
2023-06-01,1382.0
2023-07-01,1592.0
2023-08-01,2203.0
2023-09-01,2299.0
2023-10-01,953.0
2023-11-01,0.0
2023-12-01,7.0
2024-01-01,91.0
2024-02-01,440.0
2024-03-01,1317.0
2024-04-01,1245.0
2024-05-01,551.0
2024-06-01,406.0
2024-07-01,621.0
2024-08-01,855.0
2024-09-01,1585.0
2024-10-01,689.0
2024-11-01,3.0
2024-12-01,432.0
2025-01-01,2.0
2025-02-01,515.0
2025-03-01,1164.0
2025-04-01,639.0
2025-05-01,639.0
2025-06-01,209.0
2025-07-01,3.0
2025-08-01,0.0
