Tarih,TP_URISTSAYIL_ANKARA
2012-04-01,23608.0
2012-05-01,24796.0
2012-06-01,39979.0
2012-07-01,51948.0
2012-08-01,42333.0
2012-09-01,32851.0
2012-10-01,31721.0
2012-11-01,20925.0
2012-12-01,21514.0
2013-01-01,16584.0
2013-02-01,19433.0
2013-03-01,25610.0
2013-04-01,24439.0
2013-05-01,30504.0
2013-06-01,37088.0
2013-07-01,44892.0
2013-08-01,38292.0
2013-09-01,30286.0
2013-10-01,27699.0
2013-11-01,18686.0
2013-12-01,19132.0
2014-01-01,14993.0
2014-02-01,19445.0
2014-03-01,21394.0
2014-04-01,22550.0
2014-05-01,22980.0
2014-06-01,31594.0
2014-07-01,44009.0
2014-08-01,42927.0
2014-09-01,33122.0
2014-10-01,27930.0
2014-11-01,21202.0
2014-12-01,22380.0
2015-01-01,17868.0
2015-02-01,23571.0
2015-03-01,24524.0
2015-04-01,23955.0
2015-05-01,28231.0
2015-06-01,34532.0
2015-07-01,56985.0
2015-08-01,50833.0
2015-09-01,36536.0
2015-10-01,28024.0
2015-11-01,19644.0
2015-12-01,21837.0
2016-01-01,19870.0
2016-02-01,21027.0
2016-03-01,20964.0
2016-04-01,18188.0
2016-05-01,23005.0
2016-06-01,28410.0
2016-07-01,45417.0
2016-08-01,40371.0
2016-09-01,32813.0
2016-10-01,29599.0
2016-11-01,23573.0
2016-12-01,27999.0
2017-01-01,26173.0
2017-02-01,27010.0
2017-03-01,30102.0
2017-04-01,31627.0
2017-05-01,33307.0
2017-06-01,42896.0
2017-07-01,78826.0
2017-08-01,66131.0
2017-09-01,51203.0
2017-10-01,41988.0
2017-11-01,31507.0
2017-12-01,35355.0
2018-01-01,32017.0
2018-02-01,35282.0
2018-03-01,36756.0
2018-04-01,41630.0
2018-05-01,41898.0
2018-06-01,58005.0
2018-07-01,90026.0
2018-08-01,70443.0
2018-09-01,56508.0
2018-10-01,49043.0
2018-11-01,33015.0
2018-12-01,36494.0
2019-01-01,29542.0
2019-02-01,36292.0
2019-03-01,37258.0
2019-04-01,45099.0
2019-05-01,38000.0
2019-06-01,59974.0
2019-07-01,88938.0
2019-08-01,73905.0
2019-09-01,57098.0
2019-10-01,47604.0
2019-11-01,34468.0
2019-12-01,40912.0
2020-01-01,34365.0
2020-02-01,37320.0
2020-03-01,9876.0
2020-04-01,397.0
2020-05-01,402.0
2020-06-01,7260.0
2020-07-01,26449.0
2020-08-01,18310.0
2020-09-01,9727.0
2020-10-01,11854.0
2020-11-01,9302.0
2020-12-01,10502.0
2021-01-01,7916.0
2021-02-01,8346.0
2021-03-01,15543.0
2021-04-01,15995.0
2021-05-01,16290.0
2021-06-01,34274.0
2021-07-01,82301.0
2021-08-01,64275.0
2021-09-01,47124.0
2021-10-01,43045.0
2021-11-01,28636.0
2021-12-01,35420.0
2022-01-01,27023.0
2022-02-01,28576.0
2022-03-01,29027.0
2022-04-01,28276.0
2022-05-01,37332.0
2022-06-01,56359.0
2022-07-01,82728.0
2022-08-01,60556.0
2022-09-01,45176.0
2022-10-01,40290.0
2022-11-01,27050.0
2022-12-01,33331.0
2023-01-01,28501.0
2023-02-01,32284.0
2023-03-01,36859.0
2023-04-01,40043.0
2023-05-01,47919.0
2023-06-01,66515.0
2023-07-01,91851.0
2023-08-01,81690.0
2023-09-01,67853.0
2023-10-01,58459.0
2023-11-01,39117.0
2023-12-01,47694.0
2024-01-01,38154.0
2024-02-01,44827.0
2024-03-01,43940.0
2024-04-01,47074.0
2024-05-01,54838.0
2024-06-01,62983.0
2024-07-01,93912.0
2024-08-01,84563.0
2024-09-01,60219.0
2024-10-01,50812.0
2024-11-01,38118.0
2024-12-01,43385.0
2025-01-01,37124.0
2025-02-01,40570.0
2025-03-01,37195.0
2025-04-01,51480.0
2025-05-01,52158.0
2025-06-01,58678.0
2025-07-01,88672.0
2025-08-01,81052.0
