Tarih,TP_URISTSAYIL_MUGLA
2011-09-01,500831.0
2011-10-01,281785.0
2011-11-01,18006.0
2011-12-01,5203.0
2012-01-01,1246.0
2012-02-01,3357.0
2012-03-01,10317.0
2012-04-01,107181.0
2012-05-01,364041.0
2012-06-01,501710.0
2012-07-01,610072.0
2012-08-01,603100.0
2012-09-01,523600.0
2012-10-01,245302.0
2012-11-01,14274.0
2012-12-01,2429.0
2013-01-01,1273.0
2013-02-01,857.0
2013-03-01,7511.0
2013-04-01,98055.0
2013-05-01,399383.0
2013-06-01,503429.0
2013-07-01,593338.0
2013-08-01,615909.0
2013-09-01,534646.0
2013-10-01,292126.0
2013-11-01,12530.0
2013-12-01,3632.0
2014-01-01,1298.0
2014-02-01,2180.0
2014-03-01,6678.0
2014-04-01,124375.0
2014-05-01,407835.0
2014-06-01,508921.0
2014-07-01,624165.0
2014-08-01,644850.0
2014-09-01,539163.0
2014-10-01,275755.0
2014-11-01,13928.0
2014-12-01,2782.0
2015-01-01,1059.0
2015-02-01,2847.0
2015-03-01,10846.0
2015-04-01,87982.0
2015-05-01,377885.0
2015-06-01,497751.0
2015-07-01,597674.0
2015-08-01,595912.0
2015-09-01,472558.0
2015-10-01,246668.0
2015-11-01,19484.0
2015-12-01,7334.0
2016-01-01,3306.0
2016-02-01,6061.0
2016-03-01,15678.0
2016-04-01,65749.0
2016-05-01,223702.0
2016-06-01,259004.0
2016-07-01,321493.0
2016-08-01,329994.0
2016-09-01,273883.0
2016-10-01,151820.0
2016-11-01,5758.0
2016-12-01,1288.0
2017-01-01,2425.0
2017-02-01,2291.0
2017-03-01,7103.0
2017-04-01,73146.0
2017-05-01,236173.0
2017-06-01,333064.0
2017-07-01,397841.0
2017-08-01,406318.0
2017-09-01,347801.0
2017-10-01,167064.0
2017-11-01,6674.0
2017-12-01,2568.0
2018-01-01,1869.0
2018-02-01,1341.0
2018-03-01,14928.0
2018-04-01,101756.0
2018-05-01,344814.0
2018-06-01,466782.0
2018-07-01,516191.0
2018-08-01,535635.0
2018-09-01,458841.0
2018-10-01,260246.0
2018-11-01,15346.0
2018-12-01,6066.0
2019-01-01,1812.0
2019-02-01,1861.0
2019-03-01,9137.0
2019-04-01,146797.0
2019-05-01,405647.0
2019-06-01,533909.0
2019-07-01,631302.0
2019-08-01,656618.0
2019-09-01,542832.0
2019-10-01,273343.0
2019-11-01,12012.0
2019-12-01,6468.0
2020-01-01,1310.0
2020-02-01,2052.0
2020-03-01,1248.0
2020-04-01,182.0
2020-05-01,20.0
2020-06-01,1726.0
2020-07-01,55370.0
2020-08-01,242438.0
2020-09-01,284316.0
2020-10-01,79387.0
2020-11-01,1704.0
2020-12-01,260.0
2021-01-01,77.0
2021-02-01,116.0
2021-03-01,1180.0
2021-04-01,4217.0
2021-05-01,37386.0
2021-06-01,109775.0
2021-07-01,243246.0
2021-08-01,246795.0
2021-09-01,226267.0
2021-10-01,152709.0
2021-11-01,5520.0
2021-12-01,351.0
2022-01-01,1385.0
2022-02-01,329.0
2022-03-01,9273.0
2022-04-01,107756.0
2022-05-01,312086.0
2022-06-01,443632.0
2022-07-01,607530.0
2022-08-01,622930.0
2022-09-01,520631.0
2022-10-01,337805.0
2022-11-01,16841.0
2022-12-01,9533.0
2023-01-01,6516.0
2023-02-01,8422.0
2023-03-01,26401.0
2023-04-01,149625.0
2023-05-01,380899.0
2023-06-01,524299.0
2023-07-01,637846.0
2023-08-01,628654.0
2023-09-01,539461.0
2023-10-01,386811.0
2023-11-01,28999.0
2023-12-01,7559.0
2024-01-01,5623.0
2024-02-01,9073.0
2024-03-01,31415.0
2024-04-01,172762.0
2024-05-01,444271.0
2024-06-01,569111.0
2024-07-01,698809.0
2024-08-01,679019.0
2024-09-01,597817.0
2024-10-01,408013.0
2024-11-01,36246.0
2024-12-01,8291.0
2025-01-01,5945.0
2025-02-01,10386.0
2025-03-01,28690.0
2025-04-01,189213.0
2025-05-01,426386.0
2025-06-01,535192.0
2025-07-01,638242.0
2025-08-01,664219.0
