Tarih,TP_URISTSAYIL_KONYA
2012-11-01,83.0
2012-12-01,162.0
2013-01-01,31.0
2013-02-01,204.0
2013-03-01,185.0
2013-04-01,218.0
2013-05-01,1087.0
2013-06-01,3132.0
2013-07-01,3275.0
2013-08-01,1813.0
2013-09-01,676.0
2013-10-01,564.0
2013-11-01,290.0
2013-12-01,642.0
2014-01-01,126.0
2014-02-01,234.0
2014-03-01,261.0
2014-04-01,413.0
2014-05-01,816.0
2014-06-01,2514.0
2014-07-01,5623.0
2014-08-01,2540.0
2014-09-01,562.0
2014-10-01,348.0
2014-11-01,294.0
2014-12-01,1367.0
2015-01-01,155.0
2015-02-01,260.0
2015-03-01,353.0
2015-04-01,545.0
2015-05-01,826.0
2015-06-01,2894.0
2015-07-01,7307.0
2015-08-01,2742.0
2015-09-01,1441.0
2015-10-01,873.0
2015-11-01,359.0
2015-12-01,1373.0
2016-01-01,125.0
2016-02-01,283.0
2016-03-01,231.0
2016-04-01,474.0
2016-05-01,982.0
2016-06-01,3505.0
2016-07-01,6732.0
2016-08-01,1230.0
2016-09-01,1206.0
2016-10-01,1200.0
2016-11-01,201.0
2016-12-01,1207.0
2017-01-01,131.0
2017-02-01,71.0
2017-03-01,92.0
2017-04-01,276.0
2017-05-01,332.0
2017-06-01,2931.0
2017-07-01,7745.0
2017-08-01,3434.0
2017-09-01,1126.0
2017-10-01,1193.0
2017-11-01,104.0
2017-12-01,1653.0
2018-01-01,293.0
2018-02-01,373.0
2018-03-01,372.0
2018-04-01,263.0
2018-05-01,353.0
2018-06-01,3888.0
2018-07-01,8232.0
2018-08-01,3694.0
2018-09-01,1692.0
2018-10-01,1384.0
2018-11-01,371.0
2018-12-01,1498.0
2019-01-01,362.0
2019-02-01,363.0
2019-03-01,416.0
2019-04-01,598.0
2019-05-01,799.0
2019-06-01,4751.0
2019-07-01,10131.0
2019-08-01,3822.0
2019-09-01,1980.0
2019-10-01,1942.0
2019-11-01,383.0
2019-12-01,1202.0
2020-01-01,458.0
2020-02-01,408.0
2020-03-01,138.0
2020-04-01,35.0
2020-05-01,0.0
2020-06-01,1705.0
2020-07-01,5370.0
2020-08-01,2814.0
2020-09-01,1128.0
2020-10-01,806.0
2020-11-01,517.0
2020-12-01,738.0
2021-01-01,251.0
2021-02-01,353.0
2021-03-01,549.0
2021-04-01,521.0
2021-05-01,1413.0
2021-06-01,5415.0
2021-07-01,15610.0
2021-08-01,5213.0
2021-09-01,2341.0
2021-10-01,1815.0
2021-11-01,1122.0
2021-12-01,3171.0
2022-01-01,1700.0
2022-02-01,1729.0
2022-03-01,1925.0
2022-04-01,2043.0
2022-05-01,2827.0
2022-06-01,9363.0
2022-07-01,15886.0
2022-08-01,6575.0
2022-09-01,3232.0
2022-10-01,2998.0
2022-11-01,988.0
2022-12-01,2094.0
2023-01-01,1251.0
2023-02-01,981.0
2023-03-01,857.0
2023-04-01,1550.0
2023-05-01,2509.0
2023-06-01,6632.0
2023-07-01,9559.0
2023-08-01,5038.0
2023-09-01,2988.0
2023-10-01,2837.0
2023-11-01,1173.0
2023-12-01,2849.0
2024-01-01,1512.0
2024-02-01,1628.0
2024-03-01,1547.0
2024-04-01,1462.0
2024-05-01,2986.0
2024-06-01,5381.0
2024-07-01,8781.0
2024-08-01,4268.0
2024-09-01,2827.0
2024-10-01,2736.0
2024-11-01,1338.0
2024-12-01,2975.0
2025-01-01,1556.0
2025-02-01,1591.0
2025-03-01,1091.0
2025-04-01,1679.0
2025-05-01,3388.0
2025-06-01,6306.0
2025-07-01,9377.0
2025-08-01,4132.0
