Tarih,TP_URISTSAYIL_ANTALYA
2007-11-01,234414.0
2007-12-01,138763.0
2008-01-01,121458.0
2008-02-01,152011.0
2008-03-01,291077.0
2008-04-01,473912.0
2008-05-01,1037876.0
2008-06-01,1282239.0
2008-07-01,1444204.0
2008-08-01,1430502.0
2008-09-01,1206548.0
2008-10-01,772849.0
2008-11-01,230038.0
2008-12-01,121881.0
2009-01-01,90024.0
2009-02-01,129468.0
2009-03-01,210815.0
2009-04-01,452509.0
2009-05-01,952162.0
2009-06-01,1219695.0
2009-07-01,1423721.0
2009-08-01,1401751.0
2009-09-01,1204096.0
2009-10-01,800997.0
2009-11-01,245607.0
2009-12-01,129554.0
2010-01-01,120408.0
2010-02-01,155262.0
2010-03-01,308773.0
2010-04-01,447988.0
2010-05-01,1209735.0
2010-06-01,1369850.0
2010-07-01,1519531.0
2010-08-01,1486069.0
2010-09-01,1298971.0
2010-10-01,951824.0
2010-11-01,256768.0
2010-12-01,121635.0
2011-01-01,110176.0
2011-02-01,187131.0
2011-03-01,373780.0
2011-04-01,735233.0
2011-05-01,1296872.0
2011-06-01,1515467.0
2011-07-01,1697739.0
2011-08-01,1653337.0
2011-09-01,1442266.0
2011-10-01,1039042.0
2011-11-01,296240.0
2011-12-01,117142.0
2012-01-01,105335.0
2012-02-01,162857.0
2012-03-01,296420.0
2012-04-01,614860.0
2012-05-01,1219630.0
2012-06-01,1492881.0
2012-07-01,1737281.0
2012-08-01,1717009.0
2012-09-01,1521767.0
2012-10-01,1035119.0
2012-11-01,275176.0
2012-12-01,120434.0
2013-01-01,94026.0
2013-02-01,157314.0
2013-03-01,336060.0
2013-04-01,667258.0
2013-05-01,1414756.0
2013-06-01,1609005.0
2013-07-01,1784229.0
2013-08-01,1831985.0
2013-09-01,1666419.0
2013-10-01,1155154.0
2013-11-01,278655.0
2013-12-01,125869.0
2014-01-01,93771.0
2014-02-01,139873.0
2014-03-01,304231.0
2014-04-01,769397.0
2014-05-01,1468917.0
2014-06-01,1729724.0
2014-07-01,1975694.0
2014-08-01,1955780.0
2014-09-01,1576966.0
2014-10-01,1092765.0
2014-11-01,260873.0
2014-12-01,130528.0
2015-01-01,98604.0
2015-02-01,135736.0
2015-03-01,301344.0
2015-04-01,622623.0
2015-05-01,1345783.0
2015-06-01,1593283.0
2015-07-01,1956711.0
2015-08-01,1886432.0
2015-09-01,1535252.0
2015-10-01,1047709.0
2015-11-01,251551.0
2015-12-01,99065.0
2016-01-01,76940.0
2016-02-01,90526.0
2016-03-01,241421.0
2016-04-01,371921.0
2016-05-01,621870.0
2016-06-01,701580.0
2016-07-01,975335.0
2016-08-01,969761.0
2016-09-01,906986.0
2016-10-01,787001.0
2016-11-01,124826.0
2016-12-01,84329.0
2017-01-01,64653.0
2017-02-01,66672.0
2017-03-01,142798.0
2017-04-01,501259.0
2017-05-01,1048195.0
2017-06-01,1449514.0
2017-07-01,1783107.0
2017-08-01,1726720.0
2017-09-01,1509089.0
2017-10-01,963260.0
2017-11-01,128564.0
2017-12-01,98219.0
2018-01-01,69901.0
2018-02-01,84733.0
2018-03-01,242751.0
2018-04-01,665808.0
2018-05-01,1575613.0
2018-06-01,1933899.0
2018-07-01,2103421.0
2018-08-01,2074498.0
2018-09-01,1899103.0
2018-10-01,1359212.0
2018-11-01,256238.0
2018-12-01,173645.0
2019-01-01,116979.0
2019-02-01,135227.0
2019-03-01,253554.0
2019-04-01,931685.0
2019-05-01,1702343.0
2019-06-01,2204220.0
2019-07-01,2505187.0
2019-08-01,2479217.0
2019-09-01,2172303.0
2019-10-01,1635073.0
2019-11-01,308067.0
2019-12-01,206626.0
2020-01-01,152976.0
2020-02-01,174758.0
2020-03-01,103919.0
2020-04-01,22.0
2020-05-01,167.0
2020-06-01,12385.0
2020-07-01,204541.0
2020-08-01,772720.0
2020-09-01,995960.0
2020-10-01,682239.0
2020-11-01,100209.0
2020-12-01,56672.0
2021-01-01,47023.0
2021-02-01,44932.0
2021-03-01,160722.0
2021-04-01,171088.0
2021-05-01,291653.0
2021-06-01,771708.0
2021-07-01,1771363.0
2021-08-01,1823263.0
2021-09-01,1682376.0
2021-10-01,1551552.0
2021-11-01,256490.0
2021-12-01,164998.0
2022-01-01,117801.0
2022-02-01,131960.0
2022-03-01,200724.0
2022-04-01,661609.0
2022-05-01,1142522.0
2022-06-01,1794784.0
2022-07-01,2309973.0
2022-08-01,2265466.0
2022-09-01,1918433.0
2022-10-01,1661003.0
2022-11-01,362598.0
2022-12-01,251599.0
2023-01-01,183338.0
2023-02-01,196492.0
2023-03-01,307773.0
2023-04-01,943920.0
2023-05-01,1512077.0
2023-06-01,2044015.0
2023-07-01,2531435.0
2023-08-01,2485643.0
2023-09-01,2144575.0
2023-10-01,1792564.0
2023-11-01,348411.0
2023-12-01,259568.0
2024-01-01,178306.0
2024-02-01,222720.0
2024-03-01,456247.0
2024-04-01,984458.0
2024-05-01,1806200.0
2024-06-01,2238663.0
2024-07-01,2603678.0
2024-08-01,2549059.0
2024-09-01,2235322.0
2024-10-01,1965282.0
2024-11-01,407941.0
2024-12-01,254986.0
2025-01-01,166742.0
2025-02-01,205712.0
2025-03-01,321295.0
2025-04-01,1124753.0
2025-05-01,1754395.0
2025-06-01,2230025.0
2025-07-01,2575914.0
2025-08-01,2572471.0
