Tarih,TP_URISTSAYIL_AGRI
2017-01-01,32666.0
2017-02-01,36669.0
2017-03-01,67413.0
2017-04-01,28578.0
2017-05-01,38383.0
2017-06-01,46281.0
2017-07-01,49148.0
2017-08-01,54991.0
2017-09-01,60491.0
2017-10-01,44105.0
2017-11-01,45079.0
2017-12-01,44095.0
2018-01-01,31702.0
2018-02-01,39115.0
2018-03-01,96335.0
2018-04-01,16627.0
2018-05-01,18153.0
2018-06-01,23197.0
2018-07-01,22557.0
2018-08-01,30346.0
2018-09-01,31488.0
2018-10-01,21632.0
2018-11-01,18379.0
2018-12-01,18442.0
2019-01-01,15455.0
2019-02-01,18639.0
2019-03-01,58348.0
2019-04-01,19110.0
2019-05-01,27678.0
2019-06-01,32620.0
2019-07-01,47748.0
2019-08-01,56178.0
2019-09-01,51341.0
2019-10-01,30314.0
2019-11-01,22606.0
2019-12-01,23606.0
2020-01-01,19103.0
2020-02-01,15139.0
2020-03-01,2.0
2020-04-01,16.0
2020-05-01,0.0
2020-06-01,2653.0
2020-07-01,4297.0
2020-08-01,4945.0
2020-09-01,5866.0
2020-10-01,5504.0
2020-11-01,5865.0
2020-12-01,5615.0
2021-01-01,5841.0
2021-02-01,5839.0
2021-03-01,5905.0
2021-04-01,5436.0
2021-05-01,4769.0
2021-06-01,5246.0
2021-07-01,4805.0
2021-08-01,5844.0
2021-09-01,6136.0
2021-10-01,8701.0
2021-11-01,11664.0
2021-12-01,16891.0
2022-01-01,13225.0
2022-02-01,17119.0
2022-03-01,48756.0
2022-04-01,14641.0
2022-05-01,20928.0
2022-06-01,26601.0
2022-07-01,31873.0
2022-08-01,38414.0
2022-09-01,43567.0
2022-10-01,20448.0
2022-11-01,19931.0
2022-12-01,19805.0
2023-01-01,15963.0
2023-02-01,17611.0
2023-03-01,44823.0
2023-04-01,18105.0
2023-05-01,25511.0
2023-06-01,30084.0
2023-07-01,36773.0
2023-08-01,37756.0
2023-09-01,51864.0
2023-10-01,27278.0
2023-11-01,36542.0
2023-12-01,50546.0
2024-01-01,64066.0
2024-02-01,60510.0
2024-03-01,43770.0
2024-04-01,41577.0
2024-05-01,35475.0
2024-06-01,46462.0
2024-07-01,41447.0
2024-08-01,40745.0
2024-09-01,57533.0
2024-10-01,46770.0
2024-11-01,46875.0
2024-12-01,51574.0
2025-01-01,52693.0
2025-02-01,45515.0
2025-03-01,34497.0
2025-04-01,43643.0
2025-05-01,45738.0
2025-06-01,35295.0
2025-07-01,27230.0
2025-08-01,35103.0
