Tarih,TP_URISTSAYIL_VAN
2018-05-01,6913.0
2018-06-01,11674.0
2018-07-01,9046.0
2018-08-01,20991.0
2018-09-01,24833.0
2018-10-01,8932.0
2018-11-01,8742.0
2018-12-01,8509.0
2019-01-01,6286.0
2019-02-01,12687.0
2019-03-01,30253.0
2019-04-01,8447.0
2019-05-01,11543.0
2019-06-01,26959.0
2019-07-01,38800.0
2019-08-01,64417.0
2019-09-01,59035.0
2019-10-01,33441.0
2019-11-01,23382.0
2019-12-01,13076.0
2020-01-01,9495.0
2020-02-01,8760.0
2020-03-01,23.0
2020-04-01,0.0
2020-05-01,5.0
2020-06-01,4.0
2020-07-01,9.0
2020-08-01,12.0
2020-09-01,152.0
2020-10-01,658.0
2020-11-01,332.0
2020-12-01,202.0
2021-01-01,121.0
2021-02-01,134.0
2021-03-01,237.0
2021-04-01,102.0
2021-05-01,311.0
2021-06-01,476.0
2021-07-01,656.0
2021-08-01,1001.0
2021-09-01,4004.0
2021-10-01,12613.0
2021-11-01,17264.0
2021-12-01,17207.0
2022-01-01,10119.0
2022-02-01,17674.0
2022-03-01,48172.0
2022-04-01,18445.0
2022-05-01,26691.0
2022-06-01,35813.0
2022-07-01,47730.0
2022-08-01,60737.0
2022-09-01,81724.0
2022-10-01,36169.0
2022-11-01,29134.0
2022-12-01,23979.0
2023-01-01,16592.0
2023-02-01,17892.0
2023-03-01,46493.0
2023-04-01,29271.0
2023-05-01,27547.0
2023-06-01,46796.0
2023-07-01,62385.0
2023-08-01,80956.0
2023-09-01,100063.0
2023-10-01,48193.0
2023-11-01,42206.0
2023-12-01,37030.0
2024-01-01,39136.0
2024-02-01,46580.0
2024-03-01,63050.0
2024-04-01,31142.0
2024-05-01,40172.0
2024-06-01,58335.0
2024-07-01,75718.0
2024-08-01,90683.0
2024-09-01,89142.0
2024-10-01,68907.0
2024-11-01,61516.0
2024-12-01,54276.0
2025-01-01,52702.0
2025-02-01,49081.0
2025-03-01,56081.0
2025-04-01,45410.0
2025-05-01,50468.0
2025-06-01,66099.0
2025-07-01,79523.0
2025-08-01,96554.0
