Tarih,TP_URISTSAYIL_HATAY
2008-12-01,46782.0
2009-01-01,16521.0
2009-02-01,15124.0
2009-03-01,18576.0
2009-04-01,21101.0
2009-05-01,19354.0
2009-06-01,25858.0
2009-07-01,46445.0
2009-08-01,52468.0
2009-09-01,43421.0
2009-10-01,42852.0
2009-11-01,42213.0
2009-12-01,47460.0
2010-01-01,29850.0
2010-02-01,30696.0
2010-03-01,38759.0
2010-04-01,45122.0
2010-05-01,44285.0
2010-06-01,53183.0
2010-07-01,98580.0
2010-08-01,69101.0
2010-09-01,78571.0
2010-10-01,56889.0
2010-11-01,65069.0
2010-12-01,43934.0
2011-01-01,35344.0
2011-02-01,33284.0
2011-03-01,39580.0
2011-04-01,37764.0
2011-05-01,37285.0
2011-06-01,41198.0
2011-07-01,55968.0
2011-08-01,47106.0
2011-09-01,48887.0
2011-10-01,40934.0
2011-11-01,44501.0
2011-12-01,32147.0
2012-01-01,33223.0
2012-02-01,22335.0
2012-03-01,26976.0
2012-04-01,32587.0
2012-05-01,26046.0
2012-06-01,24452.0
2012-07-01,21343.0
2012-08-01,26352.0
2012-09-01,27728.0
2012-10-01,33476.0
2012-11-01,33991.0
2012-12-01,42926.0
2013-01-01,46365.0
2013-02-01,33172.0
2013-03-01,37602.0
2013-04-01,41752.0
2013-05-01,29237.0
2013-06-01,30268.0
2013-07-01,26499.0
2013-08-01,32332.0
2013-09-01,28652.0
2013-10-01,32421.0
2013-11-01,24988.0
2013-12-01,22345.0
2014-01-01,19852.0
2014-02-01,20597.0
2014-03-01,27996.0
2014-04-01,31450.0
2014-05-01,35687.0
2014-06-01,39249.0
2014-07-01,34018.0
2014-08-01,50010.0
2014-09-01,40901.0
2014-10-01,36984.0
2014-11-01,33170.0
2014-12-01,39722.0
2015-01-01,21510.0
2015-02-01,31974.0
2015-03-01,11275.0
2015-04-01,3122.0
2015-05-01,4320.0
2015-06-01,5113.0
2015-07-01,17582.0
2015-08-01,7525.0
2015-09-01,10193.0
2015-10-01,27456.0
2015-11-01,6265.0
2015-12-01,6523.0
2016-01-01,7251.0
2016-02-01,7152.0
2016-03-01,3883.0
2016-04-01,4444.0
2016-05-01,6267.0
2016-06-01,7442.0
2016-07-01,18178.0
2016-08-01,18882.0
2016-09-01,17734.0
2016-10-01,14965.0
2016-11-01,8021.0
2016-12-01,7682.0
2017-01-01,8368.0
2017-02-01,7801.0
2017-03-01,8507.0
2017-04-01,5023.0
2017-05-01,4368.0
2017-06-01,5450.0
2017-07-01,16606.0
2017-08-01,17153.0
2017-09-01,22781.0
2017-10-01,23630.0
2017-11-01,15016.0
2017-12-01,11422.0
2018-01-01,7745.0
2018-02-01,6633.0
2018-03-01,7089.0
2018-04-01,9603.0
2018-05-01,10834.0
2018-06-01,16973.0
2018-07-01,36080.0
2018-08-01,22525.0
2018-09-01,41685.0
2018-10-01,19545.0
2018-11-01,12977.0
2018-12-01,14220.0
2019-01-01,9842.0
2019-02-01,9186.0
2019-03-01,11019.0
2019-04-01,12774.0
2019-05-01,11056.0
2019-06-01,20471.0
2019-07-01,26750.0
2019-08-01,25746.0
2019-09-01,32995.0
2019-10-01,23413.0
2019-11-01,13709.0
2019-12-01,16573.0
2020-01-01,12379.0
2020-02-01,10836.0
2020-03-01,5461.0
2020-04-01,618.0
2020-05-01,716.0
2020-06-01,4048.0
2020-07-01,6115.0
2020-08-01,6316.0
2020-09-01,6412.0
2020-10-01,8180.0
2020-11-01,7091.0
2020-12-01,6846.0
2021-01-01,6069.0
2021-02-01,5830.0
2021-03-01,7255.0
2021-04-01,6195.0
2021-05-01,4071.0
2021-06-01,7914.0
2021-07-01,10234.0
2021-08-01,29561.0
2021-09-01,17282.0
2021-10-01,10569.0
2021-11-01,10158.0
2021-12-01,11130.0
2022-01-01,6887.0
2022-02-01,7799.0
2022-03-01,9017.0
2022-04-01,7844.0
2022-05-01,8226.0
2022-06-01,11339.0
2022-07-01,12435.0
2022-08-01,12331.0
2022-09-01,10547.0
2022-10-01,9909.0
2022-11-01,9787.0
2022-12-01,8667.0
2023-01-01,8210.0
2023-02-01,2139.0
2023-03-01,2417.0
2023-04-01,3129.0
2023-05-01,6041.0
2023-06-01,21564.0
2023-07-01,8907.0
2023-08-01,8926.0
2023-09-01,6081.0
2023-10-01,5732.0
2023-11-01,5793.0
2023-12-01,6432.0
2024-01-01,6300.0
2024-02-01,6316.0
2024-03-01,6376.0
2024-04-01,5533.0
2024-05-01,5906.0
2024-06-01,6892.0
2024-07-01,5368.0
2024-08-01,6751.0
2024-09-01,6684.0
2024-10-01,5898.0
2024-11-01,5381.0
2024-12-01,4799.0
2025-01-01,6009.0
2025-02-01,7846.0
2025-03-01,5099.0
2025-04-01,5771.0
2025-05-01,6354.0
2025-06-01,7491.0
2025-07-01,3468.0
2025-08-01,4383.0
