Tarih,TP_URISTSAYIL_KOCAELI
2023-06-01,2361.0
2023-07-01,2675.0
2023-08-01,2360.0
2023-09-01,2591.0
2023-10-01,2364.0
2023-11-01,2141.0
2023-12-01,2824.0
2024-01-01,2596.0
2024-02-01,2194.0
2024-03-01,2909.0
2024-04-01,2678.0
2024-05-01,2999.0
2024-06-01,2772.0
2024-07-01,2849.0
2024-08-01,2870.0
2024-09-01,2484.0
2024-10-01,3404.0
2024-11-01,2935.0
2024-12-01,3358.0
2025-01-01,2746.0
2025-02-01,2326.0
2025-03-01,3023.0
2025-04-01,2635.0
2025-05-01,2899.0
2025-06-01,3084.0
2025-07-01,3094.0
2025-08-01,2525.0
