Tarih,TP_URISTSAYIL_SIRNAK
2016-01-01,8690.0
2016-02-01,8033.0
2016-03-01,4690.0
2016-04-01,3735.0
2016-05-01,4973.0
2016-06-01,4053.0
2016-07-01,6889.0
2016-08-01,9816.0
2016-09-01,9276.0
2016-10-01,7782.0
2016-11-01,6939.0
2016-12-01,8512.0
2017-01-01,7166.0
2017-02-01,9989.0
2017-03-01,12835.0
2017-04-01,12852.0
2017-05-01,16551.0
2017-06-01,18505.0
2017-07-01,27840.0
2017-08-01,37853.0
2017-09-01,25563.0
2017-10-01,23219.0
2017-11-01,25443.0
2017-12-01,30019.0
2018-01-01,25754.0
2018-02-01,26308.0
2018-03-01,30473.0
2018-04-01,23679.0
2018-05-01,19985.0
2018-06-01,30765.0
2018-07-01,43044.0
2018-08-01,1335.0
2018-09-01,47635.0
2018-10-01,37751.0
2018-11-01,28628.0
2018-12-01,30179.0
2019-01-01,25892.0
2019-02-01,29369.0
2019-03-01,34191.0
2019-04-01,33771.0
2019-05-01,28756.0
2019-06-01,42334.0
2019-07-01,55511.0
2019-08-01,71641.0
2019-09-01,52275.0
2019-10-01,35323.0
2019-11-01,31991.0
2019-12-01,37409.0
2020-01-01,34321.0
2020-02-01,37070.0
2020-03-01,1353.0
2020-04-01,44.0
2020-05-01,21.0
2020-06-01,522.0
2020-07-01,2557.0
2020-08-01,13428.0
2020-09-01,37404.0
2020-10-01,44155.0
2020-11-01,34431.0
2020-12-01,24949.0
2021-01-01,15681.0
2021-02-01,19066.0
2021-03-01,20786.0
2021-04-01,19412.0
2021-05-01,18666.0
2021-06-01,32249.0
2021-07-01,50809.0
2021-08-01,65212.0
2021-09-01,57943.0
2021-10-01,43337.0
2021-11-01,36651.0
2021-12-01,43714.0
2022-01-01,30951.0
2022-02-01,39522.0
2022-03-01,48833.0
2022-04-01,30957.0
2022-05-01,48219.0
2022-06-01,59222.0
2022-07-01,86117.0
2022-08-01,96615.0
2022-09-01,74054.0
2022-10-01,49978.0
2022-11-01,43675.0
2022-12-01,45296.0
2023-01-01,39175.0
2023-02-01,35917.0
2023-03-01,38700.0
2023-04-01,33461.0
2023-05-01,47167.0
2023-06-01,56598.0
2023-07-01,62533.0
2023-08-01,75203.0
2023-09-01,46024.0
2023-10-01,32186.0
2023-11-01,26370.0
2023-12-01,27244.0
2024-01-01,25553.0
2024-02-01,28073.0
2024-03-01,22820.0
2024-04-01,23547.0
2024-05-01,28101.0
2024-06-01,36399.0
2024-07-01,42779.0
2024-08-01,60919.0
2024-09-01,49281.0
2024-10-01,36578.0
2024-11-01,27963.0
2024-12-01,29183.0
2025-01-01,28060.0
2025-02-01,26434.0
2025-03-01,23405.0
2025-04-01,29724.0
2025-05-01,34874.0
2025-06-01,64945.0
2025-07-01,56633.0
2025-08-01,74532.0
