Tarih,TP_URISTSAYIL_GAZIANTEP
2016-12-01,1314.0
2017-01-01,1968.0
2017-02-01,1398.0
2017-03-01,1270.0
2017-04-01,1737.0
2017-05-01,2260.0
2017-06-01,2740.0
2017-07-01,6549.0
2017-08-01,5533.0
2017-09-01,4857.0
2017-10-01,2791.0
2017-11-01,1543.0
2017-12-01,1619.0
2018-01-01,1429.0
2018-02-01,1683.0
2018-03-01,1983.0
2018-04-01,1690.0
2018-05-01,1934.0
2018-06-01,5545.0
2018-07-01,9397.0
2018-08-01,8345.0
2018-09-01,13505.0
2018-10-01,5205.0
2018-11-01,2228.0
2018-12-01,2554.0
2019-01-01,1801.0
2019-02-01,1551.0
2019-03-01,2347.0
2019-04-01,4849.0
2019-05-01,3710.0
2019-06-01,16985.0
2019-07-01,17532.0
2019-08-01,23032.0
2019-09-01,17905.0
2019-10-01,12023.0
2019-11-01,4361.0
2019-12-01,5833.0
2020-01-01,2791.0
2020-02-01,3444.0
2020-03-01,1050.0
2020-04-01,20.0
2020-05-01,78.0
2020-06-01,3274.0
2020-07-01,5878.0
2020-08-01,3497.0
2020-09-01,2160.0
2020-10-01,1327.0
2020-11-01,243.0
2020-12-01,933.0
2021-01-01,90.0
2021-02-01,319.0
2021-03-01,564.0
2021-04-01,915.0
2021-05-01,1336.0
2021-06-01,3252.0
2021-07-01,14997.0
2021-08-01,14063.0
2021-09-01,7129.0
2021-10-01,10315.0
2021-11-01,12366.0
2021-12-01,9780.0
2022-01-01,3723.0
2022-02-01,4461.0
2022-03-01,5805.0
2022-04-01,5241.0
2022-05-01,6737.0
2022-06-01,9634.0
2022-07-01,18234.0
2022-08-01,13360.0
2022-09-01,8211.0
2022-10-01,7939.0
2022-11-01,6426.0
2022-12-01,7498.0
2023-01-01,5576.0
2023-02-01,7669.0
2023-03-01,8191.0
2023-04-01,3874.0
2023-05-01,7776.0
2023-06-01,10559.0
2023-07-01,25444.0
2023-08-01,13728.0
2023-09-01,10047.0
2023-10-01,9455.0
2023-11-01,8450.0
2023-12-01,8899.0
2024-01-01,5306.0
2024-02-01,4608.0
2024-03-01,3366.0
2024-04-01,4803.0
2024-05-01,6974.0
2024-06-01,7098.0
2024-07-01,16104.0
2024-08-01,8697.0
2024-09-01,6371.0
2024-10-01,6158.0
2024-11-01,3910.0
2024-12-01,4971.0
2025-01-01,3590.0
2025-02-01,3674.0
2025-03-01,3612.0
2025-04-01,5773.0
2025-05-01,5687.0
2025-06-01,12556.0
2025-07-01,10912.0
2025-08-01,9469.0
