Tarih,TP_URISTSAYIL_IZMIR
2021-09-01,85505.0
2021-10-01,83580.0
2021-11-01,26645.0
2021-12-01,41283.0
2022-01-01,23475.0
2022-02-01,26040.0
2022-03-01,40572.0
2022-04-01,87652.0
2022-05-01,127376.0
2022-06-01,192454.0
2022-07-01,281606.0
2022-08-01,250381.0
2022-09-01,190071.0
2022-10-01,151956.0
2022-11-01,42170.0
2022-12-01,48705.0
2023-01-01,30197.0
2023-02-01,32554.0
2023-03-01,45612.0
2023-04-01,99733.0
2023-05-01,142853.0
2023-06-01,181771.0
2023-07-01,262712.0
2023-08-01,243569.0
2023-09-01,186566.0
2023-10-01,155602.0
2023-11-01,53810.0
2023-12-01,56824.0
2024-01-01,35680.0
2024-02-01,42249.0
2024-03-01,65021.0
2024-04-01,98918.0
2024-05-01,167372.0
2024-06-01,200904.0
2024-07-01,302088.0
2024-08-01,264542.0
2024-09-01,222100.0
2024-10-01,198536.0
2024-11-01,56568.0
2024-12-01,65546.0
2025-01-01,44424.0
2025-02-01,49631.0
2025-03-01,61777.0
2025-04-01,122240.0
2025-05-01,153501.0
2025-06-01,188785.0
2025-07-01,258961.0
2025-08-01,247498.0
