Tarih,TP_URISTSAYIL_KIRKLARELI
2009-01-01,10525.0
2009-02-01,13224.0
2009-03-01,15539.0
2009-04-01,21074.0
2009-05-01,26345.0
2009-06-01,28845.0
2009-07-01,42202.0
2009-08-01,45994.0
2009-09-01,33076.0
2009-10-01,23635.0
2009-11-01,19796.0
2009-12-01,19606.0
2010-01-01,9185.0
2010-02-01,11692.0
2010-03-01,9782.0
2010-04-01,20883.0
2010-05-01,25827.0
2010-06-01,29206.0
2010-07-01,43114.0
2010-08-01,45427.0
2010-09-01,38285.0
2010-10-01,24939.0
2010-11-01,24486.0
2010-12-01,17327.0
2011-01-01,11871.0
2011-02-01,12649.0
2011-03-01,15543.0
2011-04-01,21463.0
2011-05-01,27010.0
2011-06-01,28739.0
2011-07-01,42629.0
2011-08-01,44999.0
2011-09-01,44021.0
2011-10-01,23955.0
2011-11-01,23611.0
2011-12-01,18349.0
2012-01-01,11242.0
2012-02-01,9283.0
2012-03-01,15159.0
2012-04-01,23172.0
2012-05-01,24475.0
2012-06-01,30007.0
2012-07-01,40931.0
2012-08-01,51161.0
2012-09-01,40737.0
2012-10-01,31283.0
2012-11-01,20332.0
2012-12-01,16302.0
2013-01-01,12374.0
2013-02-01,13407.0
2013-03-01,16885.0
2013-04-01,23807.0
2013-05-01,28078.0
2013-06-01,28324.0
2013-07-01,37584.0
2013-08-01,52811.0
2013-09-01,39610.0
2013-10-01,34159.0
2013-11-01,20937.0
2013-12-01,18744.0
2014-01-01,12859.0
2014-02-01,13270.0
2014-03-01,18554.0
2014-04-01,26138.0
2014-05-01,29801.0
2014-06-01,33183.0
2014-07-01,45324.0
2014-08-01,57701.0
2014-09-01,41407.0
2014-10-01,36470.0
2014-11-01,21063.0
2014-12-01,20871.0
2015-01-01,14263.0
2015-02-01,15046.0
2015-03-01,19055.0
2015-04-01,29765.0
2015-05-01,33329.0
2015-06-01,33423.0
2015-07-01,49995.0
2015-08-01,51473.0
2015-09-01,45203.0
2015-10-01,33544.0
2015-11-01,21078.0
2015-12-01,21611.0
2016-01-01,12963.0
2016-02-01,15012.0
2016-03-01,18136.0
2016-04-01,23513.0
2016-05-01,26177.0
2016-06-01,24708.0
2016-07-01,34370.0
2016-08-01,31253.0
2016-09-01,34165.0
2016-10-01,24636.0
2016-11-01,19160.0
2016-12-01,18429.0
2017-01-01,8237.0
2017-02-01,13081.0
2017-03-01,19169.0
2017-04-01,23538.0
2017-05-01,24870.0
2017-06-01,29936.0
2017-07-01,41676.0
2017-08-01,42614.0
2017-09-01,46136.0
2017-10-01,30153.0
2017-11-01,24470.0
2017-12-01,24786.0
2018-01-01,15668.0
2018-02-01,14716.0
2018-03-01,20810.0
2018-04-01,36167.0
2018-05-01,32286.0
2018-06-01,39386.0
2018-07-01,47206.0
2018-08-01,63151.0
2018-09-01,62982.0
2018-10-01,49128.0
2018-11-01,35972.0
2018-12-01,31702.0
2019-01-01,18028.0
2019-02-01,19791.0
2019-03-01,31674.0
2019-04-01,48101.0
2019-05-01,39892.0
2019-06-01,47521.0
2019-07-01,56184.0
2019-08-01,69900.0
2019-09-01,62082.0
2019-10-01,53044.0
2019-11-01,40300.0
2019-12-01,37636.0
2020-01-01,22708.0
2020-02-01,22082.0
2020-03-01,12874.0
2020-04-01,101.0
2020-05-01,115.0
2020-06-01,1601.0
2020-07-01,5802.0
2020-08-01,16924.0
2020-09-01,46074.0
2020-10-01,47112.0
2020-11-01,24677.0
2020-12-01,13597.0
2021-01-01,4147.0
2021-02-01,5261.0
2021-03-01,7584.0
2021-04-01,7312.0
2021-05-01,9298.0
2021-06-01,23567.0
2021-07-01,38564.0
2021-08-01,41421.0
2021-09-01,35427.0
2021-10-01,34088.0
2021-11-01,28764.0
2021-12-01,42566.0
2022-01-01,16114.0
2022-02-01,21268.0
2022-03-01,39098.0
2022-04-01,57701.0
2022-05-01,52148.0
2022-06-01,53221.0
2022-07-01,69661.0
2022-08-01,85591.0
2022-09-01,75638.0
2022-10-01,69091.0
2022-11-01,46735.0
2022-12-01,46211.0
2023-01-01,31845.0
2023-02-01,26829.0
2023-03-01,38932.0
2023-04-01,54015.0
2023-05-01,53107.0
2023-06-01,60333.0
2023-07-01,78053.0
2023-08-01,86489.0
2023-09-01,80279.0
2023-10-01,62479.0
2023-11-01,41854.0
2023-12-01,43372.0
2024-01-01,27724.0
2024-02-01,33860.0
2024-03-01,44320.0
2024-04-01,56769.0
2024-05-01,55771.0
2024-06-01,59953.0
2024-07-01,70858.0
2024-08-01,85132.0
2024-09-01,77886.0
2024-10-01,69089.0
2024-11-01,41902.0
2024-12-01,41891.0
2025-01-01,29007.0
2025-02-01,25816.0
2025-03-01,36642.0
2025-04-01,48662.0
2025-05-01,49279.0
2025-06-01,58049.0
2025-07-01,71215.0
2025-08-01,86834.0
