Tarih,TP_URISTSAYIL_URFA
2022-09-01,163.0
2022-10-01,2.0
2022-11-01,2.0
2022-12-01,8.0
2023-01-01,9.0
2023-02-01,126.0
2023-03-01,3921.0
2023-04-01,889.0
2023-05-01,2013.0
2023-06-01,539.0
2023-07-01,581.0
2023-08-01,550.0
2023-09-01,69.0
2023-10-01,29.0
2023-11-01,11.0
2023-12-01,135.0
2024-01-01,28.0
2024-02-01,11.0
2024-03-01,16.0
2024-04-01,12.0
2024-05-01,138.0
2024-06-01,65.0
2024-07-01,75.0
2024-08-01,286.0
2024-09-01,469.0
2024-10-01,591.0
2024-11-01,302.0
2024-12-01,469.0
2025-01-01,263.0
2025-02-01,350.0
2025-03-01,243.0
2025-04-01,239.0
2025-05-01,351.0
2025-06-01,211.0
2025-07-01,222.0
2025-08-01,187.0
