Tarih,TP_URISTSAYIL_IGDIR
2012-07-01,21315.0
2012-08-01,22257.0
2012-09-01,20343.0
2012-10-01,22393.0
2012-11-01,22066.0
2012-12-01,23056.0
2013-01-01,16309.0
2013-02-01,16614.0
2013-03-01,20386.0
2013-04-01,17414.0
2013-05-01,18659.0
2013-06-01,19642.0
2013-07-01,19833.0
2013-08-01,23250.0
2013-09-01,21199.0
2013-10-01,20972.0
2013-11-01,21792.0
2013-12-01,16741.0
2014-01-01,12943.0
2014-02-01,15539.0
2014-03-01,19839.0
2014-04-01,15349.0
2014-05-01,17318.0
2014-06-01,17341.0
2014-07-01,17189.0
2014-08-01,21370.0
2014-09-01,18037.0
2014-10-01,16643.0
2014-11-01,17759.0
2014-12-01,16803.0
2015-01-01,12952.0
2015-02-01,13823.0
2015-03-01,18244.0
2015-04-01,12945.0
2015-05-01,15477.0
2015-06-01,16032.0
2015-07-01,17560.0
2015-08-01,13611.0
2015-09-01,8865.0
2015-10-01,10965.0
2015-11-01,12543.0
2015-12-01,11670.0
2016-01-01,9748.0
2016-02-01,11574.0
2016-03-01,14254.0
2016-04-01,13422.0
2016-05-01,16479.0
2016-06-01,16211.0
2016-07-01,18200.0
2016-08-01,20513.0
2016-09-01,18402.0
2016-10-01,18296.0
2016-11-01,17507.0
2016-12-01,16898.0
2017-01-01,15040.0
2017-02-01,18686.0
2017-03-01,23645.0
2017-04-01,20815.0
2017-05-01,21612.0
2017-06-01,21774.0
2017-07-01,27247.0
2017-08-01,25789.0
2017-09-01,22100.0
2017-10-01,19691.0
2017-11-01,19679.0
2017-12-01,18863.0
2018-01-01,15666.0
2018-02-01,15598.0
2018-03-01,20574.0
2018-04-01,19144.0
2018-05-01,21446.0
2018-06-01,23088.0
2018-07-01,24268.0
2018-08-01,31214.0
2018-09-01,27212.0
2018-10-01,21889.0
2018-11-01,19838.0
2018-12-01,17665.0
2019-01-01,13949.0
2019-02-01,15147.0
2019-03-01,19743.0
2019-04-01,18092.0
2019-05-01,19739.0
2019-06-01,21774.0
2019-07-01,25240.0
2019-08-01,27990.0
2019-09-01,24472.0
2019-10-01,22289.0
2019-11-01,22717.0
2019-12-01,20625.0
2020-01-01,18450.0
2020-02-01,15340.0
2020-03-01,639.0
2020-04-01,42.0
2020-05-01,79.0
2020-06-01,762.0
2020-07-01,1660.0
2020-08-01,2188.0
2020-09-01,2867.0
2020-10-01,2732.0
2020-11-01,2648.0
2020-12-01,2019.0
2021-01-01,1862.0
2021-02-01,2135.0
2021-03-01,2821.0
2021-04-01,3262.0
2021-05-01,3833.0
2021-06-01,5339.0
2021-07-01,12075.0
2021-08-01,16584.0
2021-09-01,18698.0
2021-10-01,20644.0
2021-11-01,24671.0
2021-12-01,31681.0
2022-01-01,13600.0
2022-02-01,18131.0
2022-03-01,30142.0
2022-04-01,25865.0
2022-05-01,35730.0
2022-06-01,37305.0
2022-07-01,6147.0
2022-08-01,3762.0
2022-09-01,5504.0
2022-10-01,9134.0
2022-11-01,19177.0
2022-12-01,9860.0
2023-01-01,12224.0
2023-02-01,19861.0
2023-03-01,23957.0
2023-04-01,20394.0
2023-05-01,24423.0
2023-06-01,25745.0
2023-07-01,32298.0
2023-08-01,35445.0
2023-09-01,31090.0
2023-10-01,32023.0
2023-11-01,34315.0
2023-12-01,31857.0
2024-01-01,22881.0
2024-02-01,26653.0
2024-03-01,31864.0
2024-04-01,26672.0
2024-05-01,29028.0
2024-06-01,27238.0
2024-07-01,31665.0
2024-08-01,31147.0
2024-09-01,27192.0
2024-10-01,26824.0
2024-11-01,28377.0
2024-12-01,23855.0
2025-01-01,19756.0
2025-02-01,20241.0
2025-03-01,25249.0
2025-04-01,21826.0
2025-05-01,24156.0
2025-06-01,25882.0
2025-07-01,28498.0
2025-08-01,29395.0
