Tarih,TP_URISTSAYIL_DIYARBAKIR
2019-07-01,5591.0
2019-08-01,4782.0
2019-09-01,4072.0
2019-10-01,3140.0
2019-11-01,764.0
2019-12-01,736.0
2020-01-01,317.0
2020-02-01,394.0
2020-03-01,324.0
2020-04-01,1.0
2020-05-01,4.0
2020-06-01,704.0
2020-07-01,1522.0
2020-08-01,1357.0
2020-09-01,967.0
2020-10-01,411.0
2020-11-01,91.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,126.0
2021-04-01,509.0
2021-05-01,701.0
2021-06-01,743.0
2021-07-01,6435.0
2021-08-01,4536.0
2021-09-01,2883.0
2021-10-01,3509.0
2021-11-01,858.0
2021-12-01,822.0
2022-01-01,368.0
2022-02-01,301.0
2022-03-01,1733.0
2022-04-01,2126.0
2022-05-01,2166.0
2022-06-01,4090.0
2022-07-01,6198.0
2022-08-01,6305.0
2022-09-01,3907.0
2022-10-01,3687.0
2022-11-01,1093.0
2022-12-01,1293.0
2023-01-01,765.0
2023-02-01,539.0
2023-03-01,1018.0
2023-04-01,1205.0
2023-05-01,1619.0
2023-06-01,2971.0
2023-07-01,4724.0
2023-08-01,4361.0
2023-09-01,3393.0
2023-10-01,3552.0
2023-11-01,968.0
2023-12-01,840.0
2024-01-01,651.0
2024-02-01,697.0
2024-03-01,1107.0
2024-04-01,1912.0
2024-05-01,2303.0
2024-06-01,3621.0
2024-07-01,6915.0
2024-08-01,4543.0
2024-09-01,5071.0
2024-10-01,4298.0
2024-11-01,1301.0
2024-12-01,1470.0
2025-01-01,958.0
2025-02-01,998.0
2025-03-01,1130.0
2025-04-01,3822.0
2025-05-01,2641.0
2025-06-01,3860.0
2025-07-01,6085.0
2025-08-01,5728.0
