Tarih,TP_URISTSAYIL_NEVSEHIR
2019-03-01,9.0
2019-04-01,203.0
2019-05-01,160.0
2019-06-01,15.0
2019-07-01,24.0
2019-08-01,93.0
2019-09-01,186.0
2019-10-01,13.0
2019-11-01,18.0
2019-12-01,77.0
2020-01-01,2.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,95.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,27.0
2020-09-01,13.0
2020-10-01,31.0
2020-11-01,22.0
2020-12-01,2.0
2021-01-01,0.0
2021-02-01,25.0
2021-03-01,409.0
2021-04-01,1915.0
2021-05-01,1811.0
2021-06-01,16.0
2021-07-01,24.0
2021-08-01,19.0
2021-09-01,975.0
2021-10-01,2262.0
2021-11-01,339.0
2021-12-01,8.0
2022-01-01,7.0
2022-02-01,0.0
2022-03-01,139.0
2022-04-01,2459.0
2022-05-01,1247.0
2022-06-01,21.0
2022-07-01,23.0
2022-08-01,127.0
2022-09-01,1297.0
2022-10-01,1692.0
2022-11-01,167.0
2022-12-01,85.0
2023-01-01,32.0
2023-02-01,91.0
2023-03-01,141.0
2023-04-01,1633.0
2023-05-01,1187.0
2023-06-01,654.0
2023-07-01,209.0
2023-08-01,327.0
2023-09-01,1222.0
2023-10-01,1774.0
2023-11-01,2.0
2023-12-01,2.0
2024-01-01,3.0
2024-02-01,60.0
2024-03-01,332.0
2024-04-01,877.0
2024-05-01,351.0
2024-06-01,31.0
2024-07-01,45.0
2024-08-01,11.0
2024-09-01,104.0
2024-10-01,1098.0
2024-11-01,72.0
2024-12-01,182.0
2025-01-01,6.0
2025-02-01,4.0
2025-03-01,10.0
2025-04-01,46.0
2025-05-01,608.0
2025-06-01,21.0
2025-07-01,61.0
2025-08-01,11.0
