Tarih,TP_TRY_MT02_K
2013-10-01,15.7
2013-11-01,16.15
2013-12-01,16.6
2014-01-01,17.94
2014-02-01,20.0
2014-03-01,13.1
2014-04-01,12.75
2014-05-01,18.72
2014-06-01,17.55
2014-07-01,17.49
2014-08-01,17.83
2014-09-01,17.55
2014-10-01,11.06
2014-11-01,16.91
2014-12-01,12.05
2015-01-01,12.06
2015-02-01,12.5
2015-03-01,13.0
2015-04-01,13.0
2015-05-01,12.5
2015-06-01,12.1
2015-07-01,12.0
2015-08-01,12.51
2015-09-01,13.6
2015-10-01,13.15
2015-11-01,13.66
2015-12-01,14.25
2016-01-01,14.8
2016-02-01,13.95
2016-03-01,14.02
2016-04-01,15.0
2016-05-01,12.75
2016-06-01,12.66
2016-07-01,12.0
2016-08-01,12.0
2016-09-01,12.0
2016-10-01,12.0
2016-11-01,12.0
2016-12-01,12.0
2017-01-01,12.05
2017-02-01,12.84
2017-03-01,13.9
2017-04-01,14.6
2017-05-01,15.0
2017-06-01,15.5
2017-07-01,15.22
2017-08-01,14.75
2017-09-01,15.15
2017-10-01,15.0
2017-11-01,15.4
2017-12-01,16.4
2018-01-01,15.77
2018-02-01,15.42
2018-03-01,15.62
2018-04-01,15.77
2018-05-01,17.3
2018-06-01,20.25
2018-07-01,20.17
2018-08-01,24.77
2018-09-01,31.0
2018-10-01,28.26
2018-11-01,27.72
2018-12-01,25.82
2019-01-01,23.91
2019-02-01,22.28
2019-03-01,23.25
2019-04-01,23.85
2019-05-01,25.45
2019-06-01,24.06
2019-07-01,25.57
2019-08-01,22.46
2019-09-01,18.17
2019-10-01,16.89
2019-11-01,14.75
2019-12-01,12.7
2020-01-01,11.5
2020-02-01,11.25
2020-03-01,11.5
2020-04-01,11.75
2020-05-01,10.43
2020-06-01,9.25
2020-07-01,9.35
2020-08-01,13.5
2020-09-01,13.5
2020-10-01,14.75
2020-11-01,17.5
2020-12-01,19.75
2021-01-01,19.0
2021-02-01,18.25
2021-03-01,20.25
2021-04-01,19.8
2021-05-01,19.65
2021-06-01,19.35
2021-07-01,19.35
2021-08-01,19.4
2021-09-01,19.35
2021-10-01,18.6
2021-11-01,17.75
2021-12-01,28.75
2022-01-01,25.5
2022-02-01,21.0
2022-03-01,18.5
2022-04-01,18.5
2022-05-01,20.5
2022-06-01,26.85
2022-07-01,27.3
2022-08-01,23.8
2022-09-01,24.0
2022-10-01,29.0
2022-11-01,29.5
2022-12-01,28.5
2023-01-01,32.0
2023-02-01,31.0
2023-03-01,33.0
2023-04-01,36.0
2023-05-01,48.0
2023-06-01,48.0
2023-07-01,40.0
2023-08-01,45.0
2023-09-01,49.9
2023-10-01,50.0
2023-11-01,58.0
2023-12-01,57.0
2024-01-01,57.5
2024-02-01,69.0
2024-03-01,76.0
2024-04-01,75.0
2024-05-01,75.7
2024-06-01,57.0
2024-07-01,63.0
2024-08-01,70.0
2024-09-01,61.0
2024-10-01,55.0
2024-11-01,62.0
2024-12-01,56.0
2025-01-01,52.5
2025-02-01,48.75
2025-03-01,55.0
2025-04-01,51.75
2025-05-01,54.0
2025-06-01,52.0
2025-07-01,50.0
2025-08-01,48.0
