Tarih,TP_TRY_MT03_K
2013-10-01,9.8
2013-11-01,9.45
2013-12-01,10.4
2014-01-01,11.5
2014-02-01,12.15
2014-03-01,13.05
2014-04-01,12.6
2014-05-01,11.9
2014-06-01,11.9
2014-07-01,11.25
2014-08-01,12.0
2014-09-01,10.5
2014-10-01,10.5
2014-11-01,12.0
2014-12-01,12.5
2015-01-01,12.5
2015-02-01,12.5
2015-03-01,12.5
2015-04-01,12.5
2015-05-01,12.0
2015-06-01,11.9
2015-07-01,11.8
2015-08-01,12.4
2015-09-01,13.12
2015-10-01,12.8
2015-11-01,13.31
2015-12-01,13.7
2016-01-01,13.02
2016-02-01,13.95
2016-03-01,14.0
2016-04-01,13.25
2016-05-01,12.5
2016-06-01,12.2
2016-07-01,12.0
2016-08-01,12.0
2016-09-01,12.0
2016-10-01,12.0
2016-11-01,12.0
2016-12-01,12.0
2017-01-01,12.0
2017-02-01,12.17
2017-03-01,13.5
2017-04-01,14.55
2017-05-01,14.96
2017-06-01,15.3
2017-07-01,14.95
2017-08-01,14.55
2017-09-01,14.7
2017-10-01,14.45
2017-11-01,15.0
2017-12-01,16.52
2018-01-01,15.5
2018-02-01,14.9
2018-03-01,15.2
2018-04-01,15.5
2018-05-01,17.15
2018-06-01,19.9
2018-07-01,19.97
2018-08-01,23.15
2018-09-01,30.0
2018-10-01,27.5
2018-11-01,26.0
2018-12-01,25.82
2019-01-01,23.25
2019-02-01,20.5
2019-03-01,20.5
2019-04-01,23.0
2019-05-01,23.9
2019-06-01,24.0
2019-07-01,23.75
2019-08-01,18.5
2019-09-01,17.55
2019-10-01,14.5
2019-11-01,12.75
2019-12-01,12.3
2020-01-01,11.5
2020-02-01,11.0
2020-03-01,11.15
2020-04-01,11.6
2020-05-01,9.8
2020-06-01,9.25
2020-07-01,9.25
2020-08-01,12.95
2020-09-01,13.2
2020-10-01,13.65
2020-11-01,17.0
2020-12-01,19.3
2021-01-01,18.75
2021-02-01,18.25
2021-03-01,19.95
2021-04-01,19.75
2021-05-01,19.65
2021-06-01,19.3
2021-07-01,19.3
2021-08-01,19.3
2021-09-01,19.5
2021-10-01,18.75
2021-11-01,16.65
2021-12-01,28.0
2022-01-01,25.0
2022-02-01,20.25
2022-03-01,17.9
2022-04-01,18.5
2022-05-01,18.75
2022-06-01,26.0
2022-07-01,25.98
2022-08-01,23.0
2022-09-01,23.75
2022-10-01,27.25
2022-11-01,29.0
2022-12-01,28.0
2023-01-01,31.5
2023-02-01,30.55
2023-03-01,33.0
2023-04-01,36.0
2023-05-01,48.0
2023-06-01,47.0
2023-07-01,40.0
2023-08-01,45.0
2023-09-01,49.9
2023-10-01,50.0
2023-11-01,58.0
2023-12-01,57.5
2024-01-01,57.0
2024-02-01,60.0
2024-03-01,65.0
2024-04-01,70.0
2024-05-01,70.0
2024-06-01,55.25
2024-07-01,60.0
2024-08-01,68.0
2024-09-01,60.0
2024-10-01,54.0
2024-11-01,54.5
2024-12-01,54.0
2025-01-01,51.0
2025-02-01,47.1
2025-03-01,47.5
2025-04-01,50.0
2025-05-01,51.0
2025-06-01,51.5
2025-07-01,48.5
2025-08-01,44.95
