Tarih,TP_BL002,TP_BL002
2013-04-12,2013-15,38128985.0
2013-04-19,2013-16,38331924.0
2013-04-26,2013-17,39532444.0
2013-05-03,2013-18,36206299.0
2013-05-10,2013-19,37858794.0
2013-05-17,2013-20,38552558.0
2013-05-24,2013-21,38958045.0
2013-05-31,2013-22,37462934.0
2013-06-07,2013-23,38045436.0
2013-06-14,2013-24,37682330.0
2013-06-21,2013-25,38151201.0
2013-06-28,2013-26,32761231.0
2013-07-05,2013-27,32632245.0
2013-07-12,2013-28,32494896.0
2013-07-19,2013-29,34248228.0
2013-07-26,2013-30,34386609.0
2013-08-02,2013-31,40606765.0
2013-08-09,2013-32,40487142.0
2013-08-16,2013-33,39978381.0
2013-08-23,2013-34,41116416.0
2013-08-30,2013-35,45318657.0
2013-09-06,2013-36,44991922.0
2013-09-13,2013-37,42245965.0
2013-09-20,2013-38,40801748.0
2013-09-27,2013-39,44626732.0
2013-10-04,2013-40,41939010.0
2013-10-11,2013-41,41223901.0
2013-10-18,2013-42,41200970.0
2013-10-25,2013-43,42557352.0
2013-11-01,2013-44,42775677.0
2013-11-08,2013-45,43086154.0
2013-11-15,2013-46,43374725.0
2013-11-22,2013-47,43658296.0
2013-11-29,2013-48,41007720.0
2013-12-06,2013-49,42641223.0
2013-12-13,2013-50,42408052.0
2013-12-20,2013-51,43014624.0
2013-12-27,2013-52,43743084.0
2014-01-03,2014-1,43425966.0
2014-01-10,2014-2,43679908.0
2014-01-17,2014-3,42500794.0
2014-01-24,2014-4,43812808.0
2014-01-31,2014-5,44712587.0
2014-02-07,2014-6,43641604.0
2014-02-14,2014-7,43665223.0
2014-02-21,2014-8,43820015.0
2014-02-28,2014-9,47460288.0
2014-03-07,2014-10,46731666.0
2014-03-14,2014-11,46429170.0
2014-03-21,2014-12,46698428.0
2014-03-28,2014-13,45208654.0
2014-04-04,2014-14,42922385.0
2014-04-11,2014-15,42764875.0
2014-04-18,2014-16,43394340.0
2014-04-25,2014-17,44181929.0
2014-05-02,2014-18,43611834.0
2014-05-09,2014-19,42824414.0
2014-05-16,2014-20,42873955.0
2014-05-23,2014-21,43653090.0
2014-05-30,2014-22,42369403.0
2014-06-06,2014-23,42932808.0
2014-06-13,2014-24,42871731.0
2014-06-20,2014-25,43920974.0
2014-06-27,2014-26,43970537.0
2014-07-04,2014-27,45963883.0
2014-07-11,2014-28,45787049.0
2014-07-18,2014-29,45601032.0
2014-07-25,2014-30,44917694.0
2014-08-01,2014-31,45013007.0
2014-08-08,2014-32,45549835.0
2014-08-15,2014-33,46447197.0
2014-08-22,2014-34,46893204.0
2014-08-29,2014-35,45726530.0
2014-09-05,2014-36,45610199.0
2014-09-12,2014-37,46481386.0
2014-09-19,2014-38,47115300.0
2014-09-26,2014-39,48676596.0
2014-10-03,2014-40,46438530.0
2014-10-10,2014-41,46006764.0
2014-10-17,2014-42,46324713.0
2014-10-24,2014-43,45495830.0
2014-10-31,2014-44,43406193.0
2014-11-07,2014-45,43792328.0
2014-11-14,2014-46,43915566.0
2014-11-21,2014-47,44694308.0
2014-11-28,2014-48,44922409.0
2014-12-05,2014-49,45143368.0
2014-12-12,2014-50,45619772.0
2014-12-19,2014-51,46773367.0
2014-12-26,2014-52,46666652.0
2015-01-02,2015-1,47206477.0
2015-01-09,2015-2,46814933.0
2015-01-16,2015-3,46880120.0
2015-01-23,2015-4,48241109.0
2015-01-30,2015-5,50160362.0
2015-02-06,2015-6,51054405.0
2015-02-13,2015-7,50737850.0
2015-02-20,2015-8,49783687.0
2015-02-27,2015-9,49184693.0
2015-03-06,2015-10,51228598.0
2015-03-13,2015-11,51346300.0
2015-03-20,2015-12,51419683.0
2015-03-27,2015-13,51790538.0
2015-04-03,2015-14,50774345.0
2015-04-10,2015-15,49625875.0
2015-04-17,2015-16,51592468.0
2015-04-24,2015-17,51788154.0
2015-05-01,2015-18,51732392.0
2015-05-08,2015-19,52065549.0
2015-05-15,2015-20,50432234.0
2015-05-22,2015-21,49656859.0
2015-05-29,2015-22,51269078.0
2015-06-05,2015-23,51999756.0
2015-06-12,2015-24,52882155.0
2015-06-19,2015-25,51906857.0
2015-06-26,2015-26,50982444.0
2015-07-03,2015-27,49774806.0
2015-07-10,2015-28,49330388.0
2015-07-17,2015-29,48638867.0
2015-07-24,2015-30,50450715.0
2015-07-31,2015-31,50238455.0
2015-08-07,2015-32,50392366.0
2015-08-14,2015-33,51327897.0
2015-08-21,2015-34,54734387.0
2015-08-28,2015-35,52749512.0
2015-09-04,2015-36,55605330.0
2015-09-11,2015-37,55733794.0
2015-09-18,2015-38,55258988.0
2015-09-25,2015-39,55123329.0
2015-10-02,2015-40,54740150.0
2015-10-09,2015-41,52650210.0
2015-10-16,2015-42,51722998.0
2015-10-23,2015-43,52025445.0
2015-10-30,2015-44,53370018.0
2015-11-06,2015-45,52299608.0
2015-11-13,2015-46,52461911.0
2015-11-20,2015-47,53465575.0
2015-11-27,2015-48,54437642.0
2015-12-04,2015-49,50684929.0
2015-12-11,2015-50,51186255.0
2015-12-18,2015-51,51436400.0
2015-12-25,2015-52,51218799.0
2016-01-01,2016-1,51191476.0
2016-01-08,2016-2,53239210.0
2016-01-15,2016-3,53689650.0
2016-01-22,2016-4,53891831.0
2016-01-29,2016-5,55044546.0
2016-02-05,2016-6,53669726.0
2016-02-12,2016-7,52724621.0
2016-02-19,2016-8,53298908.0
2016-02-26,2016-9,50227464.0
2016-03-04,2016-10,55591970.0
2016-03-11,2016-11,54864827.0
2016-03-18,2016-12,54262501.0
2016-03-25,2016-13,54773239.0
2016-04-01,2016-14,53310826.0
2016-04-08,2016-15,54646571.0
2016-04-15,2016-16,54959903.0
2016-04-22,2016-17,53992452.0
2016-04-29,2016-18,55830477.0
2016-05-06,2016-19,56946716.0
2016-05-13,2016-20,57508363.0
2016-05-20,2016-21,56879242.0
2016-05-27,2016-22,56061688.0
2016-06-03,2016-23,53520087.0
2016-06-10,2016-24,52697066.0
2016-06-17,2016-25,54123832.0
2016-06-24,2016-26,53205633.0
2016-07-01,2016-27,56987041.0
2016-07-08,2016-28,56983090.0
2016-07-15,2016-29,56668614.0
2016-07-22,2016-30,60223999.0
2016-07-29,2016-31,59702375.0
2016-08-05,2016-32,59793412.0
2016-08-12,2016-33,57607750.0
2016-08-19,2016-34,56847322.0
2016-08-26,2016-35,57567158.0
2016-09-02,2016-36,56784043.0
2016-09-09,2016-37,54965161.0
2016-09-16,2016-38,55354772.0
2016-09-23,2016-39,54951534.0
2016-09-30,2016-40,56435674.0
2016-10-07,2016-41,56512040.0
2016-10-14,2016-42,57366038.0
2016-10-21,2016-43,55574958.0
2016-10-28,2016-44,56160148.0
2016-11-04,2016-45,52222092.0
2016-11-11,2016-46,53770718.0
2016-11-18,2016-47,53721676.0
2016-11-25,2016-48,55250322.0
2016-12-02,2016-49,51608091.0
2016-12-09,2016-50,50389839.0
2016-12-16,2016-51,50591974.0
2016-12-23,2016-52,50445193.0
2016-12-30,2016-53,49626539.0
2017-01-06,2017-1,50492102.0
2017-01-13,2017-2,58671384.0
2017-01-20,2017-3,57924824.0
2017-01-27,2017-4,58722670.0
2017-02-03,2017-5,59485784.0
2017-02-10,2017-6,60463681.0
2017-02-17,2017-7,59903877.0
2017-02-24,2017-8,57235703.0
2017-03-03,2017-9,61291421.0
2017-03-10,2017-10,63353509.0
2017-03-17,2017-11,61989252.0
2017-03-24,2017-12,62316298.0
2017-03-31,2017-13,62226409.0
2017-04-07,2017-14,64599913.0
2017-04-14,2017-15,63700974.0
2017-04-21,2017-16,63407703.0
2017-04-28,2017-17,63152187.0
2017-05-05,2017-18,63140036.0
2017-05-12,2017-19,64211963.0
2017-05-19,2017-20,64016367.0
2017-05-26,2017-21,63915127.0
2017-06-02,2017-22,63543151.0
2017-06-09,2017-23,64153142.0
2017-06-16,2017-24,64273889.0
2017-06-23,2017-25,65262999.0
2017-06-30,2017-26,64924310.0
2017-07-07,2017-27,67633130.0
2017-07-14,2017-28,67394772.0
2017-07-21,2017-29,66867969.0
2017-07-28,2017-30,68039987.0
2017-08-04,2017-31,69972653.0
2017-08-11,2017-32,70162934.0
2017-08-18,2017-33,70263238.0
2017-08-25,2017-34,69208833.0
2017-09-01,2017-35,70570196.0
2017-09-08,2017-36,72958708.0
2017-09-15,2017-37,72922500.0
2017-09-22,2017-38,71606031.0
2017-09-29,2017-39,73014658.0
2017-10-06,2017-40,73779863.0
2017-10-13,2017-41,77634495.0
2017-10-20,2017-42,78844804.0
2017-10-27,2017-43,80671427.0
2017-11-03,2017-44,84522613.0
2017-11-10,2017-45,86433772.0
2017-11-17,2017-46,87019329.0
2017-11-24,2017-47,88505420.0
2017-12-01,2017-48,88978887.0
2017-12-08,2017-49,85960483.0
2017-12-15,2017-50,86121132.0
2017-12-22,2017-51,86750011.0
2017-12-29,2017-52,89704330.0
2018-01-05,2018-1,90198948.0
2018-01-12,2018-2,92831663.0
2018-01-19,2018-3,93979010.0
2018-01-26,2018-4,94829648.0
2018-02-02,2018-5,94621493.0
2018-02-09,2018-6,94722163.0
2018-02-16,2018-7,96948592.0
2018-02-23,2018-8,95899897.0
2018-03-02,2018-9,95565318.0
2018-03-09,2018-10,95992522.0
2018-03-16,2018-11,97693123.0
2018-03-23,2018-12,100537157.0
2018-03-30,2018-13,101250831.0
2018-04-06,2018-14,102075507.0
2018-04-13,2018-15,105871649.0
2018-04-20,2018-16,102696125.0
2018-04-27,2018-17,102439737.0
2018-05-04,2018-18,103841772.0
2018-05-11,2018-19,107039446.0
2018-05-18,2018-20,107250121.0
2018-05-25,2018-21,115077531.0
2018-06-01,2018-22,109696112.0
2018-06-08,2018-23,111586221.0
2018-06-15,2018-24,114681913.0
2018-06-22,2018-25,110879282.0
2018-06-29,2018-26,105233059.0
2018-07-06,2018-27,106445521.0
2018-07-13,2018-28,111690637.0
2018-07-20,2018-29,110601114.0
2018-07-27,2018-30,107359246.0
2018-08-03,2018-31,111744049.0
2018-08-10,2018-32,119474341.0
2018-08-17,2018-33,113538364.0
2018-08-24,2018-34,118496722.0
2018-08-31,2018-35,118101459.0
2018-09-07,2018-36,122372216.0
2018-09-14,2018-37,118573219.0
2018-09-21,2018-38,111846366.0
2018-09-28,2018-39,107329868.0
2018-10-05,2018-40,109673040.0
2018-10-12,2018-41,107463972.0
2018-10-19,2018-42,102912230.0
2018-10-26,2018-43,106071722.0
2018-11-02,2018-44,105595514.0
2018-11-09,2018-45,102292999.0
2018-11-16,2018-46,101519500.0
2018-11-23,2018-47,100858531.0
2018-11-30,2018-48,99702372.0
2018-12-07,2018-49,103854437.0
2018-12-14,2018-50,105236015.0
2018-12-21,2018-51,104257513.0
2018-12-28,2018-52,105514282.0
2019-01-04,2019-1,110473395.0
2019-01-11,2019-2,111224260.0
