Tarih,TP_AB_N14,TP_AB_N14
2008-02-15,2008-7,-15921199.0
2008-02-22,2008-8,-16033147.0
2008-02-29,2008-9,-16244975.0
2008-03-07,2008-10,-16812959.0
2008-03-14,2008-11,-17758217.0
2008-03-21,2008-12,-17279470.0
2008-03-28,2008-13,-17999602.0
2008-04-04,2008-14,-17910152.0
2008-04-11,2008-15,-19007597.0
2008-04-18,2008-16,-18941968.0
2008-04-25,2008-17,-18296915.0
2008-05-02,2008-18,-17877192.0
2008-05-09,2008-19,-17370235.0
2008-05-16,2008-20,-17325920.0
2008-05-23,2008-21,-17501457.0
2008-05-30,2008-22,-16923023.0
2008-06-06,2008-23,-16810918.0
2008-06-13,2008-24,-17454420.0
2008-06-20,2008-25,-17043619.0
2008-06-27,2008-26,-17055413.0
2008-07-04,2008-27,-17513961.0
2008-07-11,2008-28,-17088297.0
2008-07-18,2008-29,-16777065.0
2008-07-25,2008-30,-16406014.0
2008-08-01,2008-31,-15933627.0
2008-08-08,2008-32,-15546323.0
2008-08-15,2008-33,-15136504.0
2008-08-22,2008-34,-15040669.0
2008-08-29,2008-35,-14979133.0
2008-09-05,2008-36,-15016959.0
2008-09-12,2008-37,-15111535.0
2008-09-19,2008-38,-15651710.0
2008-09-26,2008-39,-15635293.0
2008-10-03,2008-40,-15206491.0
2008-10-10,2008-41,-15777016.0
2008-10-17,2008-42,-16370007.0
2008-10-24,2008-43,-17753366.0
2008-10-31,2008-44,-16365284.0
2008-11-07,2008-45,-15221851.0
2008-11-14,2008-46,-15890791.0
2008-11-21,2008-47,-16420366.0
2008-11-28,2008-48,-15572361.0
2008-12-05,2008-49,-17101713.0
2008-12-12,2008-50,-17729836.0
2008-12-19,2008-51,-18113670.0
2008-12-26,2008-52,-17520420.0
2009-01-02,2009-1,-17457830.0
2009-01-09,2009-2,-17171357.0
2009-01-16,2009-3,-17382817.0
2009-01-23,2009-4,-17051390.0
2009-01-30,2009-5,-16893053.0
2009-02-06,2009-6,-16920356.0
2009-02-13,2009-7,-17131161.0
2009-02-20,2009-8,-17102310.0
2009-02-27,2009-9,-17409881.0
2009-03-06,2009-10,-17137013.0
2009-03-13,2009-11,-18154004.0
2009-03-20,2009-12,-17672533.0
2009-03-27,2009-13,-17461228.0
2009-04-03,2009-14,-16810997.0
2009-04-10,2009-15,-16495576.0
2009-04-17,2009-16,-16704154.0
2009-04-24,2009-17,-16951904.0
2009-05-01,2009-18,-16894703.0
2009-05-08,2009-19,-16391978.0
2009-05-15,2009-20,-17124980.0
2009-05-22,2009-21,-16901409.0
2009-05-29,2009-22,-17477028.0
2009-06-05,2009-23,-17335336.0
2009-06-12,2009-24,-18951546.0
2009-06-19,2009-25,-17175205.0
2009-06-26,2009-26,-17159315.0
2009-07-03,2009-27,-16736745.0
2009-07-10,2009-28,-16976794.0
2009-07-17,2009-29,-16878422.0
2009-07-24,2009-30,-16609261.0
2009-07-31,2009-31,-16383374.0
2009-08-07,2009-32,-16477560.0
2009-08-14,2009-33,-16353650.0
2009-08-21,2009-34,-16416826.0
2009-08-28,2009-35,-16572879.0
2009-09-04,2009-36,-16652322.0
2009-09-11,2009-37,-17492031.0
2009-09-18,2009-38,-16664045.0
2009-09-25,2009-39,-16941864.0
2009-10-02,2009-40,-16900236.0
2009-10-09,2009-41,-16483811.0
2009-10-16,2009-42,-16489856.0
2009-10-23,2009-43,-16782400.0
2009-10-30,2009-44,-17058226.0
2009-11-06,2009-45,-16908943.0
2009-11-13,2009-46,-16956955.0
2009-11-20,2009-47,-16801364.0
2009-11-27,2009-48,-17081528.0
2009-12-04,2009-49,-17149328.0
2009-12-11,2009-50,-16984140.0
2009-12-18,2009-51,-16641115.0
2009-12-25,2009-52,-16559520.0
2010-01-01,2010-1,-16480615.0
2010-01-08,2010-2,-16010912.0
2010-01-15,2010-3,-15949641.0
2010-01-22,2010-4,-15858564.0
2010-01-29,2010-5,-15936304.0
2010-02-05,2010-6,-18184966.0
2010-02-12,2010-7,-15930086.0
2010-02-19,2010-8,-15527772.0
2010-02-26,2010-9,-15761320.0
2010-03-05,2010-10,-15771028.0
2010-03-12,2010-11,-16472183.0
2010-03-19,2010-12,-15760731.0
2010-03-26,2010-13,-15597249.0
2010-04-02,2010-14,-15895358.0
2010-04-09,2010-15,-15194368.0
2010-04-16,2010-16,-15255728.0
2010-04-23,2010-17,-15128849.0
2010-04-30,2010-18,-15075595.0
2010-05-07,2010-19,-14797749.0
2010-05-14,2010-20,-14631560.0
2010-05-21,2010-21,-14592348.0
2010-05-28,2010-22,-14102063.0
2010-06-04,2010-23,-13900024.0
2010-06-11,2010-24,-15897559.0
2010-06-18,2010-25,-14081943.0
2010-06-25,2010-26,-14113051.0
2010-07-02,2010-27,-14658021.0
2010-07-09,2010-28,-14769502.0
2010-07-16,2010-29,-14947869.0
2010-07-23,2010-30,-14873209.0
2010-07-30,2010-31,-15139612.0
2010-08-06,2010-32,-15047157.0
2010-08-13,2010-33,-14899749.0
2010-08-20,2010-34,-14556574.0
2010-08-27,2010-35,-14660374.0
2010-09-03,2010-36,-14673771.0
2010-09-10,2010-37,-14699439.0
2010-09-17,2010-38,-14699531.0
2010-09-24,2010-39,-15041918.0
2010-10-01,2010-40,-15031718.0
2010-10-08,2010-41,-14788612.0
2010-10-15,2010-42,-14755903.0
2010-10-22,2010-43,-16257583.0
2010-10-29,2010-44,-15028845.0
2010-11-05,2010-45,-14789978.0
2010-11-12,2010-46,-14673113.0
2010-11-19,2010-47,-14618740.0
2010-11-26,2010-48,-14872518.0
2010-12-03,2010-49,-14619240.0
2010-12-10,2010-50,-14921713.0
2010-12-17,2010-51,-14987501.0
2010-12-24,2010-52,-15260095.0
2010-12-31,2010-53,-15130779.0
2011-01-07,2011-1,-14877245.0
2011-01-14,2011-2,-17096248.0
2011-01-21,2011-3,-15507079.0
2011-01-28,2011-4,-15741008.0
2011-02-04,2011-5,-16152329.0
2011-02-11,2011-6,-15956121.0
2011-02-18,2011-7,-15487255.0
2011-02-25,2011-8,-16142540.0
2011-03-04,2011-9,-16204997.0
2011-03-11,2011-10,-16145996.0
2011-03-18,2011-11,-16002076.0
2011-03-25,2011-12,-15876852.0
2011-04-01,2011-13,-15953708.0
2011-04-08,2011-14,-15420476.0
2011-04-15,2011-15,-15838404.0
2011-04-22,2011-16,-15760996.0
2011-04-29,2011-17,-16116181.0
2011-05-06,2011-18,-16299845.0
2011-05-13,2011-19,-16029410.0
2011-05-20,2011-20,-15841624.0
2011-05-27,2011-21,-16157386.0
2011-06-03,2011-22,-16219779.0
2011-06-10,2011-23,-16166300.0
2011-06-17,2011-24,-16215248.0
2011-06-24,2011-25,-16169847.0
2011-07-01,2011-26,-16237817.0
2011-07-08,2011-27,-16068834.0
2011-07-15,2011-28,-16142447.0
2011-07-22,2011-29,-16315049.0
2011-07-29,2011-30,-16264083.0
2011-08-05,2011-31,-16445221.0
2011-08-12,2011-32,-17014792.0
2011-08-19,2011-33,-16944736.0
2011-08-26,2011-34,-16981177.0
2011-09-02,2011-35,-16679522.0
2011-09-09,2011-36,-16385994.0
2011-09-16,2011-37,-16127573.0
2011-09-23,2011-38,-16021502.0
2011-09-30,2011-39,-16358968.0
2011-10-07,2011-40,-15701636.0
2011-10-14,2011-41,-16467653.0
2011-10-21,2011-42,-16224552.0
2011-10-28,2011-43,-15700347.0
2011-11-04,2011-44,-15442166.0
2011-11-11,2011-45,-15310278.0
2011-11-18,2011-46,-15289281.0
2011-11-25,2011-47,-15452886.0
2011-12-02,2011-48,-15315793.0
2011-12-09,2011-49,-15138115.0
2011-12-16,2011-50,-15223267.0
2011-12-23,2011-51,-14988455.0
2011-12-30,2011-52,-14283074.0
2012-01-06,2012-1,-14207061.0
2012-01-13,2012-2,-15135833.0
2012-01-20,2012-3,-16299087.0
2012-01-27,2012-4,-14418063.0
2012-02-03,2012-5,-14056962.0
2012-02-10,2012-6,-14237503.0
2012-02-17,2012-7,-13718665.0
2012-02-24,2012-8,-13640912.0
2012-03-02,2012-9,-13696293.0
2012-03-09,2012-10,-13792784.0
2012-03-16,2012-11,-13845547.0
2012-03-23,2012-12,-14195922.0
2012-03-30,2012-13,-14284707.0
2012-04-06,2012-14,-13898164.0
2012-04-13,2012-15,-14240754.0
2012-04-20,2012-16,-13566897.0
2012-04-27,2012-17,-13820887.0
2012-05-04,2012-18,-13286955.0
2012-05-11,2012-19,-13185464.0
2012-05-18,2012-20,-12975527.0
2012-05-25,2012-21,-12937868.0
2012-06-01,2012-22,-12712421.0
2012-06-08,2012-23,-12700551.0
2012-06-15,2012-24,-12496986.0
2012-06-22,2012-25,-12460520.0
2012-06-29,2012-26,-12335911.0
2012-07-06,2012-27,-12542611.0
2012-07-13,2012-28,-13061933.0
2012-07-20,2012-29,-12144541.0
2012-07-27,2012-30,-11968695.0
2012-08-03,2012-31,-12030640.0
2012-08-10,2012-32,-11790742.0
2012-08-17,2012-33,-11636221.0
2012-08-24,2012-34,-11729801.0
2012-08-31,2012-35,-11717568.0
2012-09-07,2012-36,-11700907.0
2012-09-14,2012-37,-12165236.0
2012-09-21,2012-38,-11509088.0
2012-09-28,2012-39,-11381505.0
2012-10-05,2012-40,-11229119.0
2012-10-12,2012-41,-11622728.0
2012-10-19,2012-42,-11199629.0
2012-10-26,2012-43,-11066067.0
2012-11-02,2012-44,-10893660.0
2012-11-09,2012-45,-10655918.0
2012-11-16,2012-46,-10645056.0
2012-11-23,2012-47,-10623374.0
2012-11-30,2012-48,-10633088.0
2012-12-07,2012-49,-10611388.0
2012-12-14,2012-50,-10592196.0
2012-12-21,2012-51,-10834418.0
2012-12-28,2012-52,-11097315.0
2013-01-04,2013-1,-10348324.0
2013-01-11,2013-2,-13725112.0
2013-01-18,2013-3,-10346877.0
2013-01-25,2013-4,-10295580.7
2013-02-01,2013-5,-10622885.0
2013-02-08,2013-6,-10437788.0
2013-02-15,2013-7,-10550217.0
2013-02-22,2013-8,-10338337.0
2013-03-01,2013-9,-10286862.0
2013-03-08,2013-10,-10257410.0
2013-03-15,2013-11,-10279608.0
2013-03-22,2013-12,-10457897.0
2013-03-29,2013-13,-10284664.0
2013-04-05,2013-14,-9874655.0
2013-04-12,2013-15,-10402079.0
