Tarih,TP_ODEMGZS_KUVEYT
2014-12-01,5575.0
2015-01-01,17879.0
2015-02-01,8540.0
2015-03-01,7322.0
2015-04-01,11224.0
2015-05-01,13835.0
2015-06-01,13836.0
2015-07-01,10959.0
2015-08-01,37632.0
2015-09-01,27767.0
2015-10-01,11367.0
2015-11-01,7199.0
2015-12-01,6673.0
2016-01-01,18384.0
2016-02-01,7703.0
2016-03-01,6916.0
2016-04-01,11238.0
2016-05-01,15483.0
2016-06-01,7222.0
2016-07-01,14212.0
2016-08-01,31797.0
2016-09-01,37352.0
2016-10-01,11153.0
2016-11-01,8814.0
2016-12-01,9816.0
2017-01-01,14359.0
2017-02-01,14323.0
2017-03-01,11275.0
2017-04-01,18551.0
2017-05-01,20854.0
2017-06-01,6086.0
2017-07-01,33079.0
2017-08-01,56163.0
2017-09-01,41347.0
2017-10-01,13333.0
2017-11-01,11873.0
2017-12-01,12485.0
2018-01-01,27445.0
2018-02-01,13379.0
2018-03-01,15237.0
2018-04-01,23422.0
2018-05-01,14267.0
2018-06-01,12964.0
2018-07-01,34302.0
2018-08-01,72060.0
2018-09-01,37121.0
2018-10-01,16301.0
2018-11-01,16683.0
2018-12-01,13563.0
2019-01-01,32251.0
2019-02-01,16983.0
2019-03-01,17996.0
2019-04-01,24821.0
2019-05-01,8170.0
2019-06-01,25035.0
2019-07-01,54247.0
2019-08-01,95996.0
2019-09-01,41016.0
2019-10-01,17903.0
2019-11-01,19521.0
2019-12-01,16234.0
2020-01-01,37737.0
2020-02-01,21450.0
2020-03-01,6951.0
2020-04-01,1678.0
2020-05-01,1.0
2020-06-01,10.0
2020-07-01,91.0
2020-08-01,5616.0
2020-09-01,16387.0
2020-10-01,18357.0
2020-11-01,14276.0
2020-12-01,4096.0
2021-01-01,3806.0
2021-02-01,3241.0
2021-03-01,1514.0
2021-04-01,2602.0
2021-05-01,2260.0
2021-06-01,8388.0
2021-07-01,32636.0
2021-08-01,54386.0
2021-09-01,55457.0
2021-10-01,33014.0
2021-11-01,23266.0
2021-12-01,20515.0
2022-01-01,16195.0
2022-02-01,35554.0
2022-03-01,40535.0
2022-04-01,6031.0
2022-05-01,31712.0
2022-06-01,34412.0
2022-07-01,66583.0
2022-08-01,95561.0
2022-09-01,89326.0
2022-10-01,26168.0
2022-11-01,19938.0
2022-12-01,16625.0
2023-01-01,34324.0
2023-02-01,28253.0
2023-03-01,14597.0
2023-04-01,12058.0
2023-05-01,21790.0
2023-06-01,31740.0
2023-07-01,54619.0
2023-08-01,78104.0
2023-09-01,54588.0
2023-10-01,12550.0
2023-11-01,10444.0
2023-12-01,11896.0
2024-01-01,24086.0
2024-02-01,21502.0
2024-03-01,8889.0
2024-04-01,13454.0
2024-05-01,17002.0
2024-06-01,32454.0
2024-07-01,30485.0
2024-08-01,51791.0
2024-09-01,32543.0
2024-10-01,10979.0
2024-11-01,11464.0
2024-12-01,11089.0
2025-01-01,20631.0
2025-02-01,13764.0
2025-03-01,2863.0
2025-04-01,11643.0
2025-05-01,12584.0
2025-06-01,20219.0
2025-07-01,23579.0
2025-08-01,46758.0
