Tarih,TP_ODEMGZS_YENIZELLANDA
2015-01-01,860.0
2015-02-01,530.0
2015-03-01,644.0
2015-04-01,4729.0
2015-05-01,3609.0
2015-06-01,4860.0
2015-07-01,5582.0
2015-08-01,4743.0
2015-09-01,5562.0
2015-10-01,4130.0
2015-11-01,1053.0
2015-12-01,709.0
2016-01-01,740.0
2016-02-01,408.0
2016-03-01,635.0
2016-04-01,1336.0
2016-05-01,1916.0
2016-06-01,2695.0
2016-07-01,2114.0
2016-08-01,1443.0
2016-09-01,1913.0
2016-10-01,1232.0
2016-11-01,514.0
2016-12-01,511.0
2017-01-01,506.0
2017-02-01,350.0
2017-03-01,379.0
2017-04-01,929.0
2017-05-01,911.0
2017-06-01,1196.0
2017-07-01,1591.0
2017-08-01,1396.0
2017-09-01,1552.0
2017-10-01,1235.0
2017-11-01,668.0
2017-12-01,616.0
2018-01-01,666.0
2018-02-01,432.0
2018-03-01,523.0
2018-04-01,1307.0
2018-05-01,1332.0
2018-06-01,1752.0
2018-07-01,2178.0
2018-08-01,2189.0
2018-09-01,2403.0
2018-10-01,1796.0
2018-11-01,814.0
2018-12-01,751.0
2019-01-01,790.0
2019-02-01,551.0
2019-03-01,630.0
2019-04-01,1673.0
2019-05-01,1714.0
2019-06-01,2500.0
2019-07-01,3137.0
2019-08-01,2674.0
2019-09-01,2890.0
2019-10-01,2475.0
2019-11-01,955.0
2019-12-01,901.0
2020-01-01,872.0
2020-02-01,543.0
2020-03-01,313.0
2020-04-01,4.0
2020-05-01,8.0
2020-06-01,36.0
2020-07-01,73.0
2020-08-01,239.0
2020-09-01,406.0
2020-10-01,286.0
2020-11-01,136.0
2020-12-01,122.0
2021-01-01,94.0
2021-02-01,75.0
2021-03-01,108.0
2021-04-01,128.0
2021-05-01,97.0
2021-06-01,151.0
2021-07-01,296.0
2021-08-01,314.0
2021-09-01,280.0
2021-10-01,408.0
2021-11-01,344.0
2021-12-01,348.0
2022-01-01,327.0
2022-02-01,258.0
2022-03-01,448.0
2022-04-01,735.0
2022-05-01,998.0
2022-06-01,1451.0
2022-07-01,1993.0
2022-08-01,2270.0
2022-09-01,2470.0
2022-10-01,2226.0
2022-11-01,1236.0
2022-12-01,921.0
2023-01-01,936.0
2023-02-01,698.0
2023-03-01,791.0
2023-04-01,1868.0
2023-05-01,2716.0
2023-06-01,3643.0
2023-07-01,4298.0
2023-08-01,4098.0
2023-09-01,5064.0
2023-10-01,4025.0
2023-11-01,1780.0
2023-12-01,1103.0
2024-01-01,1027.0
2024-02-01,697.0
2024-03-01,1068.0
2024-04-01,1890.0
2024-05-01,3292.0
2024-06-01,4285.0
2024-07-01,4753.0
2024-08-01,4746.0
2024-09-01,5842.0
2024-10-01,4823.0
2024-11-01,1830.0
2024-12-01,1342.0
2025-01-01,1516.0
2025-02-01,1082.0
2025-03-01,1107.0
2025-04-01,2471.0
2025-05-01,4233.0
2025-06-01,4995.0
2025-07-01,4138.0
2025-08-01,5077.0
