Tarih,TP_ODEMGZS_GKORE
2022-04-01,5060.0
2022-05-01,7716.0
2022-06-01,9902.0
2022-07-01,10437.0
2022-08-01,11097.0
2022-09-01,10945.0
2022-10-01,15517.0
2022-11-01,11322.0
2022-12-01,9079.0
2023-01-01,13185.0
2023-02-01,13717.0
2023-03-01,8970.0
2023-04-01,8782.0
2023-05-01,11602.0
2023-06-01,14520.0
2023-07-01,14043.0
2023-08-01,14131.0
2023-09-01,15512.0
2023-10-01,19649.0
2023-11-01,13373.0
2023-12-01,11765.0
2024-01-01,14679.0
2024-02-01,14058.0
2024-03-01,13571.0
2024-04-01,15806.0
2024-05-01,19794.0
2024-06-01,20180.0
2024-07-01,17615.0
2024-08-01,18398.0
2024-09-01,20802.0
2024-10-01,22252.0
2024-11-01,15947.0
2024-12-01,13583.0
2025-01-01,17125.0
2025-02-01,15667.0
2025-03-01,13960.0
2025-04-01,17015.0
2025-05-01,22355.0
2025-06-01,20586.0
2025-07-01,17096.0
2025-08-01,18204.0
