Tarih,TP_ODEMGZS_DAMERIKA
2014-11-01,2602.0
2014-12-01,1909.0
2015-01-01,1719.0
2015-02-01,1733.0
2015-03-01,2141.0
2015-04-01,3427.0
2015-05-01,4951.0
2015-06-01,6472.0
2015-07-01,6727.0
2015-08-01,6335.0
2015-09-01,7014.0
2015-10-01,6489.0
2015-11-01,3228.0
2015-12-01,1947.0
2016-01-01,1807.0
2016-02-01,1637.0
2016-03-01,2178.0
2016-04-01,2337.0
2016-05-01,4137.0
2016-06-01,3931.0
2016-07-01,3677.0
2016-08-01,2988.0
2016-09-01,3849.0
2016-10-01,4013.0
2016-11-01,2440.0
2016-12-01,1886.0
2017-01-01,1778.0
2017-02-01,1592.0
2017-03-01,2196.0
2017-04-01,3262.0
2017-05-01,3283.0
2017-06-01,3713.0
2017-07-01,3932.0
2017-08-01,4153.0
2017-09-01,4487.0
2017-10-01,4791.0
2017-11-01,3482.0
2017-12-01,2732.0
2018-01-01,2611.0
2018-02-01,2585.0
2018-03-01,3420.0
2018-04-01,4251.0
2018-05-01,5451.0
2018-06-01,7358.0
2018-07-01,6103.0
2018-08-01,6068.0
2018-09-01,6369.0
2018-10-01,7256.0
2018-11-01,4904.0
2018-12-01,3327.0
2019-01-01,3514.0
2019-02-01,2916.0
2019-03-01,3842.0
2019-04-01,5228.0
2019-05-01,6878.0
2019-06-01,7249.0
2019-07-01,8186.0
2019-08-01,8785.0
2019-09-01,10068.0
2019-10-01,8303.0
2019-11-01,5702.0
2019-12-01,4177.0
2020-01-01,3997.0
2020-02-01,3810.0
2020-03-01,1999.0
2020-04-01,15.0
2020-05-01,54.0
2020-06-01,88.0
2020-07-01,475.0
2020-08-01,1039.0
2020-09-01,1370.0
2020-10-01,1534.0
2020-11-01,1425.0
2020-12-01,1229.0
2021-01-01,1002.0
2021-02-01,949.0
2021-03-01,1443.0
2021-04-01,1576.0
2021-05-01,1231.0
2021-06-01,2180.0
2021-07-01,4605.0
2021-08-01,5546.0
2021-09-01,5047.0
2021-10-01,6202.0
2021-11-01,6015.0
2021-12-01,4273.0
2022-01-01,4321.0
2022-02-01,3759.0
2022-03-01,5691.0
2022-04-01,7144.0
2022-05-01,9763.0
2022-06-01,10323.0
2022-07-01,11358.0
2022-08-01,11287.0
2022-09-01,13794.0
2022-10-01,14375.0
2022-11-01,11076.0
2022-12-01,7215.0
2023-01-01,6489.0
2023-02-01,5430.0
2023-03-01,6915.0
2023-04-01,9228.0
2023-05-01,11191.0
2023-06-01,12445.0
2023-07-01,13918.0
2023-08-01,14582.0
2023-09-01,16216.0
2023-10-01,17208.0
2023-11-01,10562.0
2023-12-01,7169.0
2024-01-01,7018.0
2024-02-01,6487.0
2024-03-01,7274.0
2024-04-01,8812.0
2024-05-01,11696.0
2024-06-01,13146.0
2024-07-01,15161.0
2024-08-01,14742.0
2024-09-01,15974.0
2024-10-01,14465.0
2024-11-01,9471.0
2024-12-01,7051.0
2025-01-01,7095.0
2025-02-01,5820.0
2025-03-01,6740.0
2025-04-01,9469.0
2025-05-01,12106.0
2025-06-01,13156.0
2025-07-01,12201.0
2025-08-01,12781.0
