Tarih,TP_ODEMGZS_PAKISTAN
2014-11-01,4145.0
2014-12-01,3805.0
2015-01-01,3960.0
2015-02-01,3291.0
2015-03-01,4215.0
2015-04-01,4633.0
2015-05-01,5043.0
2015-06-01,6613.0
2015-07-01,4925.0
2015-08-01,8362.0
2015-09-01,6092.0
2015-10-01,6586.0
2015-11-01,4909.0
2015-12-01,4211.0
2016-01-01,4612.0
2016-02-01,2795.0
2016-03-01,4225.0
2016-04-01,3795.0
2016-05-01,5168.0
2016-06-01,4851.0
2016-07-01,6137.0
2016-08-01,5312.0
2016-09-01,4240.0
2016-10-01,4786.0
2016-11-01,4579.0
2016-12-01,3750.0
2017-01-01,4784.0
2017-02-01,2884.0
2017-03-01,4415.0
2017-04-01,4974.0
2017-05-01,6608.0
2017-06-01,4131.0
2017-07-01,12012.0
2017-08-01,10516.0
2017-09-01,7612.0
2017-10-01,8348.0
2017-11-01,8948.0
2017-12-01,6740.0
2018-01-01,7130.0
2018-02-01,5700.0
2018-03-01,7691.0
2018-04-01,9048.0
2018-05-01,7892.0
2018-06-01,8423.0
2018-07-01,17201.0
2018-08-01,12468.0
2018-09-01,9819.0
2018-10-01,10707.0
2018-11-01,9332.0
2018-12-01,8140.0
2019-01-01,9376.0
2019-02-01,6587.0
2019-03-01,9872.0
2019-04-01,11282.0
2019-05-01,7539.0
2019-06-01,14665.0
2019-07-01,17242.0
2019-08-01,15120.0
2019-09-01,13309.0
2019-10-01,13303.0
2019-11-01,11218.0
2019-12-01,10912.0
2020-01-01,11329.0
2020-02-01,9289.0
2020-03-01,5371.0
2020-04-01,206.0
2020-05-01,290.0
2020-06-01,375.0
2020-07-01,1170.0
2020-08-01,2821.0
2020-09-01,5718.0
2020-10-01,7176.0
2020-11-01,8819.0
2020-12-01,5485.0
2021-01-01,4986.0
2021-02-01,5436.0
2021-03-01,8415.0
2021-04-01,9493.0
2021-05-01,3254.0
2021-06-01,2822.0
2021-07-01,4683.0
2021-08-01,5508.0
2021-09-01,6998.0
2021-10-01,11441.0
2021-11-01,14970.0
2021-12-01,12538.0
2022-01-01,13363.0
2022-02-01,10619.0
2022-03-01,17587.0
2022-04-01,8229.0
2022-05-01,15494.0
2022-06-01,22403.0
2022-07-01,19773.0
2022-08-01,19328.0
2022-09-01,18342.0
2022-10-01,17064.0
2022-11-01,13750.0
2022-12-01,10606.0
2023-01-01,12492.0
2023-02-01,9203.0
2023-03-01,9331.0
2023-04-01,7114.0
2023-05-01,10958.0
2023-06-01,14407.0
2023-07-01,16987.0
2023-08-01,17605.0
2023-09-01,12716.0
2023-10-01,13387.0
2023-11-01,11053.0
2023-12-01,9650.0
2024-01-01,10071.0
2024-02-01,8183.0
2024-03-01,7270.0
2024-04-01,9229.0
2024-05-01,11417.0
2024-06-01,14287.0
2024-07-01,17191.0
2024-08-01,15918.0
2024-09-01,11154.0
2024-10-01,12107.0
2024-11-01,10624.0
2024-12-01,10020.0
2025-01-01,10453.0
2025-02-01,8637.0
2025-03-01,5419.0
2025-04-01,10614.0
2025-05-01,11399.0
2025-06-01,13850.0
2025-07-01,17074.0
2025-08-01,16076.0
