Tarih,TP_ODEMGZS_CEZAYIR
2014-11-01,13447.0
2014-12-01,10485.0
2015-01-01,9649.0
2015-02-01,6984.0
2015-03-01,12582.0
2015-04-01,16730.0
2015-05-01,15984.0
2015-06-01,11176.0
2015-07-01,5381.0
2015-08-01,31925.0
2015-09-01,18863.0
2015-10-01,16183.0
2015-11-01,12296.0
2015-12-01,11044.0
2016-01-01,10587.0
2016-02-01,7602.0
2016-03-01,13804.0
2016-04-01,17561.0
2016-05-01,17881.0
2016-06-01,8454.0
2016-07-01,10919.0
2016-08-01,26545.0
2016-09-01,14851.0
2016-10-01,18604.0
2016-11-01,15681.0
2016-12-01,11309.0
2017-01-01,11637.0
2017-02-01,8882.0
2017-03-01,16920.0
2017-04-01,20334.0
2017-05-01,18909.0
2017-06-01,4454.0
2017-07-01,19227.0
2017-08-01,37319.0
2017-09-01,19024.0
2017-10-01,21968.0
2017-11-01,17161.0
2017-12-01,14368.0
2018-01-01,15627.0
2018-02-01,13352.0
2018-03-01,22527.0
2018-04-01,27246.0
2018-05-01,19359.0
2018-06-01,8590.0
2018-07-01,27402.0
2018-08-01,38480.0
2018-09-01,33283.0
2018-10-01,30479.0
2018-11-01,25911.0
2018-12-01,20269.0
2019-01-01,20795.0
2019-02-01,16473.0
2019-03-01,24347.0
2019-04-01,29872.0
2019-05-01,14926.0
2019-06-01,15617.0
2019-07-01,30434.0
2019-08-01,38850.0
2019-09-01,36172.0
2019-10-01,27209.0
2019-11-01,20299.0
2019-12-01,16048.0
2020-01-01,17078.0
2020-02-01,15406.0
2020-03-01,15204.0
2020-04-01,1744.0
2020-05-01,7.0
2020-06-01,655.0
2020-07-01,228.0
2020-08-01,2135.0
2020-09-01,794.0
2020-10-01,960.0
2020-11-01,596.0
2020-12-01,760.0
2021-01-01,906.0
2021-02-01,1024.0
2021-03-01,627.0
2021-04-01,805.0
2021-05-01,617.0
2021-06-01,1790.0
2021-07-01,2567.0
2021-08-01,4756.0
2021-09-01,4911.0
2021-10-01,6674.0
2021-11-01,8411.0
2021-12-01,8661.0
2022-01-01,9547.0
2022-02-01,8883.0
2022-03-01,11707.0
2022-04-01,7713.0
2022-05-01,9213.0
2022-06-01,14636.0
2022-07-01,16391.0
2022-08-01,32838.0
2022-09-01,29982.0
2022-10-01,22387.0
2022-11-01,21024.0
2022-12-01,20217.0
2023-01-01,23705.0
2023-02-01,18983.0
2023-03-01,19819.0
2023-04-01,9744.0
2023-05-01,22245.0
2023-06-01,22802.0
2023-07-01,23194.0
2023-08-01,38904.0
2023-09-01,38634.0
2023-10-01,27465.0
2023-11-01,25713.0
2023-12-01,23001.0
2024-01-01,26214.0
2024-02-01,24812.0
2024-03-01,22094.0
2024-04-01,17061.0
2024-05-01,27480.0
2024-06-01,20393.0
2024-07-01,28424.0
2024-08-01,38887.0
2024-09-01,36417.0
2024-10-01,29453.0
2024-11-01,27864.0
2024-12-01,26364.0
2025-01-01,28027.0
2025-02-01,25987.0
2025-03-01,15535.0
2025-04-01,20973.0
2025-05-01,25814.0
2025-06-01,21315.0
2025-07-01,29486.0
2025-08-01,38870.0
