Tarih,TP_ODEMGZS_AVUSTURYA
2014-11-01,21067.0
2014-12-01,13028.0
2015-01-01,20047.0
2015-02-01,15261.0
2015-03-01,16808.0
2015-04-01,26079.0
2015-05-01,35772.0
2015-06-01,43875.0
2015-07-01,67434.0
2015-08-01,124095.0
2015-09-01,67575.0
2015-10-01,37365.0
2015-11-01,18813.0
2015-12-01,13184.0
2016-01-01,20734.0
2016-02-01,13540.0
2016-03-01,15719.0
2016-04-01,13252.0
2016-05-01,21543.0
2016-06-01,19760.0
2016-07-01,37632.0
2016-08-01,84899.0
2016-09-01,40720.0
2016-10-01,22282.0
2016-11-01,13380.0
2016-12-01,10499.0
2017-01-01,16252.0
2017-02-01,10644.0
2017-03-01,10330.0
2017-04-01,15022.0
2017-05-01,16474.0
2017-06-01,13002.0
2017-07-01,32564.0
2017-08-01,83736.0
2017-09-01,43892.0
2017-10-01,19424.0
2017-11-01,14120.0
2017-12-01,11830.0
2018-01-01,17819.0
2018-02-01,12566.0
2018-03-01,13807.0
2018-04-01,17240.0
2018-05-01,19462.0
2018-06-01,20245.0
2018-07-01,42073.0
2018-08-01,95844.0
2018-09-01,54730.0
2018-10-01,26071.0
2018-11-01,18485.0
2018-12-01,13864.0
2019-01-01,19991.0
2019-02-01,15465.0
2019-03-01,15045.0
2019-04-01,20836.0
2019-05-01,20257.0
2019-06-01,28907.0
2019-07-01,51690.0
2019-08-01,114311.0
2019-09-01,52757.0
2019-10-01,27330.0
2019-11-01,18961.0
2019-12-01,13865.0
2020-01-01,22598.0
2020-02-01,16670.0
2020-03-01,7988.0
2020-04-01,471.0
2020-05-01,115.0
2020-06-01,1961.0
2020-07-01,6757.0
2020-08-01,26856.0
2020-09-01,14655.0
2020-10-01,8715.0
2020-11-01,6686.0
2020-12-01,6080.0
2021-01-01,6608.0
2021-02-01,4462.0
2021-03-01,5667.0
2021-04-01,7871.0
2021-05-01,6172.0
2021-06-01,10647.0
2021-07-01,30798.0
2021-08-01,99552.0
2021-09-01,43251.0
2021-10-01,24820.0
2021-11-01,16607.0
2021-12-01,14942.0
2022-01-01,26549.0
2022-02-01,15855.0
2022-03-01,16175.0
2022-04-01,19953.0
2022-05-01,25950.0
2022-06-01,31551.0
2022-07-01,61398.0
2022-08-01,126630.0
2022-09-01,60802.0
2022-10-01,34055.0
2022-11-01,22584.0
2022-12-01,15640.0
2023-01-01,26538.0
2023-02-01,17615.0
2023-03-01,15897.0
2023-04-01,21384.0
2023-05-01,31116.0
2023-06-01,34534.0
2023-07-01,67259.0
2023-08-01,132104.0
2023-09-01,65902.0
2023-10-01,37965.0
2023-11-01,28185.0
2023-12-01,18124.0
2024-01-01,26898.0
2024-02-01,20253.0
2024-03-01,22044.0
2024-04-01,23244.0
2024-05-01,34475.0
2024-06-01,43116.0
2024-07-01,75558.0
2024-08-01,138054.0
2024-09-01,68402.0
2024-10-01,42289.0
2024-11-01,32599.0
2024-12-01,19413.0
2025-01-01,30462.0
2025-02-01,22421.0
2025-03-01,16783.0
2025-04-01,30931.0
2025-05-01,36224.0
2025-06-01,47530.0
2025-07-01,75373.0
2025-08-01,140802.0
