Tarih,TP_ODEMGZS_FAS
2014-11-01,6708.0
2014-12-01,5204.0
2015-01-01,7265.0
2015-02-01,6373.0
2015-03-01,6854.0
2015-04-01,9064.0
2015-05-01,9558.0
2015-06-01,7511.0
2015-07-01,5649.0
2015-08-01,15471.0
2015-09-01,9220.0
2015-10-01,7905.0
2015-11-01,6631.0
2015-12-01,5823.0
2016-01-01,7107.0
2016-02-01,6696.0
2016-03-01,6318.0
2016-04-01,7665.0
2016-05-01,8228.0
2016-06-01,4761.0
2016-07-01,5604.0
2016-08-01,11301.0
2016-09-01,7239.0
2016-10-01,7197.0
2016-11-01,6709.0
2016-12-01,6311.0
2017-01-01,6325.0
2017-02-01,5836.0
2017-03-01,6512.0
2017-04-01,8926.0
2017-05-01,9379.0
2017-06-01,4123.0
2017-07-01,11018.0
2017-08-01,17976.0
2017-09-01,11969.0
2017-10-01,10755.0
2017-11-01,9667.0
2017-12-01,8461.0
2018-01-01,9942.0
2018-02-01,8773.0
2018-03-01,10249.0
2018-04-01,15345.0
2018-05-01,11028.0
2018-06-01,8809.0
2018-07-01,16673.0
2018-08-01,24870.0
2018-09-01,19535.0
2018-10-01,16681.0
2018-11-01,15810.0
2018-12-01,12309.0
2019-01-01,14626.0
2019-02-01,11445.0
2019-03-01,14871.0
2019-04-01,23042.0
2019-05-01,9526.0
2019-06-01,14242.0
2019-07-01,23478.0
2019-08-01,34440.0
2019-09-01,24560.0
2019-10-01,18905.0
2019-11-01,17665.0
2019-12-01,14022.0
2020-01-01,17750.0
2020-02-01,14195.0
2020-03-01,7688.0
2020-04-01,28.0
2020-05-01,13.0
2020-06-01,1877.0
2020-07-01,5009.0
2020-08-01,4198.0
2020-09-01,4157.0
2020-10-01,4601.0
2020-11-01,4385.0
2020-12-01,4457.0
2021-01-01,4083.0
2021-02-01,3115.0
2021-03-01,1792.0
2021-04-01,1887.0
2021-05-01,1856.0
2021-06-01,6881.0
2021-07-01,15119.0
2021-08-01,13707.0
2021-09-01,13665.0
2021-10-01,17746.0
2021-11-01,20680.0
2021-12-01,7712.0
2022-01-01,5735.0
2022-02-01,13029.0
2022-03-01,18691.0
2022-04-01,8834.0
2022-05-01,19184.0
2022-06-01,21402.0
2022-07-01,23929.0
2022-08-01,34400.0
2022-09-01,24570.0
2022-10-01,24084.0
2022-11-01,21234.0
2022-12-01,18873.0
2023-01-01,19190.0
2023-02-01,16309.0
2023-03-01,19952.0
2023-04-01,11879.0
2023-05-01,21379.0
2023-06-01,20879.0
2023-07-01,23927.0
2023-08-01,33805.0
2023-09-01,23469.0
2023-10-01,21833.0
2023-11-01,18878.0
2023-12-01,18735.0
2024-01-01,19577.0
2024-02-01,16627.0
2024-03-01,14855.0
2024-04-01,14457.0
2024-05-01,23054.0
2024-06-01,19144.0
2024-07-01,20300.0
2024-08-01,31818.0
2024-09-01,22074.0
2024-10-01,20581.0
2024-11-01,16283.0
2024-12-01,17068.0
2025-01-01,16719.0
2025-02-01,17405.0
2025-03-01,9748.0
2025-04-01,15990.0
2025-05-01,20939.0
2025-06-01,19024.0
2025-07-01,21588.0
2025-08-01,32130.0
