Tarih,TP_MT210AGS_USD_MT03
2013-08-01,2.57
2013-09-01,2.75
2013-10-01,2.83
2013-11-01,2.78
2013-12-01,2.66
2014-01-01,2.71
2014-02-01,2.73
2014-03-01,2.7
2014-04-01,2.6
2014-05-01,2.49
2014-06-01,2.34
2014-07-01,2.24
2014-08-01,2.13
2014-09-01,2.08
2014-10-01,2.04
2014-11-01,2.02
2014-12-01,2.1
2015-01-01,2.14
2015-02-01,2.23
2015-03-01,2.16
2015-04-01,2.11
2015-05-01,2.04
2015-06-01,2.04
2015-07-01,2.01
2015-08-01,2.0
2015-09-01,2.02
2015-10-01,1.96
2015-11-01,1.95
2015-12-01,2.06
2016-01-01,2.14
2016-02-01,2.32
2016-03-01,2.45
2016-04-01,2.45
2016-05-01,2.38
2016-06-01,2.32
2016-07-01,2.22
2016-08-01,2.24
2016-09-01,2.24
2016-10-01,2.36
2016-11-01,2.65
2016-12-01,2.84
2017-01-01,2.99
2017-02-01,3.07
2017-03-01,2.92
2017-04-01,2.99
2017-05-01,3.15
2017-06-01,3.47
2017-07-01,3.53
2017-08-01,3.58
2017-09-01,3.39
2017-10-01,3.31
2017-11-01,3.26
2017-12-01,3.02
2018-01-01,3.12
2018-02-01,3.17
2018-03-01,3.12
2018-04-01,3.11
2018-05-01,3.03
2018-06-01,3.12
2018-07-01,3.44
2018-08-01,3.51
2018-09-01,3.99
2018-10-01,4.29
2018-11-01,4.5
2018-12-01,4.39
2019-01-01,4.25
2019-02-01,4.05
2019-03-01,3.53
2019-04-01,3.25
2019-05-01,3.16
2019-06-01,3.06
2019-07-01,3.05
2019-08-01,3.05
2019-09-01,2.89
2019-10-01,2.66
2019-11-01,2.48
2019-12-01,2.24
2020-01-01,2.0
2020-02-01,1.84
2020-03-01,1.55
2020-04-01,1.39
2020-05-01,1.24
2020-06-01,1.08
2020-07-01,0.98
2020-08-01,1.01
2020-09-01,1.23
2020-10-01,1.33
2020-11-01,1.45
2020-12-01,1.62
2021-01-01,1.71
2021-02-01,1.63
2021-03-01,1.48
2021-04-01,1.36
2021-05-01,1.35
2021-06-01,1.34
2021-07-01,1.27
2021-08-01,1.2
2021-09-01,1.08
2021-10-01,0.99
2021-11-01,0.87
2021-12-01,0.85
2022-01-01,0.88
2022-02-01,0.98
2022-03-01,1.32
2022-04-01,1.46
2022-05-01,1.76
2022-06-01,2.53
2022-07-01,3.35
2022-08-01,3.83
2022-09-01,3.65
2022-10-01,3.64
2022-11-01,4.15
2022-12-01,4.32
2023-01-01,4.6
2023-02-01,3.91
2023-03-01,3.7
2023-04-01,3.51
2023-05-01,3.59
2023-06-01,4.41
2023-07-01,4.28
2023-08-01,4.61
2023-09-01,3.82
2023-10-01,3.51
2023-11-01,2.59
2023-12-01,2.89
2024-01-01,3.05
2024-02-01,2.8
2024-03-01,2.47
2024-04-01,2.03
2024-05-01,2.09
2024-06-01,2.32
2024-07-01,2.52
2024-08-01,2.48
2024-09-01,2.11
2024-10-01,1.62
2024-11-01,1.3
2024-12-01,1.55
2025-01-01,1.67
2025-02-01,2.13
2025-03-01,2.27
2025-04-01,2.35
2025-05-01,2.04
2025-06-01,2.26
2025-07-01,2.4
2025-08-01,2.29
