Tarih,TP_MT210AGS_USD_MT06
2013-08-01,2.72
2013-09-01,2.77
2013-10-01,2.65
2013-11-01,2.46
2013-12-01,2.47
2014-01-01,2.51
2014-02-01,2.43
2014-03-01,2.44
2014-04-01,2.37
2014-05-01,2.18
2014-06-01,2.03
2014-07-01,1.98
2014-08-01,1.93
2014-09-01,1.9
2014-10-01,1.84
2014-11-01,1.83
2014-12-01,1.96
2015-01-01,2.0
2015-02-01,2.0
2015-03-01,1.98
2015-04-01,1.97
2015-05-01,1.86
2015-06-01,1.82
2015-07-01,1.83
2015-08-01,1.79
2015-09-01,1.83
2015-10-01,1.83
2015-11-01,1.77
2015-12-01,1.92
2016-01-01,2.08
2016-02-01,2.22
2016-03-01,2.23
2016-04-01,2.19
2016-05-01,2.1
2016-06-01,2.06
2016-07-01,2.05
2016-08-01,2.17
2016-09-01,2.3
2016-10-01,2.47
2016-11-01,2.52
2016-12-01,2.63
2017-01-01,2.73
2017-02-01,2.73
2017-03-01,2.65
2017-04-01,2.72
2017-05-01,2.9
2017-06-01,2.98
2017-07-01,3.03
2017-08-01,3.03
2017-09-01,3.06
2017-10-01,3.07
2017-11-01,3.05
2017-12-01,3.13
2018-01-01,3.16
2018-02-01,3.1
2018-03-01,3.15
2018-04-01,3.21
2018-05-01,3.26
2018-06-01,3.42
2018-07-01,3.6
2018-08-01,3.91
2018-09-01,4.94
2018-10-01,4.95
2018-11-01,4.48
2018-12-01,4.09
2019-01-01,3.9
2019-02-01,3.52
2019-03-01,3.21
2019-04-01,3.16
2019-05-01,3.08
2019-06-01,3.06
2019-07-01,2.97
2019-08-01,2.8
2019-09-01,2.51
2019-10-01,2.3
2019-11-01,2.13
2019-12-01,1.98
2020-01-01,1.59
2020-02-01,1.41
2020-03-01,1.17
2020-04-01,1.25
2020-05-01,0.96
2020-06-01,0.93
2020-07-01,0.94
2020-08-01,1.2
2020-09-01,1.49
2020-10-01,1.6
2020-11-01,1.72
2020-12-01,1.82
2021-01-01,1.74
2021-02-01,1.38
2021-03-01,1.29
2021-04-01,1.34
2021-05-01,1.3
2021-06-01,1.26
2021-07-01,1.1
2021-08-01,0.92
2021-09-01,0.76
2021-10-01,0.69
2021-11-01,0.66
2021-12-01,0.77
2022-01-01,0.82
2022-02-01,0.87
2022-03-01,1.11
2022-04-01,1.29
2022-05-01,1.64
2022-06-01,2.45
2022-07-01,3.06
2022-08-01,2.96
2022-09-01,2.82
2022-10-01,2.81
2022-11-01,2.68
2022-12-01,2.59
2023-01-01,2.43
2023-02-01,2.26
2023-03-01,2.15
2023-04-01,2.01
2023-05-01,2.26
2023-06-01,2.58
2023-07-01,2.73
2023-08-01,2.86
2023-09-01,2.71
2023-10-01,2.97
2023-11-01,3.01
2023-12-01,3.01
2024-01-01,2.73
2024-02-01,2.33
2024-03-01,2.23
2024-04-01,2.13
2024-05-01,2.22
2024-06-01,2.41
2024-07-01,2.3
2024-08-01,2.06
2024-09-01,1.63
2024-10-01,1.59
2024-11-01,1.69
2024-12-01,1.74
2025-01-01,1.97
2025-02-01,2.22
2025-03-01,2.42
2025-04-01,2.38
2025-05-01,2.18
2025-06-01,2.19
2025-07-01,2.15
2025-08-01,2.03
