Tarih,TP_MT210AGS_EUR_MT05
2013-08-01,2.82
2013-09-01,2.82
2013-10-01,2.82
2013-11-01,2.82
2013-12-01,2.81
2014-01-01,2.81
2014-02-01,2.81
2014-03-01,2.81
2014-04-01,2.81
2014-05-01,2.81
2014-06-01,2.78
2014-07-01,2.69
2014-08-01,2.49
2014-09-01,2.31
2014-10-01,2.24
2014-11-01,2.2
2014-12-01,2.17
2015-01-01,2.14
2015-02-01,2.08
2015-03-01,2.06
2015-04-01,2.04
2015-05-01,2.01
2015-06-01,1.98
2015-07-01,1.93
2015-08-01,1.81
2015-09-01,1.76
2015-10-01,1.73
2015-11-01,1.72
2015-12-01,1.7
2016-01-01,1.7
2016-02-01,1.69
2016-03-01,1.68
2016-04-01,1.66
2016-05-01,1.65
2016-06-01,1.63
2016-07-01,1.57
2016-08-01,1.43
2016-09-01,1.37
2016-10-01,1.34
2016-11-01,1.33
2016-12-01,1.32
2017-01-01,1.32
2017-02-01,1.32
2017-03-01,1.33
2017-04-01,1.33
2017-05-01,1.33
2017-06-01,1.34
2017-07-01,1.38
2017-08-01,1.43
2017-09-01,1.48
2017-10-01,1.5
2017-11-01,1.52
2017-12-01,1.53
2018-01-01,1.54
2018-02-01,1.54
2018-03-01,1.54
2018-04-01,1.55
2018-05-01,1.56
2018-06-01,1.56
2018-07-01,1.57
2018-08-01,1.64
2018-09-01,1.77
2018-10-01,1.88
2018-11-01,1.93
2018-12-01,1.94
2019-01-01,1.96
2019-02-01,1.95
2019-03-01,1.92
2019-04-01,1.89
2019-05-01,1.88
2019-06-01,1.86
2019-07-01,1.8
2019-08-01,1.65
2019-09-01,1.32
2019-10-01,1.03
2019-11-01,0.91
2019-12-01,0.86
2020-01-01,0.81
2020-02-01,0.78
2020-03-01,0.76
2020-04-01,0.73
2020-05-01,0.7
2020-06-01,0.66
2020-07-01,0.6
2020-08-01,0.52
2020-09-01,0.52
2020-10-01,0.54
2020-11-01,0.56
2020-12-01,0.57
2021-01-01,0.59
2021-02-01,0.58
2021-03-01,0.59
2021-04-01,0.59
2021-05-01,0.59
2021-06-01,0.6
2021-07-01,0.6
2021-08-01,0.55
2021-09-01,0.47
2021-10-01,0.43
2021-11-01,0.39
2021-12-01,0.35
2022-01-01,0.34
2022-02-01,0.33
2022-03-01,0.33
2022-04-01,0.33
2022-05-01,0.35
2022-06-01,0.37
2022-07-01,0.43
2022-08-01,0.61
2022-09-01,0.77
2022-10-01,0.89
2022-11-01,0.97
2022-12-01,1.02
2023-01-01,1.04
2023-02-01,1.05
2023-03-01,1.07
2023-04-01,1.1
2023-05-01,1.09
2023-06-01,1.1
2023-07-01,1.13
2023-08-01,1.2
2023-09-01,1.24
2023-10-01,1.27
2023-11-01,1.3
2023-12-01,1.33
2024-01-01,1.34
2024-02-01,1.34
2024-03-01,1.32
2024-04-01,1.46
2024-05-01,1.51
2024-06-01,1.54
2024-07-01,1.54
2024-08-01,1.49
2024-09-01,1.28
2024-10-01,1.16
2024-11-01,1.13
2024-12-01,0.89
2025-01-01,0.87
2025-02-01,0.87
2025-03-01,0.86
2025-04-01,0.86
2025-05-01,0.79
2025-06-01,0.76
2025-07-01,0.69
2025-08-01,0.55
