Tarih,TP_MT210AGS_USD_MT05
2013-08-01,2.61
2013-09-01,2.73
2013-10-01,2.74
2013-11-01,2.71
2013-12-01,2.67
2014-01-01,2.72
2014-02-01,2.72
2014-03-01,2.74
2014-04-01,2.75
2014-05-01,2.7
2014-06-01,2.62
2014-07-01,2.67
2014-08-01,2.58
2014-09-01,2.53
2014-10-01,2.47
2014-11-01,2.43
2014-12-01,2.41
2015-01-01,2.36
2015-02-01,2.32
2015-03-01,2.26
2015-04-01,2.2
2015-05-01,2.18
2015-06-01,2.13
2015-07-01,2.08
2015-08-01,2.05
2015-09-01,2.04
2015-10-01,2.03
2015-11-01,2.02
2015-12-01,2.06
2016-01-01,2.13
2016-02-01,2.16
2016-03-01,2.19
2016-04-01,2.18
2016-05-01,2.17
2016-06-01,2.2
2016-07-01,2.23
2016-08-01,2.23
2016-09-01,2.23
2016-10-01,2.29
2016-11-01,2.33
2016-12-01,2.37
2017-01-01,2.39
2017-02-01,2.35
2017-03-01,2.41
2017-04-01,2.42
2017-05-01,2.53
2017-06-01,2.58
2017-07-01,2.61
2017-08-01,2.68
2017-09-01,2.71
2017-10-01,2.73
2017-11-01,2.75
2017-12-01,2.79
2018-01-01,2.79
2018-02-01,2.82
2018-03-01,2.88
2018-04-01,2.91
2018-05-01,2.92
2018-06-01,2.95
2018-07-01,3.11
2018-08-01,3.16
2018-09-01,3.27
2018-10-01,3.43
2018-11-01,3.54
2018-12-01,3.59
2019-01-01,3.64
2019-02-01,3.68
2019-03-01,3.71
2019-04-01,3.72
2019-05-01,3.69
2019-06-01,3.68
2019-07-01,3.63
2019-08-01,3.56
2019-09-01,3.44
2019-10-01,3.23
2019-11-01,3.11
2019-12-01,3.01
2020-01-01,2.92
2020-02-01,2.88
2020-03-01,2.76
2020-04-01,2.68
2020-05-01,2.58
2020-06-01,2.47
2020-07-01,2.26
2020-08-01,2.14
2020-09-01,2.08
2020-10-01,2.01
2020-11-01,1.97
2020-12-01,1.86
2021-01-01,1.97
2021-02-01,1.82
2021-03-01,1.77
2021-04-01,1.77
2021-05-01,1.77
2021-06-01,1.78
2021-07-01,1.8
2021-08-01,1.74
2021-09-01,1.64
2021-10-01,1.58
2021-11-01,1.48
2021-12-01,1.38
2022-01-01,1.26
2022-02-01,1.25
2022-03-01,1.25
2022-04-01,1.24
2022-05-01,1.28
2022-06-01,1.37
2022-07-01,1.45
2022-08-01,1.72
2022-09-01,2.04
2022-10-01,2.14
2022-11-01,2.34
2022-12-01,2.52
2023-01-01,2.52
2023-02-01,2.48
2023-03-01,2.51
2023-04-01,2.59
2023-05-01,2.58
2023-06-01,2.57
2023-07-01,2.54
2023-08-01,2.54
2023-09-01,2.59
2023-10-01,2.49
2023-11-01,2.64
2023-12-01,2.71
2024-01-01,2.8
2024-02-01,2.82
2024-03-01,2.84
2024-04-01,2.78
2024-05-01,2.83
2024-06-01,2.86
2024-07-01,3.07
2024-08-01,3.05
2024-09-01,2.64
2024-10-01,2.67
2024-11-01,2.32
2024-12-01,2.27
2025-01-01,2.21
2025-02-01,2.19
2025-03-01,2.16
2025-04-01,2.17
2025-05-01,2.16
2025-06-01,2.15
2025-07-01,1.84
2025-08-01,1.92
