Tarih,TP_MT210AGS_EUR_MT04
2013-08-01,2.52
2013-09-01,2.58
2013-10-01,2.72
2013-11-01,2.78
2013-12-01,2.79
2014-01-01,2.76
2014-02-01,2.78
2014-03-01,2.79
2014-04-01,2.77
2014-05-01,2.71
2014-06-01,2.62
2014-07-01,2.56
2014-08-01,2.47
2014-09-01,2.34
2014-10-01,2.14
2014-11-01,2.16
2014-12-01,2.02
2015-01-01,1.98
2015-02-01,1.93
2015-03-01,1.93
2015-04-01,1.91
2015-05-01,1.87
2015-06-01,1.8
2015-07-01,1.73
2015-08-01,1.7
2015-09-01,1.56
2015-10-01,1.52
2015-11-01,1.51
2015-12-01,1.48
2016-01-01,1.4
2016-02-01,1.31
2016-03-01,1.25
2016-04-01,1.23
2016-05-01,1.22
2016-06-01,1.2
2016-07-01,1.19
2016-08-01,1.15
2016-09-01,1.13
2016-10-01,1.16
2016-11-01,1.29
2016-12-01,1.31
2017-01-01,1.33
2017-02-01,1.35
2017-03-01,1.39
2017-04-01,1.44
2017-05-01,1.42
2017-06-01,1.49
2017-07-01,1.45
2017-08-01,1.5
2017-09-01,1.52
2017-10-01,1.53
2017-11-01,1.56
2017-12-01,1.63
2018-01-01,1.6
2018-02-01,1.57
2018-03-01,1.62
2018-04-01,1.56
2018-05-01,1.53
2018-06-01,1.53
2018-07-01,1.53
2018-08-01,1.53
2018-09-01,1.53
2018-10-01,1.7
2018-11-01,1.73
2018-12-01,1.82
2019-01-01,1.78
2019-02-01,1.75
2019-03-01,1.66
2019-04-01,1.57
2019-05-01,1.46
2019-06-01,1.34
2019-07-01,1.26
2019-08-01,1.15
2019-09-01,0.99
2019-10-01,0.89
2019-11-01,0.81
2019-12-01,0.69
2020-01-01,0.57
2020-02-01,0.47
2020-03-01,0.42
2020-04-01,0.35
2020-05-01,0.32
2020-06-01,0.29
2020-07-01,0.27
2020-08-01,0.29
2020-09-01,0.33
2020-10-01,0.37
2020-11-01,0.44
2020-12-01,0.49
2021-01-01,0.52
2021-02-01,0.51
2021-03-01,0.5
2021-04-01,0.49
2021-05-01,0.48
2021-06-01,0.46
2021-07-01,0.44
2021-08-01,0.41
2021-09-01,0.38
2021-10-01,0.43
2021-11-01,0.43
2021-12-01,0.41
2022-01-01,0.33
2022-02-01,0.33
2022-03-01,0.34
2022-04-01,0.37
2022-05-01,0.47
2022-06-01,0.59
2022-07-01,0.78
2022-08-01,0.88
2022-09-01,1.06
2022-10-01,1.12
2022-11-01,1.29
2022-12-01,1.3
2023-01-01,1.3
2023-02-01,1.41
2023-03-01,1.8
2023-04-01,1.88
2023-05-01,2.03
2023-06-01,2.03
2023-07-01,2.09
2023-08-01,2.11
2023-09-01,1.86
2023-10-01,1.85
2023-11-01,1.96
2023-12-01,2.04
2024-01-01,2.11
2024-02-01,2.03
2024-03-01,2.08
2024-04-01,2.36
2024-05-01,2.38
2024-06-01,2.65
2024-07-01,2.66
2024-08-01,2.63
2024-09-01,2.53
2024-10-01,2.33
2024-11-01,2.0
2024-12-01,1.34
2025-01-01,1.51
2025-02-01,1.52
2025-03-01,1.5
2025-04-01,2.07
2025-05-01,2.04
2025-06-01,2.04
2025-07-01,2.0
2025-08-01,1.88
