Tarih,TP_MT210AGS_EUR_MT06
2013-08-01,2.53
2013-09-01,2.64
2013-10-01,2.56
2013-11-01,2.45
2013-12-01,2.46
2014-01-01,2.44
2014-02-01,2.43
2014-03-01,2.4
2014-04-01,2.33
2014-05-01,2.23
2014-06-01,2.09
2014-07-01,2.0
2014-08-01,1.89
2014-09-01,1.82
2014-10-01,1.76
2014-11-01,1.72
2014-12-01,1.76
2015-01-01,1.74
2015-02-01,1.69
2015-03-01,1.72
2015-04-01,1.7
2015-05-01,1.62
2015-06-01,1.54
2015-07-01,1.5
2015-08-01,1.47
2015-09-01,1.47
2015-10-01,1.46
2015-11-01,1.4
2015-12-01,1.4
2016-01-01,1.39
2016-02-01,1.4
2016-03-01,1.41
2016-04-01,1.35
2016-05-01,1.29
2016-06-01,1.24
2016-07-01,1.19
2016-08-01,1.21
2016-09-01,1.21
2016-10-01,1.24
2016-11-01,1.27
2016-12-01,1.31
2017-01-01,1.3
2017-02-01,1.29
2017-03-01,1.3
2017-04-01,1.36
2017-05-01,1.41
2017-06-01,1.47
2017-07-01,1.43
2017-08-01,1.4
2017-09-01,1.42
2017-10-01,1.41
2017-11-01,1.39
2017-12-01,1.43
2018-01-01,1.44
2018-02-01,1.43
2018-03-01,1.42
2018-04-01,1.43
2018-05-01,1.45
2018-06-01,1.52
2018-07-01,1.58
2018-08-01,1.65
2018-09-01,2.03
2018-10-01,2.21
2018-11-01,1.99
2018-12-01,1.84
2019-01-01,1.67
2019-02-01,1.46
2019-03-01,1.3
2019-04-01,1.23
2019-05-01,1.15
2019-06-01,1.13
2019-07-01,1.03
2019-08-01,0.91
2019-09-01,0.69
2019-10-01,0.52
2019-11-01,0.43
2019-12-01,0.36
2020-01-01,0.3
2020-02-01,0.28
2020-03-01,0.26
2020-04-01,0.29
2020-05-01,0.32
2020-06-01,0.35
2020-07-01,0.35
2020-08-01,0.44
2020-09-01,0.54
2020-10-01,0.62
2020-11-01,0.73
2020-12-01,0.82
2021-01-01,0.79
2021-02-01,0.59
2021-03-01,0.55
2021-04-01,0.56
2021-05-01,0.56
2021-06-01,0.55
2021-07-01,0.47
2021-08-01,0.38
2021-09-01,0.31
2021-10-01,0.28
2021-11-01,0.27
2021-12-01,0.31
2022-01-01,0.35
2022-02-01,0.39
2022-03-01,0.53
2022-04-01,0.63
2022-05-01,0.8
2022-06-01,1.18
2022-07-01,1.42
2022-08-01,1.43
2022-09-01,1.44
2022-10-01,1.52
2022-11-01,1.42
2022-12-01,1.31
2023-01-01,1.19
2023-02-01,1.03
2023-03-01,1.06
2023-04-01,1.11
2023-05-01,1.3
2023-06-01,1.57
2023-07-01,1.52
2023-08-01,1.54
2023-09-01,1.46
2023-10-01,1.71
2023-11-01,1.82
2023-12-01,1.81
2024-01-01,1.65
2024-02-01,1.44
2024-03-01,1.44
2024-04-01,1.45
2024-05-01,1.54
2024-06-01,1.64
2024-07-01,1.58
2024-08-01,1.39
2024-09-01,1.12
2024-10-01,1.08
2024-11-01,1.08
2024-12-01,1.02
2025-01-01,1.15
2025-02-01,1.29
2025-03-01,1.39
2025-04-01,1.46
2025-05-01,1.31
2025-06-01,1.31
2025-07-01,1.28
2025-08-01,1.21
