Tarih,TP_MT210AGS_USD_MT02
2013-08-01,2.99
2013-09-01,3.11
2013-10-01,2.92
2013-11-01,2.7
2013-12-01,2.75
2014-01-01,2.76
2014-02-01,2.7
2014-03-01,2.66
2014-04-01,2.56
2014-05-01,2.35
2014-06-01,2.15
2014-07-01,2.08
2014-08-01,2.04
2014-09-01,2.0
2014-10-01,1.98
2014-11-01,1.96
2014-12-01,2.13
2015-01-01,2.15
2015-02-01,2.14
2015-03-01,2.13
2015-04-01,2.12
2015-05-01,2.02
2015-06-01,1.98
2015-07-01,1.97
2015-08-01,1.95
2015-09-01,1.99
2015-10-01,2.0
2015-11-01,1.92
2015-12-01,2.1
2016-01-01,2.26
2016-02-01,2.39
2016-03-01,2.48
2016-04-01,2.37
2016-05-01,2.25
2016-06-01,2.21
2016-07-01,2.22
2016-08-01,2.36
2016-09-01,2.53
2016-10-01,2.71
2016-11-01,2.78
2016-12-01,2.88
2017-01-01,2.95
2017-02-01,2.96
2017-03-01,2.9
2017-04-01,3.02
2017-05-01,3.2
2017-06-01,3.3
2017-07-01,3.3
2017-08-01,3.28
2017-09-01,3.3
2017-10-01,3.31
2017-11-01,3.27
2017-12-01,3.41
2018-01-01,3.44
2018-02-01,3.34
2018-03-01,3.39
2018-04-01,3.44
2018-05-01,3.52
2018-06-01,3.7
2018-07-01,3.86
2018-08-01,4.14
2018-09-01,5.37
2018-10-01,5.33
2018-11-01,4.74
2018-12-01,4.32
2019-01-01,4.08
2019-02-01,3.63
2019-03-01,3.28
2019-04-01,3.26
2019-05-01,3.2
2019-06-01,3.15
2019-07-01,3.1
2019-08-01,2.87
2019-09-01,2.55
2019-10-01,2.35
2019-11-01,2.2
2019-12-01,2.04
2020-01-01,1.61
2020-02-01,1.41
2020-03-01,1.19
2020-04-01,1.32
2020-05-01,0.98
2020-06-01,0.95
2020-07-01,0.97
2020-08-01,1.26
2020-09-01,1.59
2020-10-01,1.71
2020-11-01,1.83
2020-12-01,1.96
2021-01-01,1.84
2021-02-01,1.43
2021-03-01,1.32
2021-04-01,1.41
2021-05-01,1.36
2021-06-01,1.31
2021-07-01,1.13
2021-08-01,0.95
2021-09-01,0.77
2021-10-01,0.7
2021-11-01,0.67
2021-12-01,0.81
2022-01-01,0.88
2022-02-01,0.93
2022-03-01,1.19
2022-04-01,1.42
2022-05-01,1.82
2022-06-01,2.72
2022-07-01,3.49
2022-08-01,2.89
2022-09-01,2.73
2022-10-01,2.74
2022-11-01,2.53
2022-12-01,2.38
2023-01-01,2.19
2023-02-01,1.93
2023-03-01,1.83
2023-04-01,1.7
2023-05-01,1.89
2023-06-01,2.37
2023-07-01,2.48
2023-08-01,2.7
2023-09-01,2.58
2023-10-01,2.96
2023-11-01,3.13
2023-12-01,3.12
2024-01-01,2.73
2024-02-01,2.21
2024-03-01,2.17
2024-04-01,2.1
2024-05-01,2.2
2024-06-01,2.46
2024-07-01,2.4
2024-08-01,2.12
2024-09-01,1.54
2024-10-01,1.6
2024-11-01,1.7
2024-12-01,1.76
2025-01-01,2.06
2025-02-01,2.35
2025-03-01,2.45
2025-04-01,2.41
2025-05-01,2.18
2025-06-01,2.18
2025-07-01,2.1
2025-08-01,2.03
