Tarih,TP_MT210AGS_TRY_MT02
2013-08-01,8.39
2013-09-01,8.86
2013-10-01,8.68
2013-11-01,8.47
2013-12-01,8.73
2014-01-01,9.04
2014-02-01,10.41
2014-03-01,11.3
2014-04-01,11.12
2014-05-01,10.65
2014-06-01,10.14
2014-07-01,9.43
2014-08-01,9.11
2014-09-01,9.18
2014-10-01,9.34
2014-11-01,9.48
2014-12-01,9.87
2015-01-01,9.89
2015-02-01,9.7
2015-03-01,9.95
2015-04-01,10.18
2015-05-01,10.26
2015-06-01,10.47
2015-07-01,10.64
2015-08-01,10.86
2015-09-01,11.32
2015-10-01,11.5
2015-11-01,11.23
2015-12-01,11.77
2016-01-01,11.91
2016-02-01,12.03
2016-03-01,12.09
2016-04-01,11.8
2016-05-01,11.41
2016-06-01,11.16
2016-07-01,10.88
2016-08-01,10.87
2016-09-01,10.9
2016-10-01,10.82
2016-11-01,10.54
2016-12-01,10.57
2017-01-01,10.64
2017-02-01,10.91
2017-03-01,11.26
2017-04-01,11.78
2017-05-01,12.58
2017-06-01,13.09
2017-07-01,13.17
2017-08-01,13.01
2017-09-01,13.03
2017-10-01,13.08
2017-11-01,13.15
2017-12-01,13.59
2018-01-01,13.71
2018-02-01,13.6
2018-03-01,13.63
2018-04-01,13.75
2018-05-01,14.08
2018-06-01,16.19
2018-07-01,17.59
2018-08-01,18.54
2018-09-01,23.24
2018-10-01,25.37
2018-11-01,24.34
2018-12-01,23.58
2019-01-01,22.26
2019-02-01,20.99
2019-03-01,20.54
2019-04-01,21.27
2019-05-01,22.78
2019-06-01,23.28
2019-07-01,22.04
2019-08-01,18.75
2019-09-01,16.22
2019-10-01,14.0
2019-11-01,12.46
2019-12-01,11.17
2020-01-01,10.28
2020-02-01,9.95
2020-03-01,10.08
2020-04-01,9.88
2020-05-01,8.46
2020-06-01,8.16
2020-07-01,8.2
2020-08-01,10.08
2020-09-01,11.71
2020-10-01,12.24
2020-11-01,13.88
2020-12-01,16.43
2021-01-01,17.4
2021-02-01,17.33
2021-03-01,17.89
2021-04-01,18.82
2021-05-01,18.85
2021-06-01,18.89
2021-07-01,18.93
2021-08-01,19.01
2021-09-01,18.96
2021-10-01,18.13
2021-11-01,16.46
2021-12-01,17.68
2022-01-01,19.36
2022-02-01,18.32
2022-03-01,17.34
2022-04-01,17.2
2022-05-01,17.16
2022-06-01,18.3
2022-07-01,19.57
2022-08-01,18.91
2022-09-01,18.56
2022-10-01,18.72
2022-11-01,19.95
2022-12-01,21.65
2023-01-01,23.13
2023-02-01,24.79
2023-03-01,25.98
2023-04-01,26.64
2023-05-01,29.32
2023-06-01,34.16
2023-07-01,31.41
2023-08-01,30.21
2023-09-01,37.78
2023-10-01,41.39
2023-11-01,44.78
2023-12-01,49.93
2024-01-01,50.07
2024-02-01,51.57
2024-03-01,57.59
2024-04-01,67.14
2024-05-01,64.56
2024-06-01,60.42
2024-07-01,59.44
2024-08-01,59.05
2024-09-01,59.51
2024-10-01,59.4
2024-11-01,59.11
2024-12-01,58.96
2025-01-01,54.97
2025-02-01,52.26
2025-03-01,51.29
2025-04-01,55.25
2025-05-01,58.55
2025-06-01,58.48
2025-07-01,56.08
2025-08-01,52.17
