Tarih,TP_MT210AGS_TRY_MT03
2013-08-01,7.82
2013-09-01,8.74
2013-10-01,8.98
2013-11-01,8.99
2013-12-01,8.84
2014-01-01,8.97
2014-02-01,9.56
2014-03-01,10.27
2014-04-01,10.92
2014-05-01,10.91
2014-06-01,10.59
2014-07-01,10.05
2014-08-01,9.73
2014-09-01,9.36
2014-10-01,9.44
2014-11-01,9.39
2014-12-01,9.67
2015-01-01,9.74
2015-02-01,9.89
2015-03-01,9.71
2015-04-01,9.7
2015-05-01,10.04
2015-06-01,10.48
2015-07-01,10.61
2015-08-01,10.55
2015-09-01,10.59
2015-10-01,10.73
2015-11-01,11.03
2015-12-01,11.59
2016-01-01,11.85
2016-02-01,12.45
2016-03-01,12.58
2016-04-01,12.5
2016-05-01,12.02
2016-06-01,11.48
2016-07-01,11.19
2016-08-01,11.1
2016-09-01,10.97
2016-10-01,10.88
2016-11-01,10.76
2016-12-01,10.62
2017-01-01,10.75
2017-02-01,10.86
2017-03-01,10.96
2017-04-01,11.45
2017-05-01,12.37
2017-06-01,13.24
2017-07-01,13.53
2017-08-01,13.51
2017-09-01,13.42
2017-10-01,13.29
2017-11-01,13.25
2017-12-01,13.55
2018-01-01,13.58
2018-02-01,13.59
2018-03-01,13.54
2018-04-01,13.48
2018-05-01,13.66
2018-06-01,14.63
2018-07-01,15.67
2018-08-01,16.61
2018-09-01,18.71
2018-10-01,22.79
2018-11-01,25.12
2018-12-01,25.07
2019-01-01,24.45
2019-02-01,23.01
2019-03-01,20.87
2019-04-01,19.92
2019-05-01,20.37
2019-06-01,21.04
2019-07-01,21.45
2019-08-01,20.27
2019-09-01,17.46
2019-10-01,14.72
2019-11-01,13.03
2019-12-01,10.99
2020-01-01,9.95
2020-02-01,9.28
2020-03-01,8.91
2020-04-01,8.73
2020-05-01,8.47
2020-06-01,7.96
2020-07-01,7.82
2020-08-01,8.14
2020-09-01,8.93
2020-10-01,9.73
2020-11-01,11.14
2020-12-01,13.98
2021-01-01,15.32
2021-02-01,16.1
2021-03-01,17.89
2021-04-01,18.12
2021-05-01,18.52
2021-06-01,18.53
2021-07-01,18.38
2021-08-01,18.25
2021-09-01,18.29
2021-10-01,17.92
2021-11-01,16.8
2021-12-01,16.71
2022-01-01,17.43
2022-02-01,17.52
2022-03-01,17.6
2022-04-01,17.48
2022-05-01,17.49
2022-06-01,17.57
2022-07-01,17.7
2022-08-01,17.66
2022-09-01,17.3
2022-10-01,16.56
2022-11-01,15.55
2022-12-01,15.04
2023-01-01,14.7
2023-02-01,14.97
2023-03-01,15.05
2023-04-01,16.74
2023-05-01,18.6
2023-06-01,20.9
2023-07-01,24.34
2023-08-01,26.02
2023-09-01,27.31
2023-10-01,31.99
2023-11-01,39.7
2023-12-01,43.25
2024-01-01,47.44
2024-02-01,49.61
2024-03-01,50.49
2024-04-01,54.21
2024-05-01,58.53
2024-06-01,59.05
2024-07-01,57.7
2024-08-01,55.42
2024-09-01,53.9
2024-10-01,51.52
2024-11-01,50.2
2024-12-01,49.6
2025-01-01,47.58
2025-02-01,45.26
2025-03-01,43.07
2025-04-01,41.75
2025-05-01,42.76
2025-06-01,43.55
2025-07-01,44.02
2025-08-01,43.22
