Tarih,TP_MT210AGS_EUR_MT02
2013-08-01,2.77
2013-09-01,2.86
2013-10-01,2.73
2013-11-01,2.53
2013-12-01,2.58
2014-01-01,2.56
2014-02-01,2.52
2014-03-01,2.48
2014-04-01,2.37
2014-05-01,2.21
2014-06-01,2.04
2014-07-01,1.95
2014-08-01,1.86
2014-09-01,1.82
2014-10-01,1.76
2014-11-01,1.67
2014-12-01,1.76
2015-01-01,1.78
2015-02-01,1.73
2015-03-01,1.76
2015-04-01,1.74
2015-05-01,1.61
2015-06-01,1.53
2015-07-01,1.5
2015-08-01,1.49
2015-09-01,1.52
2015-10-01,1.5
2015-11-01,1.41
2015-12-01,1.42
2016-01-01,1.43
2016-02-01,1.46
2016-03-01,1.49
2016-04-01,1.38
2016-05-01,1.3
2016-06-01,1.23
2016-07-01,1.19
2016-08-01,1.26
2016-09-01,1.29
2016-10-01,1.35
2016-11-01,1.38
2016-12-01,1.42
2017-01-01,1.4
2017-02-01,1.37
2017-03-01,1.37
2017-04-01,1.47
2017-05-01,1.56
2017-06-01,1.66
2017-07-01,1.55
2017-08-01,1.49
2017-09-01,1.48
2017-10-01,1.45
2017-11-01,1.43
2017-12-01,1.52
2018-01-01,1.5
2018-02-01,1.49
2018-03-01,1.48
2018-04-01,1.51
2018-05-01,1.51
2018-06-01,1.63
2018-07-01,1.71
2018-08-01,1.79
2018-09-01,2.38
2018-10-01,2.6
2018-11-01,2.2
2018-12-01,1.92
2019-01-01,1.66
2019-02-01,1.37
2019-03-01,1.21
2019-04-01,1.16
2019-05-01,1.11
2019-06-01,1.03
2019-07-01,0.97
2019-08-01,0.84
2019-09-01,0.6
2019-10-01,0.45
2019-11-01,0.36
2019-12-01,0.29
2020-01-01,0.23
2020-02-01,0.21
2020-03-01,0.19
2020-04-01,0.24
2020-05-01,0.28
2020-06-01,0.33
2020-07-01,0.36
2020-08-01,0.5
2020-09-01,0.65
2020-10-01,0.75
2020-11-01,0.88
2020-12-01,1.0
2021-01-01,0.97
2021-02-01,0.66
2021-03-01,0.6
2021-04-01,0.6
2021-05-01,0.6
2021-06-01,0.59
2021-07-01,0.5
2021-08-01,0.36
2021-09-01,0.29
2021-10-01,0.26
2021-11-01,0.25
2021-12-01,0.33
2022-01-01,0.39
2022-02-01,0.42
2022-03-01,0.58
2022-04-01,0.75
2022-05-01,0.93
2022-06-01,1.41
2022-07-01,1.71
2022-08-01,1.59
2022-09-01,1.55
2022-10-01,1.65
2022-11-01,1.48
2022-12-01,1.34
2023-01-01,1.18
2023-02-01,1.0
2023-03-01,0.98
2023-04-01,1.12
2023-05-01,1.42
2023-06-01,1.89
2023-07-01,1.74
2023-08-01,1.78
2023-09-01,1.71
2023-10-01,2.15
2023-11-01,2.29
2023-12-01,2.17
2024-01-01,1.89
2024-02-01,1.52
2024-03-01,1.41
2024-04-01,1.4
2024-05-01,1.45
2024-06-01,1.59
2024-07-01,1.49
2024-08-01,1.15
2024-09-01,0.85
2024-10-01,0.86
2024-11-01,0.93
2024-12-01,0.95
2025-01-01,1.04
2025-02-01,1.32
2025-03-01,1.42
2025-04-01,1.47
2025-05-01,1.31
2025-06-01,1.22
2025-07-01,1.22
2025-08-01,1.15
