Tarih,TP_MT210AGS_EUR_MT01
2013-08-01,1.5
2013-09-01,1.64
2013-10-01,1.56
2013-11-01,1.41
2013-12-01,1.42
2014-01-01,1.52
2014-02-01,1.56
2014-03-01,1.48
2014-04-01,1.4
2014-05-01,1.37
2014-06-01,1.22
2014-07-01,1.24
2014-08-01,1.12
2014-09-01,1.07
2014-10-01,1.08
2014-11-01,1.12
2014-12-01,1.2
2015-01-01,1.17
2015-02-01,1.11
2015-03-01,1.16
2015-04-01,1.15
2015-05-01,1.08
2015-06-01,0.95
2015-07-01,0.97
2015-08-01,0.95
2015-09-01,0.99
2015-10-01,1.07
2015-11-01,0.99
2015-12-01,1.02
2016-01-01,0.95
2016-02-01,0.97
2016-03-01,1.05
2016-04-01,0.96
2016-05-01,0.9
2016-06-01,0.85
2016-07-01,0.81
2016-08-01,0.85
2016-09-01,0.87
2016-10-01,0.84
2016-11-01,0.88
2016-12-01,0.89
2017-01-01,0.9
2017-02-01,0.9
2017-03-01,0.94
2017-04-01,0.93
2017-05-01,1.03
2017-06-01,1.0
2017-07-01,1.06
2017-08-01,1.01
2017-09-01,1.02
2017-10-01,1.02
2017-11-01,0.98
2017-12-01,0.93
2018-01-01,1.01
2018-02-01,1.03
2018-03-01,0.97
2018-04-01,0.92
2018-05-01,1.04
2018-06-01,1.01
2018-07-01,1.05
2018-08-01,1.19
2018-09-01,1.44
2018-10-01,1.6
2018-11-01,1.36
2018-12-01,1.23
2019-01-01,1.12
2019-02-01,1.05
2019-03-01,0.93
2019-04-01,0.88
2019-05-01,0.72
2019-06-01,0.73
2019-07-01,0.59
2019-08-01,0.51
2019-09-01,0.38
2019-10-01,0.28
2019-11-01,0.21
2019-12-01,0.15
2020-01-01,0.12
2020-02-01,0.11
2020-03-01,0.09
2020-04-01,0.14
2020-05-01,0.18
2020-06-01,0.15
2020-07-01,0.14
2020-08-01,0.3
2020-09-01,0.32
2020-10-01,0.41
2020-11-01,0.54
2020-12-01,0.59
2021-01-01,0.53
2021-02-01,0.37
2021-03-01,0.35
2021-04-01,0.42
2021-05-01,0.41
2021-06-01,0.41
2021-07-01,0.26
2021-08-01,0.24
2021-09-01,0.17
2021-10-01,0.16
2021-11-01,0.17
2021-12-01,0.21
2022-01-01,0.25
2022-02-01,0.28
2022-03-01,0.43
2022-04-01,0.35
2022-05-01,0.51
2022-06-01,0.96
2022-07-01,1.1
2022-08-01,1.11
2022-09-01,1.02
2022-10-01,0.93
2022-11-01,0.92
2022-12-01,1.02
2023-01-01,0.86
2023-02-01,0.62
2023-03-01,0.77
2023-04-01,0.67
2023-05-01,0.94
2023-06-01,1.11
2023-07-01,1.11
2023-08-01,0.97
2023-09-01,0.95
2023-10-01,1.02
2023-11-01,1.12
2023-12-01,1.29
2024-01-01,1.21
2024-02-01,1.12
2024-03-01,1.24
2024-04-01,1.2
2024-05-01,1.49
2024-06-01,1.59
2024-07-01,1.43
2024-08-01,1.31
2024-09-01,1.01
2024-10-01,1.14
2024-11-01,1.17
2024-12-01,1.19
2025-01-01,1.45
2025-02-01,1.44
2025-03-01,1.63
2025-04-01,1.6
2025-05-01,1.37
2025-06-01,1.56
2025-07-01,1.48
2025-08-01,1.44
