Tarih,TP_MT210AGS_USD_MT04
2013-08-01,2.39
2013-09-01,2.48
2013-10-01,2.53
2013-11-01,2.61
2013-12-01,2.61
2014-01-01,2.56
2014-02-01,2.67
2014-03-01,2.63
2014-04-01,2.57
2014-05-01,2.52
2014-06-01,2.48
2014-07-01,2.39
2014-08-01,2.33
2014-09-01,2.29
2014-10-01,2.17
2014-11-01,2.13
2014-12-01,2.12
2015-01-01,2.08
2015-02-01,2.09
2015-03-01,2.11
2015-04-01,2.11
2015-05-01,2.1
2015-06-01,2.07
2015-07-01,2.07
2015-08-01,2.02
2015-09-01,2.08
2015-10-01,2.06
2015-11-01,2.06
2015-12-01,2.11
2016-01-01,2.12
2016-02-01,2.17
2016-03-01,2.1
2016-04-01,2.14
2016-05-01,2.18
2016-06-01,2.24
2016-07-01,2.23
2016-08-01,2.24
2016-09-01,2.24
2016-10-01,2.24
2016-11-01,2.28
2016-12-01,2.36
2017-01-01,2.59
2017-02-01,2.69
2017-03-01,2.76
2017-04-01,2.69
2017-05-01,2.78
2017-06-01,2.95
2017-07-01,2.98
2017-08-01,3.04
2017-09-01,3.06
2017-10-01,3.08
2017-11-01,3.05
2017-12-01,3.14
2018-01-01,3.14
2018-02-01,3.15
2018-03-01,3.19
2018-04-01,3.21
2018-05-01,3.28
2018-06-01,3.32
2018-07-01,3.56
2018-08-01,3.61
2018-09-01,3.81
2018-10-01,4.17
2018-11-01,4.38
2018-12-01,4.44
2019-01-01,4.44
2019-02-01,4.37
2019-03-01,4.24
2019-04-01,3.98
2019-05-01,3.6
2019-06-01,3.43
2019-07-01,3.33
2019-08-01,3.24
2019-09-01,3.09
2019-10-01,3.03
2019-11-01,2.85
2019-12-01,2.61
2020-01-01,2.37
2020-02-01,2.19
2020-03-01,2.0
2020-04-01,1.9
2020-05-01,1.74
2020-06-01,1.48
2020-07-01,1.41
2020-08-01,1.3
2020-09-01,1.27
2020-10-01,1.48
2020-11-01,1.52
2020-12-01,1.74
2021-01-01,1.9
2021-02-01,1.88
2021-03-01,1.86
2021-04-01,1.81
2021-05-01,1.8
2021-06-01,1.68
2021-07-01,1.59
2021-08-01,1.48
2021-09-01,1.43
2021-10-01,1.34
2021-11-01,1.22
2021-12-01,1.19
2022-01-01,1.16
2022-02-01,1.15
2022-03-01,1.16
2022-04-01,1.23
2022-05-01,1.35
2022-06-01,2.09
2022-07-01,2.33
2022-08-01,2.47
2022-09-01,2.65
2022-10-01,3.01
2022-11-01,3.17
2022-12-01,3.13
2023-01-01,3.01
2023-02-01,2.92
2023-03-01,2.82
2023-04-01,2.61
2023-05-01,2.48
2023-06-01,2.92
2023-07-01,3.37
2023-08-01,3.76
2023-09-01,3.98
2023-10-01,3.76
2023-11-01,4.51
2023-12-01,4.67
2024-01-01,4.63
2024-02-01,4.5
2024-03-01,4.03
2024-04-01,3.95
2024-05-01,3.33
2024-06-01,3.11
2024-07-01,2.7
2024-08-01,2.66
2024-09-01,2.42
2024-10-01,2.34
2024-11-01,2.31
2024-12-01,2.26
2025-01-01,2.05
2025-02-01,2.03
2025-03-01,2.07
2025-04-01,2.24
2025-05-01,2.26
2025-06-01,2.17
2025-07-01,2.08
2025-08-01,2.03
