Tarih,TP_MT210AGS_TRY_MT04
2013-08-01,7.86
2013-09-01,8.17
2013-10-01,8.45
2013-11-01,8.83
2013-12-01,9.21
2014-01-01,9.35
2014-02-01,9.63
2014-03-01,9.91
2014-04-01,10.2
2014-05-01,10.48
2014-06-01,10.38
2014-07-01,10.27
2014-08-01,10.12
2014-09-01,9.8
2014-10-01,9.51
2014-11-01,9.36
2014-12-01,9.25
2015-01-01,9.23
2015-02-01,9.25
2015-03-01,9.3
2015-04-01,9.35
2015-05-01,9.45
2015-06-01,9.62
2015-07-01,9.85
2015-08-01,10.17
2015-09-01,10.38
2015-10-01,10.46
2015-11-01,10.5
2015-12-01,10.72
2016-01-01,11.1
2016-02-01,11.51
2016-03-01,11.65
2016-04-01,11.63
2016-05-01,11.57
2016-06-01,11.43
2016-07-01,11.13
2016-08-01,10.91
2016-09-01,10.57
2016-10-01,10.21
2016-11-01,10.17
2016-12-01,10.33
2017-01-01,10.34
2017-02-01,10.42
2017-03-01,10.71
2017-04-01,11.12
2017-05-01,11.71
2017-06-01,12.39
2017-07-01,12.9
2017-08-01,13.21
2017-09-01,13.37
2017-10-01,13.5
2017-11-01,13.53
2017-12-01,13.53
2018-01-01,13.62
2018-02-01,13.67
2018-03-01,13.7
2018-04-01,13.8
2018-05-01,13.91
2018-06-01,14.86
2018-07-01,15.19
2018-08-01,15.65
2018-09-01,16.77
2018-10-01,18.99
2018-11-01,21.34
2018-12-01,22.31
2019-01-01,23.24
2019-02-01,23.73
2019-03-01,23.77
2019-04-01,22.96
2019-05-01,22.23
2019-06-01,21.74
2019-07-01,21.42
2019-08-01,21.1
2019-09-01,20.13
2019-10-01,18.48
2019-11-01,17.42
2019-12-01,14.56
2020-01-01,13.25
2020-02-01,12.72
2020-03-01,11.58
2020-04-01,10.78
2020-05-01,10.15
2020-06-01,9.52
2020-07-01,8.96
2020-08-01,8.73
2020-09-01,8.66
2020-10-01,10.02
2020-11-01,10.57
2020-12-01,13.51
2021-01-01,14.61
2021-02-01,15.45
2021-03-01,17.09
2021-04-01,17.58
2021-05-01,18.13
2021-06-01,18.42
2021-07-01,18.57
2021-08-01,18.69
2021-09-01,18.52
2021-10-01,18.29
2021-11-01,17.82
2021-12-01,17.85
2022-01-01,19.63
2022-02-01,18.51
2022-03-01,18.35
2022-04-01,18.3
2022-05-01,18.29
2022-06-01,18.23
2022-07-01,17.98
2022-08-01,17.26
2022-09-01,16.87
2022-10-01,16.72
2022-11-01,16.45
2022-12-01,16.38
2023-01-01,15.72
2023-02-01,14.28
2023-03-01,13.87
2023-04-01,13.52
2023-05-01,13.52
2023-06-01,13.79
2023-07-01,16.27
2023-08-01,17.95
2023-09-01,21.94
2023-10-01,27.7
2023-11-01,34.64
2023-12-01,36.34
2024-01-01,38.88
2024-02-01,40.21
2024-03-01,41.03
2024-04-01,42.69
2024-05-01,44.59
2024-06-01,45.47
2024-07-01,46.83
2024-08-01,48.5
2024-09-01,49.42
2024-10-01,49.97
2024-11-01,50.21
2024-12-01,50.11
2025-01-01,49.21
2025-02-01,48.18
2025-03-01,47.34
2025-04-01,47.07
2025-05-01,46.96
2025-06-01,46.31
2025-07-01,46.02
2025-08-01,45.36
