Tarih,TP_MT210AGS_TRY_MT06
2013-08-01,8.08
2013-09-01,8.5
2013-10-01,8.34
2013-11-01,8.24
2013-12-01,8.47
2014-01-01,8.94
2014-02-01,10.16
2014-03-01,10.97
2014-04-01,10.83
2014-05-01,10.39
2014-06-01,9.91
2014-07-01,9.26
2014-08-01,8.99
2014-09-01,9.06
2014-10-01,9.17
2014-11-01,9.26
2014-12-01,9.7
2015-01-01,9.62
2015-02-01,9.5
2015-03-01,9.73
2015-04-01,9.92
2015-05-01,9.99
2015-06-01,10.23
2015-07-01,10.35
2015-08-01,10.49
2015-09-01,10.99
2015-10-01,11.1
2015-11-01,10.91
2015-12-01,11.42
2016-01-01,11.52
2016-02-01,11.63
2016-03-01,11.75
2016-04-01,11.46
2016-05-01,11.09
2016-06-01,10.85
2016-07-01,10.55
2016-08-01,10.52
2016-09-01,10.52
2016-10-01,10.41
2016-11-01,10.19
2016-12-01,10.2
2017-01-01,10.27
2017-02-01,10.48
2017-03-01,10.88
2017-04-01,11.38
2017-05-01,12.15
2017-06-01,12.63
2017-07-01,12.78
2017-08-01,12.64
2017-09-01,12.69
2017-10-01,12.75
2017-11-01,12.83
2017-12-01,13.17
2018-01-01,13.26
2018-02-01,13.18
2018-03-01,13.27
2018-04-01,13.39
2018-05-01,13.81
2018-06-01,15.8
2018-07-01,16.91
2018-08-01,18.02
2018-09-01,22.6
2018-10-01,24.31
2018-11-01,23.71
2018-12-01,23.21
2019-01-01,22.16
2019-02-01,21.04
2019-03-01,20.66
2019-04-01,21.36
2019-05-01,22.51
2019-06-01,22.73
2019-07-01,21.17
2019-08-01,18.35
2019-09-01,15.9
2019-10-01,13.74
2019-11-01,12.32
2019-12-01,10.9
2020-01-01,10.02
2020-02-01,9.75
2020-03-01,9.68
2020-04-01,9.22
2020-05-01,8.01
2020-06-01,7.76
2020-07-01,7.77
2020-08-01,9.64
2020-09-01,11.08
2020-10-01,11.7
2020-11-01,13.78
2020-12-01,16.17
2021-01-01,16.75
2021-02-01,16.74
2021-03-01,17.62
2021-04-01,18.28
2021-05-01,18.33
2021-06-01,18.39
2021-07-01,18.44
2021-08-01,18.51
2021-09-01,18.35
2021-10-01,17.38
2021-11-01,15.95
2021-12-01,17.78
2022-01-01,18.33
2022-02-01,17.48
2022-03-01,16.79
2022-04-01,16.74
2022-05-01,16.83
2022-06-01,17.66
2022-07-01,18.16
2022-08-01,17.47
2022-09-01,17.06
2022-10-01,16.81
2022-11-01,17.2
2022-12-01,18.33
2023-01-01,19.17
2023-02-01,20.01
2023-03-01,20.67
2023-04-01,21.4
2023-05-01,23.35
2023-06-01,27.29
2023-07-01,26.16
2023-08-01,26.88
2023-09-01,31.75
2023-10-01,35.64
2023-11-01,40.59
2023-12-01,44.34
2024-01-01,45.53
2024-02-01,46.69
2024-03-01,50.51
2024-04-01,56.15
2024-05-01,56.92
2024-06-01,55.77
2024-07-01,55.67
2024-08-01,55.6
2024-09-01,55.86
2024-10-01,55.7
2024-11-01,55.58
2024-12-01,55.38
2025-01-01,51.78
2025-02-01,49.73
2025-03-01,49.07
2025-04-01,52.28
2025-05-01,55.1
2025-06-01,55.08
2025-07-01,52.85
2025-08-01,50.0
