Tarih,TP_MT210AGS_TRY_MT05
2013-08-01,7.55
2013-09-01,7.69
2013-10-01,7.72
2013-11-01,7.78
2013-12-01,7.83
2014-01-01,7.95
2014-02-01,8.26
2014-03-01,8.6
2014-04-01,8.91
2014-05-01,9.27
2014-06-01,9.43
2014-07-01,9.48
2014-08-01,9.51
2014-09-01,9.52
2014-10-01,9.56
2014-11-01,9.61
2014-12-01,9.67
2015-01-01,9.66
2015-02-01,9.56
2015-03-01,9.43
2015-04-01,9.39
2015-05-01,9.32
2015-06-01,9.31
2015-07-01,9.36
2015-08-01,9.46
2015-09-01,9.56
2015-10-01,9.6
2015-11-01,9.76
2015-12-01,10.07
2016-01-01,10.08
2016-02-01,10.22
2016-03-01,10.43
2016-04-01,10.57
2016-05-01,10.63
2016-06-01,10.69
2016-07-01,10.7
2016-08-01,10.74
2016-09-01,10.72
2016-10-01,10.72
2016-11-01,10.69
2016-12-01,10.53
2017-01-01,10.61
2017-02-01,10.67
2017-03-01,10.7
2017-04-01,10.88
2017-05-01,11.13
2017-06-01,11.34
2017-07-01,11.5
2017-08-01,11.78
2017-09-01,11.89
2017-10-01,11.99
2017-11-01,12.31
2017-12-01,12.85
2018-01-01,13.08
2018-02-01,13.26
2018-03-01,13.28
2018-04-01,13.26
2018-05-01,13.33
2018-06-01,13.48
2018-07-01,13.78
2018-08-01,14.17
2018-09-01,17.66
2018-10-01,19.61
2018-11-01,20.78
2018-12-01,21.67
2019-01-01,22.0
2019-02-01,22.3
2019-03-01,22.36
2019-04-01,22.5
2019-05-01,22.84
2019-06-01,22.85
2019-07-01,22.87
2019-08-01,22.76
2019-09-01,21.48
2019-10-01,20.41
2019-11-01,18.3
2019-12-01,15.36
2020-01-01,14.13
2020-02-01,13.7
2020-03-01,13.2
2020-04-01,12.79
2020-05-01,11.78
2020-06-01,11.36
2020-07-01,10.5
2020-08-01,10.12
2020-09-01,9.83
2020-10-01,9.95
2020-11-01,10.47
2020-12-01,13.52
2021-01-01,14.07
2021-02-01,14.55
2021-03-01,15.82
2021-04-01,15.96
2021-05-01,16.15
2021-06-01,16.35
2021-07-01,16.51
2021-08-01,16.61
2021-09-01,16.67
2021-10-01,16.84
2021-11-01,16.86
2021-12-01,16.9
2022-01-01,17.11
2022-02-01,17.04
2022-03-01,16.86
2022-04-01,16.7
2022-05-01,16.63
2022-06-01,16.54
2022-07-01,16.59
2022-08-01,16.52
2022-09-01,16.41
2022-10-01,16.3
2022-11-01,16.1
2022-12-01,15.83
2023-01-01,15.41
2023-02-01,14.82
2023-03-01,14.32
2023-04-01,13.8
2023-05-01,13.42
2023-06-01,13.35
2023-07-01,13.9
2023-08-01,14.24
2023-09-01,15.45
2023-10-01,17.85
2023-11-01,20.65
2023-12-01,22.35
2024-01-01,23.93
2024-02-01,25.91
2024-03-01,27.58
2024-04-01,30.47
2024-05-01,33.01
2024-06-01,34.71
2024-07-01,36.67
2024-08-01,41.46
2024-09-01,42.42
2024-10-01,43.56
2024-11-01,43.76
2024-12-01,43.29
2025-01-01,43.19
2025-02-01,43.46
2025-03-01,43.49
2025-04-01,43.06
2025-05-01,42.37
2025-06-01,41.68
2025-07-01,41.07
2025-08-01,38.98
