Tarih,TP_YI22
2014-11-01,84.0
2014-12-01,169.0
2015-01-01,40.0
2015-02-01,92.0
2015-03-01,206.0
2015-04-01,147.0
2015-05-01,86.0
2015-06-01,197.0
2015-07-01,718.0
2015-08-01,121.0
2015-09-01,149.0
2015-10-01,189.0
2015-11-01,200.0
2015-12-01,254.0
2016-01-01,212.0
2016-02-01,99.0
2016-03-01,84.0
2016-04-01,54.0
2016-05-01,82.0
2016-06-01,238.0
2016-07-01,100.0
2016-08-01,119.0
2016-09-01,53.0
2016-10-01,83.0
2016-11-01,80.0
2016-12-01,243.0
2017-01-01,197.0
2017-02-01,127.0
2017-03-01,195.0
2017-04-01,251.0
2017-05-01,91.0
2017-06-01,88.0
2017-07-01,191.0
2017-08-01,111.0
2017-09-01,90.0
2017-10-01,66.0
2017-11-01,141.0
2017-12-01,193.0
2018-01-01,172.0
2018-02-01,619.0
2018-03-01,92.0
2018-04-01,111.0
2018-05-01,172.0
2018-06-01,121.0
2018-07-01,101.0
2018-08-01,103.0
2018-09-01,114.0
2018-10-01,199.0
2018-11-01,110.0
2018-12-01,255.0
2019-01-01,81.0
2019-02-01,56.0
2019-03-01,99.0
2019-04-01,244.0
2019-05-01,532.0
2019-06-01,319.0
2019-07-01,134.0
2019-08-01,149.0
2019-09-01,73.0
2019-10-01,135.0
2019-11-01,58.0
2019-12-01,143.0
2020-01-01,148.0
2020-02-01,135.0
2020-03-01,76.0
2020-04-01,22.0
2020-05-01,46.0
2020-06-01,80.0
2020-07-01,365.0
2020-08-01,105.0
2020-09-01,65.0
2020-10-01,155.0
2020-11-01,257.0
2020-12-01,185.0
2021-01-01,117.0
2021-02-01,186.0
2021-03-01,172.0
2021-04-01,163.0
2021-05-01,124.0
2021-06-01,160.0
2021-07-01,213.0
2021-08-01,163.0
2021-09-01,105.0
2021-10-01,159.0
2021-11-01,234.0
2021-12-01,792.0
2022-01-01,250.0
2022-02-01,89.0
2022-03-01,118.0
2022-04-01,117.0
2022-05-01,253.0
2022-06-01,648.0
2022-07-01,193.0
2022-08-01,225.0
2022-09-01,323.0
2022-10-01,232.0
2022-11-01,261.0
2022-12-01,295.0
2023-01-01,476.0
2023-02-01,188.0
2023-03-01,344.0
2023-04-01,242.0
2023-05-01,289.0
2023-06-01,186.0
2023-07-01,299.0
2023-08-01,394.0
2023-09-01,336.0
2023-10-01,355.0
2023-11-01,300.0
2023-12-01,532.0
2024-01-01,232.0
2024-02-01,419.0
2024-03-01,440.0
2024-04-01,260.0
2024-05-01,507.0
2024-06-01,266.0
2024-07-01,374.0
2024-08-01,365.0
2024-09-01,556.0
2024-10-01,597.0
2024-11-01,334.0
2024-12-01,502.0
2025-01-01,407.0
2025-02-01,338.0
2025-03-01,406.0
2025-04-01,375.0
2025-05-01,355.0
2025-06-01,389.0
2025-07-01,428.0
2025-08-01,420.0
