Tarih,TP_CLI2_A02
2013-10-01,100.6
2013-11-01,100.1
2013-12-01,99.57
2014-01-01,98.72
2014-02-01,98.93
2014-03-01,100.13
2014-04-01,100.43
2014-05-01,100.82
2014-06-01,100.88
2014-07-01,100.78
2014-08-01,99.69
2014-09-01,100.75
2014-10-01,100.57
2014-11-01,100.54
2014-12-01,100.07
2015-01-01,100.08
2015-02-01,100.02
2015-03-01,99.86
2015-04-01,100.02
2015-05-01,100.16
2015-06-01,98.66
2015-07-01,99.19
2015-08-01,99.39
2015-09-01,99.34
2015-10-01,99.4
2015-11-01,99.43
2015-12-01,100.0
2016-01-01,98.99
2016-02-01,98.65
2016-03-01,98.98
2016-04-01,99.71
2016-05-01,99.83
2016-06-01,100.09
2016-07-01,99.11
2016-08-01,99.55
2016-09-01,99.74
2016-10-01,100.11
2016-11-01,100.27
2016-12-01,100.1
2017-01-01,99.49
2017-02-01,100.88
2017-03-01,100.97
2017-04-01,100.59
2017-05-01,100.14
2017-06-01,100.74
2017-07-01,101.4
2017-08-01,101.89
2017-09-01,102.42
2017-10-01,102.16
2017-11-01,102.0
2017-12-01,101.3
2018-01-01,101.95
2018-02-01,101.64
2018-03-01,101.3
2018-04-01,101.09
2018-05-01,100.52
2018-06-01,99.63
2018-07-01,99.69
2018-08-01,98.12
2018-09-01,97.54
2018-10-01,96.76
2018-11-01,98.11
2018-12-01,97.87
2019-01-01,97.89
2019-02-01,98.4
2019-03-01,98.65
2019-04-01,98.92
2019-05-01,98.64
2019-06-01,98.11
2019-07-01,98.08
2019-08-01,98.65
2019-09-01,98.44
2019-10-01,99.61
2019-11-01,99.59
2019-12-01,100.27
2020-01-01,100.4
2020-02-01,100.36
2020-03-01,97.55
2020-04-01,88.07
2020-05-01,93.62
2020-06-01,98.81
2020-07-01,100.55
2020-08-01,101.23
2020-09-01,101.28
2020-10-01,101.21
2020-11-01,100.52
2020-12-01,101.18
2021-01-01,100.51
2021-02-01,100.56
2021-03-01,101.63
2021-04-01,100.7
2021-05-01,101.02
2021-06-01,101.74
2021-07-01,102.32
2021-08-01,102.68
2021-09-01,101.98
2021-10-01,101.69
2021-11-01,102.33
2021-12-01,102.16
2022-01-01,101.39
2022-02-01,102.0
2022-03-01,101.49
2022-04-01,101.4
2022-05-01,101.13
2022-06-01,100.96
2022-07-01,99.75
2022-08-01,100.81
2022-09-01,100.34
2022-10-01,100.15
2022-11-01,99.99
2022-12-01,100.33
2023-01-01,101.25
2023-02-01,100.33
2023-03-01,100.69
2023-04-01,100.73
2023-05-01,101.53
2023-06-01,100.2
2023-07-01,100.99
2023-08-01,100.62
2023-09-01,100.02
2023-10-01,99.67
2023-11-01,99.12
2023-12-01,98.93
2024-01-01,99.37
2024-02-01,99.26
2024-03-01,98.94
2024-04-01,98.51
2024-05-01,98.97
2024-06-01,99.35
2024-07-01,99.14
2024-08-01,98.69
2024-09-01,99.02
2024-10-01,99.74
2024-11-01,100.24
2024-12-01,100.78
2025-01-01,100.24
2025-02-01,100.46
2025-03-01,99.82
2025-04-01,99.51
2025-05-01,99.08
2025-06-01,99.4
2025-07-01,99.59
2025-08-01,99.83
2025-09-01,99.63
