Tarih,TP_FE_OKTG18
2014-05-01,149.13
2014-06-01,148.31
2014-07-01,148.37
2014-08-01,148.18
2014-09-01,148.19
2014-10-01,148.15
2014-11-01,148.2
2014-12-01,147.75
2015-01-01,151.21
2015-02-01,152.89
2015-03-01,153.53
2015-04-01,154.41
2015-05-01,156.08
2015-06-01,155.72
2015-07-01,157.73
2015-08-01,158.6
2015-09-01,162.84
2015-10-01,165.69
2015-11-01,166.0
2015-12-01,165.55
2016-01-01,168.82
2016-02-01,171.07
2016-03-01,171.68
2016-04-01,172.41
2016-05-01,171.83
2016-06-01,172.65
2016-07-01,172.81
2016-08-01,173.86
2016-09-01,173.93
2016-10-01,175.24
2016-11-01,176.23
2016-12-01,178.68
2017-01-01,182.13
2017-02-01,185.3
2017-03-01,189.2
2017-04-01,191.31
2017-05-01,191.16
2017-06-01,189.72
2017-07-01,191.39
2017-08-01,195.17
2017-09-01,196.12
2017-10-01,202.74
2017-11-01,206.49
2017-12-01,210.99
2018-01-01,214.55
2018-02-01,217.55
2018-03-01,219.62
2018-04-01,227.17
2018-05-01,230.29
2018-06-01,237.67
2018-07-01,241.08
2018-08-01,254.32
2018-09-01,287.21
2018-10-01,285.23
2018-11-01,257.88
2018-12-01,256.51
2019-01-01,255.95
2019-02-01,255.57
2019-03-01,253.55
2019-04-01,258.55
2019-05-01,261.1
2019-06-01,262.49
2019-07-01,283.45
2019-08-01,279.42
2019-09-01,279.11
2019-10-01,281.19
2019-11-01,281.4
2019-12-01,282.86
2020-01-01,280.2
2020-02-01,279.38
2020-03-01,282.44
2020-04-01,288.23
2020-05-01,294.78
2020-06-01,303.28
2020-07-01,311.74
2020-08-01,315.94
2020-09-01,327.63
2020-10-01,336.85
2020-11-01,355.98
2020-12-01,368.85
2021-01-01,374.21
2021-02-01,375.14
2021-03-01,376.46
2021-04-01,381.91
2021-05-01,385.4
2021-06-01,396.88
2021-07-01,396.46
2021-08-01,392.42
2021-09-01,400.11
2021-10-01,405.04
2021-11-01,421.48
2021-12-01,549.33
2022-01-01,584.66
2022-02-01,603.76
2022-03-01,634.5
2022-04-01,666.9
2022-05-01,681.2
2022-06-01,706.04
2022-07-01,733.19
2022-08-01,752.63
2022-09-01,760.04
2022-10-01,779.58
2022-11-01,798.72
2022-12-01,813.71
2023-01-01,853.71
2023-02-01,875.01
2023-03-01,889.65
2023-04-01,916.8
2023-05-01,948.73
2023-06-01,1011.75
2023-07-01,1138.1
2023-08-01,1227.06
2023-09-01,1258.71
2023-10-01,1264.1
2023-11-01,1272.44
2023-12-01,1307.64
2024-01-01,1370.43
2024-02-01,1391.05
2024-03-01,1433.32
2024-04-01,1465.97
2024-05-01,1493.63
2024-06-01,1486.15
2024-07-01,1495.32
2024-08-01,1517.69
2024-09-01,1545.29
2024-10-01,1556.12
2024-11-01,1575.82
2024-12-01,1601.29
2025-01-01,1645.24
2025-02-01,1663.53
2025-03-01,1690.63
2025-04-01,1748.63
2025-05-01,1796.31
2025-06-01,1818.66
2025-07-01,1847.25
2025-08-01,1860.76
2025-09-01,1899.86
