Tarih,TP_FE_OKTG25
2014-05-01,135.14
2014-06-01,135.14
2014-07-01,138.16
2014-08-01,138.49
2014-09-01,138.49
2014-10-01,138.68
2014-11-01,138.68
2014-12-01,138.68
2015-01-01,140.46
2015-02-01,141.98
2015-03-01,141.82
2015-04-01,141.67
2015-05-01,141.67
2015-06-01,141.66
2015-07-01,141.78
2015-08-01,142.95
2015-09-01,143.83
2015-10-01,144.37
2015-11-01,144.73
2015-12-01,144.73
2016-01-01,144.73
2016-02-01,144.73
2016-03-01,144.73
2016-04-01,144.93
2016-05-01,146.55
2016-06-01,147.44
2016-07-01,149.66
2016-08-01,149.66
2016-09-01,149.93
2016-10-01,149.93
2016-11-01,150.94
2016-12-01,150.94
2017-01-01,150.94
2017-02-01,151.47
2017-03-01,151.47
2017-04-01,151.37
2017-05-01,152.7
2017-06-01,152.75
2017-07-01,152.81
2017-08-01,152.6
2017-09-01,153.58
2017-10-01,153.58
2017-11-01,153.76
2017-12-01,153.76
2018-01-01,151.78
2018-02-01,152.41
2018-03-01,152.65
2018-04-01,152.65
2018-05-01,153.88
2018-06-01,162.5
2018-07-01,160.98
2018-08-01,164.85
2018-09-01,164.85
2018-10-01,169.02
2018-11-01,169.09
2018-12-01,169.08
2019-01-01,171.07
2019-02-01,171.45
2019-03-01,171.69
2019-04-01,171.7
2019-05-01,172.15
2019-06-01,173.01
2019-07-01,173.86
2019-08-01,174.25
2019-09-01,174.1
2019-10-01,178.36
2019-11-01,179.98
2019-12-01,180.78
2020-01-01,180.63
2020-02-01,180.95
2020-03-01,181.1
2020-04-01,179.95
2020-05-01,180.8
2020-06-01,182.49
2020-07-01,184.75
2020-08-01,185.56
2020-09-01,186.65
2020-10-01,187.28
2020-11-01,187.51
2020-12-01,189.58
2021-01-01,189.82
2021-02-01,191.88
2021-03-01,194.42
2021-04-01,193.39
2021-05-01,195.32
2021-06-01,195.92
2021-07-01,196.17
2021-08-01,198.31
2021-09-01,199.11
2021-10-01,199.99
2021-11-01,201.13
2021-12-01,201.56
2022-01-01,206.41
2022-02-01,208.93
2022-03-01,213.42
2022-04-01,219.53
2022-05-01,223.42
2022-06-01,230.49
2022-07-01,234.69
2022-08-01,238.55
2022-09-01,245.79
2022-10-01,252.33
2022-11-01,259.8
2022-12-01,262.3
2023-01-01,283.64
2023-02-01,286.99
2023-03-01,289.98
2023-04-01,313.23
2023-05-01,322.56
2023-06-01,331.53
2023-07-01,343.92
2023-08-01,361.59
2023-09-01,381.08
2023-10-01,396.64
2023-11-01,417.28
2023-12-01,429.97
2024-01-01,440.14
2024-02-01,467.74
2024-03-01,498.75
2024-04-01,520.95
2024-05-01,532.77
2024-06-01,555.15
2024-07-01,585.44
2024-08-01,589.02
2024-09-01,590.98
2024-10-01,599.84
2024-11-01,611.14
2024-12-01,619.96
2025-01-01,637.46
2025-02-01,660.77
2025-03-01,664.42
2025-04-01,666.94
2025-05-01,666.0
2025-06-01,675.86
2025-07-01,714.19
2025-08-01,726.0
2025-09-01,731.83
