Tarih,TP_YISGUCU2_G2
2014-02-01,27458.0
2014-03-01,28290.0
2014-04-01,28449.0
2014-05-01,28723.0
2014-06-01,29658.0
2014-07-01,28897.0
2014-08-01,28886.0
2014-09-01,29483.0
2014-10-01,28940.0
2014-11-01,28695.0
2014-12-01,28724.0
2015-01-01,28334.0
2015-02-01,28661.0
2015-03-01,29055.0
2015-04-01,29171.0
2015-05-01,29632.0
2015-06-01,30274.0
2015-07-01,29841.0
2015-08-01,30316.0
2015-09-01,30093.0
2015-10-01,30033.0
2015-11-01,29811.0
2015-12-01,29377.0
2016-01-01,29413.0
2016-02-01,29521.0
2016-03-01,29783.0
2016-04-01,30467.0
2016-05-01,30749.0
2016-06-01,30768.0
2016-07-01,30663.0
2016-08-01,31275.0
2016-09-01,30653.0
2016-10-01,31018.0
2016-11-01,30815.0
2016-12-01,30271.0
2017-01-01,30311.0
2017-02-01,30874.0
2017-03-01,30960.0
2017-04-01,31218.0
2017-05-01,31794.0
2017-06-01,31709.0
2017-07-01,31970.0
2017-08-01,32244.0
2017-09-01,31977.0
2017-10-01,31977.0
2017-11-01,31779.0
2017-12-01,31373.0
2018-01-01,31117.0
2018-02-01,31349.0
2018-03-01,31886.0
2018-04-01,31933.0
2018-05-01,32308.0
2018-06-01,32454.0
2018-07-01,32995.0
2018-08-01,32807.0
2018-09-01,32987.0
2018-10-01,32441.0
2018-11-01,32302.0
2018-12-01,31863.0
2019-01-01,31354.0
2019-02-01,32134.0
2019-03-01,32620.0
2019-04-01,32048.0
2019-05-01,32447.0
2019-06-01,32710.0
2019-07-01,33322.0
2019-08-01,33095.0
2019-09-01,33040.0
2019-10-01,32767.0
2019-11-01,32453.0
2019-12-01,32077.0
2020-01-01,31373.0
2020-02-01,31320.0
2020-03-01,29967.0
2020-04-01,28794.0
2020-05-01,29287.0
2020-06-01,30896.0
2020-07-01,31528.0
2020-08-01,31600.0
2020-09-01,31546.0
2020-10-01,31422.0
2020-11-01,30688.0
2020-12-01,30271.0
2021-01-01,31309.0
2021-02-01,31595.0
2021-03-01,32100.0
2021-04-01,32249.0
2021-05-01,31783.0
2021-06-01,32607.0
2021-07-01,33209.0
2021-08-01,33500.0
2021-09-01,33898.0
2021-10-01,33840.0
2021-11-01,33398.0
2021-12-01,33298.0
2022-01-01,33823.0
2022-02-01,33538.0
2022-03-01,33827.0
2022-04-01,34232.0
2022-05-01,34543.0
2022-06-01,34315.0
2022-07-01,33873.0
2022-08-01,34352.0
2022-09-01,34435.0
2022-10-01,34614.0
2022-11-01,35076.0
2022-12-01,35094.0
2023-01-01,35078.0
2023-02-01,34634.0
2023-03-01,34726.0
2023-04-01,35045.0
2023-05-01,35089.0
2023-06-01,34583.0
2023-07-01,34978.0
2023-08-01,34962.0
2023-09-01,34832.0
2023-10-01,34751.0
2023-11-01,34859.0
2023-12-01,35439.0
2024-01-01,35247.0
2024-02-01,35766.0
2024-03-01,35653.0
2024-04-01,35546.0
2024-05-01,36077.0
2024-06-01,35551.0
2024-07-01,35601.0
2024-08-01,35863.0
2024-09-01,35777.0
2024-10-01,35935.0
2024-11-01,35827.0
2024-12-01,35753.0
2025-01-01,35534.0
2025-02-01,34795.0
2025-03-01,34804.0
2025-04-01,35228.0
2025-05-01,35653.0
2025-06-01,35728.0
2025-07-01,36067.0
2025-08-01,36526.0
