Tarih,TP_DF_TE_HACM
2001-02-26,22000000.0
2001-02-27,38774530.56
2001-02-28,55886474.88
2001-03-01,32557728.54
2001-03-02,19558404.5
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,15863520.18
2001-03-12,33860911.48
2001-03-13,16296094.02
2001-03-14,16022493.9
2001-03-15,21531261.44
2001-03-16,25509733.64
2001-03-19,27176659.0
2001-03-20,16763362.16
2001-03-21,35373210.16
2001-03-22,14547608.5
2001-03-23,30401273.14
2001-03-26,60999187.56
2001-03-27,22854949.32
2001-03-28,1773878.0
2001-03-29,10738876.56
2001-03-30,35776173.3
2001-04-02,58344018.02
2001-04-03,29867506.94
2001-04-04,23822040.1
2001-04-05,40757603.76
2001-04-06,16900520.94
2001-04-09,37234217.72
2001-04-10,52500253.42
2001-04-11,21268345.76
2001-04-12,25946841.68
2001-04-13,23884483.02
2001-04-16,23206012.02
2001-04-17,48269030.42
2001-04-18,45308151.92
2001-04-19,24234567.62
2001-04-20,32283224.16
2001-04-23,
2001-04-24,15093157.22
2001-04-25,12813662.68
2001-04-26,27359475.6
2001-04-27,25441054.28
2001-04-30,21586304.66
2001-05-01,6998182.64
2001-05-02,6074960.24
2001-05-03,13603551.76
2001-05-04,11388863.04
2001-05-07,13346516.26
2001-05-08,8111618.6
2001-05-09,6775193.74
2001-05-10,9943574.9
2001-05-11,18599701.42
2001-05-14,11054946.44
2001-05-15,7251788.3
2001-05-16,7615508.84
2001-05-17,8593695.3
2001-05-18,20310570.24
2001-05-21,22108023.64
2001-05-22,8161081.86
2001-05-23,7859692.36
2001-05-24,7388616.9
2001-05-25,4158860.24
2001-05-28,20110905.22
2001-05-29,15385861.06
2001-05-30,29319982.6
2001-05-31,49243582.66
2001-06-01,17293179.62
2001-06-04,6831505.36
2001-06-05,11185394.16
2001-06-06,27082730.7
2001-06-07,11170817.7
2001-06-08,7303919.22
2001-06-11,13184248.1
2001-06-12,29026994.1
2001-06-13,18798631.0
2001-06-14,8849158.04
2001-06-15,27505788.26
2001-06-18,24810875.72
2001-06-19,30596083.2
2001-06-20,14978928.46
2001-06-21,14468718.44
2001-06-22,9697810.42
2001-06-25,43348391.04
2001-06-26,12560345.04
2001-06-27,13142215.28
2001-06-28,27377867.84
2001-06-29,18752557.12
2001-07-02,17532609.98
2001-07-03,1728608.48
2001-07-04,10971192.74
2001-07-05,16882370.14
2001-07-06,26680447.74
2001-07-09,21213822.66
2001-07-10,20020858.8
2001-07-11,25337205.82
2001-07-12,16532834.08
2001-07-13,17407098.42
2001-07-16,16929523.28
2001-07-17,13245107.62
2001-07-18,8110392.84
2001-07-19,9729310.58
2001-07-20,6141996.46
2001-07-23,358647.88
2001-07-24,2840026.58
2001-07-25,1602278.82
2001-07-26,5478360.9
2001-07-27,5337827.16
2001-07-30,10085511.9
2001-07-31,2811315.0
2001-08-01,3653806.24
2001-08-02,3920623.36
2001-08-03,3838460.8
2001-08-06,12164986.76
2001-08-07,3799532.18
2001-08-08,6014784.28
2001-08-09,2413915.46
2001-08-10,4212415.0
2001-08-13,7040526.64
2001-08-14,6909888.24
2001-08-15,9434694.0
2001-08-16,15004398.14
2001-08-17,13336920.8
2001-08-20,2348292.96
2001-08-21,4561141.0
2001-08-22,7120814.4
2001-08-23,9060525.64
2001-08-24,5200000.0
2001-08-27,3303477.54
2001-08-28,8377244.8
2001-08-29,4924428.0
2001-08-30,
2001-08-31,6851282.02
2001-09-03,6322439.44
2001-09-04,13026654.96
2001-09-05,12018441.26
2001-09-06,18435537.3
2001-09-07,9695665.6
2001-09-10,13042827.72
2001-09-11,3600000.0
2001-09-12,9734299.2
2001-09-13,13060837.4
2001-09-14,8448975.96
2001-09-17,11543105.24
2001-09-18,4228868.86
2001-09-19,2502047.22
2001-09-20,2378769.96
2001-09-21,4085682.54
2001-09-24,6374178.48
2001-09-25,4411288.32
2001-09-26,6326110.36
2001-09-27,3153767.44
2001-09-28,4258357.04
2001-10-01,9738564.8
2001-10-02,4243876.82
2001-10-03,963177.54
2001-10-04,5084827.6
2001-10-05,6425813.52
2001-10-08,7054131.48
2001-10-09,4306715.52
2001-10-10,6207214.98
2001-10-11,8591509.14
2001-10-12,8616879.04
2001-10-15,11234614.58
2001-10-16,5588893.02
2001-10-17,7361404.16
2001-10-18,5937448.6
2001-10-19,5200822.58
2001-10-22,2921143.0
2001-10-23,3316746.0
2001-10-24,7418970.96
2001-10-25,4623267.2
2001-10-26,7599519.06
2001-10-29,
2001-10-30,10010286.64
2001-10-31,5056193.2
2001-11-01,4401354.5
2001-11-02,7676832.66
2001-11-05,5423014.64
2001-11-06,5799944.88
2001-11-07,4916440.26
2001-11-08,4521859.5
2001-11-09,5500340.76
2001-11-12,10833172.62
2001-11-13,3459431.9
2001-11-14,3510970.7
2001-11-15,3675343.6
2001-11-16,2165833.02
2001-11-19,3875213.64
2001-11-20,3137278.38
2001-11-21,4061541.12
2001-11-22,5078743.16
2001-11-23,2718017.26
2001-11-26,3101461.0
2001-11-27,2704527.56
2001-11-28,2156260.22
2001-11-29,4527663.12
2001-11-30,5093991.9
2001-12-03,4151715.0
2001-12-04,2077719.4
2001-12-05,2439284.48
2001-12-06,2764735.28
2001-12-07,4836339.64
2001-12-10,3753718.72
2001-12-11,1810586.22
2001-12-12,1493100.72
2001-12-13,3244622.24
2001-12-14,1967394.04
2001-12-17,
2001-12-18,
2001-12-19,2122984.5
2001-12-20,3167598.3
2001-12-21,7184869.06
2001-12-24,3714088.36
2001-12-25,2692871.8
2001-12-26,1800360.44
2001-12-27,1655957.5
2001-12-28,4927663.02
2001-12-31,4403177.28
2002-01-01,
2002-01-02,2919964.02
2002-01-03,5809000.0
2002-01-04,4107882.24
2002-01-07,4073923.78
2002-01-08,1163876.2
2002-01-09,1912480.0
2002-01-10,2182408.5
2002-01-11,764530.68
2002-01-14,1478578.8
2002-01-15,1130043.02
2002-01-16,4827677.58
2002-01-17,3418523.96
2002-01-18,2485581.98
2002-01-21,3865279.44
2002-01-22,2214400.0
2002-01-23,2580629.2
2002-01-24,400000.0
2002-01-25,4202880.0
2002-01-28,3215187.9
2002-01-29,2405496.74
2002-01-30,2520972.54
2002-01-31,3434760.0
2002-02-01,5090320.0
2002-02-04,6000000.0
2002-02-05,7905584.28
2002-02-06,6400000.0
2002-02-07,9439560.0
2002-02-08,10664118.58
2002-02-11,13526086.3
2002-02-12,5200000.0
2002-02-13,2800000.0
2002-02-14,3200000.0
2002-02-15,11813028.22
2002-02-18,5548200.0
2002-02-19,4926896.8
2002-02-20,2000000.0
2002-02-21,800000.0
2002-02-22,
2002-02-25,
2002-02-26,4299200.0
2002-02-27,3841960.0
2002-02-28,3383520.0
2002-03-01,3600000.0
2002-03-04,2400000.0
2002-03-05,4637520.0
2002-03-06,1947280.0
2002-03-07,3600000.0
2002-03-08,3600000.0
2002-03-11,351480.0
2002-03-12,400000.0
2002-03-13,2000000.0
2002-03-14,1200000.0
2002-03-15,800000.0
2002-03-18,1200000.0
2002-03-19,1600000.0
2002-03-20,
2002-03-21,
2002-03-22,1200000.0
2002-03-25,
2002-03-26,2350360.0
2002-03-27,800000.0
2002-03-28,2000000.0
2002-03-29,3600000.0
2002-04-01,1846760.0
2002-04-02,800000.0
2002-04-03,4800000.0
2002-04-04,800000.0
2002-04-05,2800000.0
2002-04-08,1600000.0
2002-04-09,2800000.0
2002-04-10,1600000.0
2002-04-11,
2002-04-12,2400000.0
2002-04-15,1600000.0
2002-04-16,3152400.0
2002-04-17,400000.0
2002-04-18,1909840.0
2002-04-19,400000.0
2002-04-22,2312320.0
2002-04-23,
2002-04-24,1200000.0
2002-04-25,2400000.0
2002-04-26,1958680.0
2002-04-29,717600.0
2002-04-30,2000000.0
2002-05-01,2360840.0
2002-05-02,1200000.0
2002-05-03,400000.0
2002-05-06,400000.0
2002-05-07,
2002-05-08,800000.0
2002-05-09,3200000.0
2002-05-10,800000.0
2002-05-13,800000.0
2002-05-14,800000.0
2002-05-15,400000.0
2002-05-16,3522240.0
2002-05-17,1600000.0
2002-05-20,2331920.0
2002-05-21,1600000.0
2002-05-22,
2002-05-23,400000.0
2002-05-24,1509160.0
2002-05-27,367520.0
2002-05-28,3167960.0
2002-05-29,1110360.0
2002-05-30,3887840.0
2002-05-31,2400000.0
2002-06-03,1600000.0
2002-06-04,3172800.0
2002-06-05,1177400.0
2002-06-06,375240.0
2002-06-07,800000.0
2002-06-10,1978120.0
2002-06-11,1555520.0
2002-06-12,777880.0
2002-06-13,
2002-06-14,400000.0
2002-06-17,
2002-06-18,
2002-06-19,400000.0
2002-06-20,400000.0
2002-06-21,1600000.0
2002-06-24,400000.0
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,1200000.0
