Tarih,TP_TLDTHVADE_KB2,TP_TLDTHVADE_KB2
2008-03-28,2008-13,66087612.0
2008-04-04,2008-14,67828161.0
2008-04-11,2008-15,71592979.0
2008-04-18,2008-16,71476701.0
2008-04-25,2008-17,72140632.0
2008-05-02,2008-18,67548700.0
2008-05-09,2008-19,67942643.0
2008-05-16,2008-20,66344148.0
2008-05-23,2008-21,66842768.0
2008-05-30,2008-22,64001784.0
2008-06-06,2008-23,64647295.0
2008-06-13,2008-24,67465830.0
2008-06-20,2008-25,68621307.0
2008-06-27,2008-26,71278261.0
2008-07-04,2008-27,74970804.0
2008-07-11,2008-28,73131471.0
2008-07-18,2008-29,72731236.0
2008-07-25,2008-30,74051070.0
2008-08-01,2008-31,72257077.0
2008-08-08,2008-32,71462317.0
2008-08-15,2008-33,70477121.0
2008-08-22,2008-34,66456312.0
2008-08-29,2008-35,65438348.0
2008-09-05,2008-36,63394243.0
2008-09-12,2008-37,65059734.0
2008-09-19,2008-38,66163496.0
2008-09-26,2008-39,68275484.0
2008-10-03,2008-40,72139365.0
2008-10-10,2008-41,82556044.0
2008-10-17,2008-42,84710847.0
2008-10-24,2008-43,86844085.0
2008-10-31,2008-44,89308483.0
2008-11-07,2008-45,86266602.0
2008-11-14,2008-46,83010786.0
2008-11-21,2008-47,82178131.0
2008-11-28,2008-48,78643743.0
2008-12-05,2008-49,73763939.0
2008-12-12,2008-50,76089188.0
2008-12-19,2008-51,80214099.0
2008-12-26,2008-52,80807729.0
2009-01-02,2009-1,83647478.0
2009-01-09,2009-2,86256147.0
2009-01-16,2009-3,82800894.0
2009-01-23,2009-4,83302938.0
2009-01-30,2009-5,81633358.0
2009-02-06,2009-6,80354213.0
2009-02-13,2009-7,81696198.0
2009-02-20,2009-8,83160255.0
2009-02-27,2009-9,83639095.0
2009-03-06,2009-10,85520460.0
2009-03-13,2009-11,87285544.0
2009-03-20,2009-12,85722401.0
2009-03-27,2009-13,84570603.0
2009-04-03,2009-14,83431966.0
2009-04-10,2009-15,82230011.0
2009-04-17,2009-16,81301525.0
2009-04-24,2009-17,85037029.0
2009-05-01,2009-18,82119248.0
2009-05-08,2009-19,84110094.0
2009-05-15,2009-20,82561044.0
2009-05-22,2009-21,80766476.0
2009-05-29,2009-22,77223324.0
2009-06-05,2009-23,77793099.0
2009-06-12,2009-24,78098016.0
2009-06-19,2009-25,80176546.0
2009-06-26,2009-26,81622338.0
2009-07-03,2009-27,82107339.0
2009-07-10,2009-28,84300828.0
2009-07-17,2009-29,82511640.0
2009-07-24,2009-30,82431347.0
2009-07-31,2009-31,81147436.0
2009-08-07,2009-32,82220658.0
2009-08-14,2009-33,81949632.0
2009-08-21,2009-34,81519820.0
2009-08-28,2009-35,81251807.0
2009-09-04,2009-36,82849373.0
2009-09-11,2009-37,82947079.0
2009-09-18,2009-38,81094540.0
2009-09-25,2009-39,83569794.0
2009-10-02,2009-40,81553552.0
2009-10-09,2009-41,83527458.0
2009-10-16,2009-42,83240241.0
2009-10-23,2009-43,85384953.0
2009-10-30,2009-44,84449538.0
2009-11-06,2009-45,87645605.0
2009-11-13,2009-46,86245096.0
2009-11-20,2009-47,85945640.0
2009-11-27,2009-48,86492924.0
2009-12-04,2009-49,84628273.0
2009-12-11,2009-50,85539523.0
2009-12-18,2009-51,84513219.0
2009-12-25,2009-52,85575813.0
2010-01-01,2010-1,84433602.0
2010-01-08,2010-2,92124038.0
2010-01-15,2010-3,94330061.0
2010-01-22,2010-4,94796082.0
2010-01-29,2010-5,93432966.0
2010-02-05,2010-6,93992989.0
2010-02-12,2010-7,95715602.0
2010-02-19,2010-8,94626649.0
2010-02-26,2010-9,95358208.0
2010-03-05,2010-10,96619243.0
2010-03-12,2010-11,96026546.0
2010-03-19,2010-12,96661229.0
2010-03-26,2010-13,96510680.0
2010-04-02,2010-14,95514330.0
2010-04-09,2010-15,97473380.0
2010-04-16,2010-16,96971700.0
2010-04-23,2010-17,97447302.0
2010-04-30,2010-18,98407037.0
2010-05-07,2010-19,105429767.0
2010-05-14,2010-20,104916384.0
2010-05-21,2010-21,106416777.0
2010-05-28,2010-22,106467684.0
2010-06-04,2010-23,104211611.0
2010-06-11,2010-24,104196658.0
2010-06-18,2010-25,101883644.0
2010-06-25,2010-26,106354696.0
2010-07-02,2010-27,106752261.0
2010-07-09,2010-28,108331985.0
2010-07-16,2010-29,106550601.0
2010-07-23,2010-30,107717852.0
2010-07-30,2010-31,105024738.0
2010-08-06,2010-32,104811167.0
2010-08-13,2010-33,101320075.0
2010-08-20,2010-34,101391774.0
2010-08-27,2010-35,100603739.0
2010-09-03,2010-36,102973448.0
2010-09-10,2010-37,106029273.0
2010-09-17,2010-38,104537296.0
2010-09-24,2010-39,105994790.0
2010-10-01,2010-40,101711357.0
2010-10-08,2010-41,106390450.0
2010-10-15,2010-42,103370481.0
2010-10-22,2010-43,100287623.0
2010-10-29,2010-44,99155610.0
2010-11-05,2010-45,101240798.0
2010-11-12,2010-46,99983849.0
2010-11-19,2010-47,
2010-11-26,2010-48,108465518.0
2010-12-03,2010-49,110861121.0
2010-12-10,2010-50,111140676.0
2010-12-17,2010-51,112822828.0
2010-12-24,2010-52,107175619.0
2010-12-31,2010-53,100440311.0
2011-01-07,2011-1,100600918.0
2011-01-14,2011-2,96270092.0
2011-01-21,2011-3,95221123.0
2011-01-28,2011-4,94147943.0
2011-02-04,2011-5,92127866.0
2011-02-11,2011-6,91005913.0
2011-02-18,2011-7,87625323.0
2011-02-25,2011-8,87184274.0
2011-03-04,2011-9,85594621.0
2011-03-11,2011-10,84400889.0
2011-03-18,2011-11,84745627.0
2011-03-25,2011-12,82644619.0
2011-04-01,2011-13,78012635.0
2011-04-08,2011-14,76420099.0
2011-04-15,2011-15,71986532.0
2011-04-22,2011-16,71827415.0
2011-04-29,2011-17,67483661.0
2011-05-06,2011-18,68235505.0
2011-05-13,2011-19,69370288.0
2011-05-20,2011-20,64882936.0
2011-05-27,2011-21,65031634.0
2011-06-03,2011-22,65797452.0
2011-06-10,2011-23,64045029.0
2011-06-17,2011-24,61156538.0
2011-06-24,2011-25,62550035.0
2011-07-01,2011-26,59625094.0
2011-07-08,2011-27,60438882.0
2011-07-15,2011-28,59503206.0
2011-07-22,2011-29,57749906.0
2011-07-29,2011-30,59832224.0
2011-08-05,2011-31,58655163.0
2011-08-12,2011-32,60076553.0
2011-08-19,2011-33,55921683.0
2011-08-26,2011-34,55533777.0
2011-09-02,2011-35,55238166.0
2011-09-09,2011-36,58784520.0
2011-09-16,2011-37,56522862.0
2011-09-23,2011-38,57541300.0
2011-09-30,2011-39,55375670.0
2011-10-07,2011-40,56631752.0
2011-10-14,2011-41,54439493.0
2011-10-21,2011-42,54749349.0
2011-10-28,2011-43,51604804.0
2011-11-04,2011-44,52584647.0
2011-11-11,2011-45,54342857.0
2011-11-18,2011-46,52737592.0
2011-11-25,2011-47,55078165.0
2011-12-02,2011-48,56393885.0
2011-12-09,2011-49,57135197.0
2011-12-16,2011-50,57299871.0
2011-12-23,2011-51,58595971.0
2011-12-30,2011-52,57110069.0
2012-01-06,2012-1,55148495.0
2012-01-13,2012-2,53648982.0
2012-01-20,2012-3,50870464.0
2012-01-27,2012-4,51285645.0
2012-02-03,2012-5,50020563.0
2012-02-10,2012-6,53875310.0
2012-02-17,2012-7,50477408.0
2012-02-24,2012-8,53563068.0
2012-03-02,2012-9,51345988.0
2012-03-09,2012-10,55750233.0
2012-03-16,2012-11,52529872.0
2012-03-23,2012-12,54739395.0
2012-03-30,2012-13,54732550.0
2012-04-06,2012-14,57004272.0
2012-04-13,2012-15,53779242.0
2012-04-20,2012-16,54275282.0
2012-04-27,2012-17,51499804.0
2012-05-04,2012-18,53942918.0
2012-05-11,2012-19,53043918.0
2012-05-18,2012-20,53047229.0
2012-05-25,2012-21,53664235.0
2012-06-01,2012-22,51467084.0
2012-06-08,2012-23,50639617.0
2012-06-15,2012-24,51972680.0
2012-06-22,2012-25,51256412.0
2012-06-29,2012-26,51464336.0
