Tarih,TP_PBD_K05
2024-03-01,1440266134.0
2024-04-01,1416946790.0
2024-05-01,1664368393.0
2024-06-01,1947258494.0
2024-07-01,2039425784.0
2024-08-01,2216743434.0
2024-09-01,2200182522.0
2024-10-01,2329625156.0
2024-11-01,2201021230.0
2024-12-01,2467793602.0
2025-01-01,2668286902.0
2025-02-01,2702174762.0
2025-03-01,2843665636.0
2025-04-01,2521813951.0
2025-05-01,2462578112.0
2025-06-01,2461237530.0
2025-07-01,2962783976.0
2025-08-01,2889211679.0
