Tarih,TP_DOVVARSB_K4
2012-08-01,-161.0
2012-09-01,-155.0
2012-10-01,-129.0
2012-11-01,-79.0
2012-12-01,-172.0
2013-01-01,-249.0
2013-02-01,-175.0
2013-03-01,-146.0
2013-04-01,-125.0
2013-05-01,-79.0
2013-06-01,-168.0
2013-07-01,-257.0
2013-08-01,-205.0
2013-09-01,-139.0
2013-10-01,-124.0
2013-11-01,-78.0
2013-12-01,-186.0
2014-01-01,-270.0
2014-02-01,-183.0
2014-03-01,-146.0
2014-04-01,-127.0
2014-05-01,-80.0
2014-06-01,-201.0
2014-07-01,-301.0
2014-08-01,-202.0
2014-09-01,-145.0
2014-10-01,-125.0
2014-11-01,-79.0
2014-12-01,-199.0
2015-01-01,-291.0
2015-02-01,-210.0
2015-03-01,-165.0
2015-04-01,-140.0
2015-05-01,-92.0
2015-06-01,-187.0
2015-07-01,-266.0
2015-08-01,-194.0
2015-09-01,-188.0
2015-10-01,-170.0
2015-11-01,-95.0
2015-12-01,-170.0
2016-01-01,-248.0
2016-02-01,-164.0
2016-03-01,-167.0
2016-04-01,-197.0
2016-05-01,-123.0
2016-06-01,-173.0
2016-07-01,-219.0
2016-08-01,-171.0
2016-09-01,-210.0
2016-10-01,-232.0
2016-11-01,-146.0
2016-12-01,-186.0
2017-01-01,-237.0
2017-02-01,-172.0
2017-03-01,-203.0
2017-04-01,-225.0
2017-05-01,-129.0
2017-06-01,-183.0
2017-07-01,-263.0
2017-08-01,-223.0
2017-09-01,-309.0
2017-10-01,-294.0
2017-11-01,-158.0
2017-12-01,-204.0
2018-01-01,-288.0
2018-02-01,-255.0
2018-03-01,-334.0
2018-04-01,-314.0
2018-05-01,-145.0
2018-06-01,-206.0
2018-07-01,-280.0
2018-08-01,-234.0
2018-09-01,-389.0
2018-10-01,-382.0
2018-11-01,-203.0
2018-12-01,-256.0
2019-01-01,-283.0
2019-02-01,-226.0
2019-03-01,-347.0
2019-04-01,-354.0
2019-05-01,-191.0
2019-06-01,-267.0
2019-07-01,-332.0
2019-08-01,-250.0
2019-09-01,-387.0
2019-10-01,-405.0
2019-11-01,-231.0
2019-12-01,-291.0
2020-01-01,-317.0
2020-02-01,-244.0
2020-03-01,-403.0
2020-04-01,-405.0
2020-05-01,-201.0
2020-06-01,-278.0
2020-07-01,-327.0
2020-08-01,-241.0
2020-09-01,-474.0
2020-10-01,-486.0
2020-11-01,-242.0
2020-12-01,-1538.0
2021-01-01,-1553.0
2021-02-01,-277.0
2021-03-01,-461.0
2021-04-01,-455.0
2021-05-01,-195.0
2021-06-01,-277.0
2021-07-01,-325.0
2021-08-01,-247.0
2021-09-01,-429.0
2021-10-01,-423.0
2021-11-01,-203.0
2021-12-01,-287.0
2022-01-01,-410.0
2022-02-01,-345.0
2022-03-01,-398.0
2022-04-01,-368.0
2022-05-01,-183.0
2022-06-01,-291.0
2022-07-01,-392.0
2022-08-01,-277.0
2022-09-01,-393.0
2022-10-01,-959.0
2022-11-01,-779.0
2022-12-01,-1664.0
2023-01-01,-1794.0
2023-02-01,-318.0
2023-03-01,-432.0
2023-04-01,-578.0
2023-05-01,-362.0
2023-06-01,-396.0
2023-07-01,-594.0
2023-08-01,-408.0
2023-09-01,-417.0
2023-10-01,-424.0
2023-11-01,-239.0
2023-12-01,-503.0
2024-01-01,-861.0
2024-02-01,-611.0
2024-03-01,-410.0
2024-04-01,-390.0
2024-05-01,-374.0
2024-06-01,-608.0
2024-07-01,-764.0
2024-08-01,-561.0
2024-09-01,-413.0
2024-10-01,-360.0
2024-11-01,-324.0
2024-12-01,-1387.0
2025-01-01,-1280.0
2025-02-01,-278.0
2025-03-01,-1381.0
2025-04-01,-1396.0
2025-05-01,-330.0
2025-06-01,-492.0
2025-07-01,-395.0
2025-08-01,-554.0
2025-09-01,-659.0
