Tarih,TP_IN_KL2_HALK_DEV_B
2023-01-01,59063.7
2023-02-01,18213.8
2023-03-01,34488.8
2023-04-01,30232.8
2023-05-01,24419.3
2023-06-01,308.0
2023-07-01,75346.2
2023-08-01,10193.0
2023-09-01,88607.8
2023-10-01,124215.0
2023-11-01,22544.9
2023-12-01,84183.5
2024-01-01,
2024-02-01,57690.0
2024-03-01,16862.7
2024-04-01,1298.6
2024-05-01,14135.2
2024-06-01,40178.7
2024-07-01,34069.3
2024-08-01,18143.9
2024-09-01,25424.1
2024-10-01,53893.5
2024-11-01,23304.9
2024-12-01,19831.7
2025-01-01,26346.7
2025-02-01,6201.0
2025-03-01,25766.8
2025-04-01,30190.3
2025-05-01,23380.1
2025-06-01,20193.0
