Tarih,TP_YD03
2014-11-01,228.0
2014-12-01,324.0
2015-01-01,977.0
2015-02-01,280.0
2015-03-01,650.0
2015-04-01,140.0
2015-05-01,285.0
2015-06-01,461.0
2015-07-01,777.0
2015-08-01,1449.0
2015-09-01,86.0
2015-10-01,239.0
2015-11-01,274.0
2015-12-01,167.0
2016-01-01,174.0
2016-02-01,53.0
2016-03-01,350.0
2016-04-01,341.0
2016-05-01,214.0
2016-06-01,226.0
2016-07-01,514.0
2016-08-01,116.0
2016-09-01,113.0
2016-10-01,83.0
2016-11-01,152.0
2016-12-01,784.0
2017-01-01,54.0
2017-02-01,117.0
2017-03-01,176.0
2017-04-01,284.0
2017-05-01,154.0
2017-06-01,202.0
2017-07-01,138.0
2017-08-01,39.0
2017-09-01,76.0
2017-10-01,75.0
2017-11-01,181.0
2017-12-01,526.0
2018-01-01,111.0
2018-02-01,109.0
2018-03-01,716.0
2018-04-01,85.0
2018-05-01,53.0
2018-06-01,141.0
2018-07-01,142.0
2018-08-01,99.0
2018-09-01,180.0
2018-10-01,341.0
2018-11-01,272.0
2018-12-01,457.0
2019-01-01,114.0
2019-02-01,81.0
2019-03-01,484.0
2019-04-01,46.0
2019-05-01,83.0
2019-06-01,41.0
2019-07-01,180.0
2019-08-01,363.0
2019-09-01,165.0
2019-10-01,116.0
2019-11-01,151.0
2019-12-01,282.0
2020-01-01,113.0
2020-02-01,83.0
2020-03-01,218.0
2020-04-01,42.0
2020-05-01,63.0
2020-06-01,99.0
2020-07-01,65.0
2020-08-01,54.0
2020-09-01,59.0
2020-10-01,19.0
2020-11-01,117.0
2020-12-01,256.0
2021-01-01,64.0
2021-02-01,302.0
2021-03-01,295.0
2021-04-01,80.0
2021-05-01,104.0
2021-06-01,82.0
2021-07-01,115.0
2021-08-01,65.0
2021-09-01,200.0
2021-10-01,192.0
2021-11-01,69.0
2021-12-01,282.0
2022-01-01,285.0
2022-02-01,34.0
2022-03-01,86.0
2022-04-01,171.0
2022-05-01,130.0
2022-06-01,136.0
2022-07-01,195.0
2022-08-01,99.0
2022-09-01,468.0
2022-10-01,118.0
2022-11-01,260.0
2022-12-01,117.0
2023-01-01,125.0
2023-02-01,207.0
2023-03-01,374.0
2023-04-01,354.0
2023-05-01,153.0
2023-06-01,26.0
2023-07-01,176.0
2023-08-01,176.0
2023-09-01,77.0
2023-10-01,325.0
2023-11-01,127.0
2023-12-01,294.0
2024-01-01,266.0
2024-02-01,109.0
2024-03-01,179.0
2024-04-01,118.0
2024-05-01,137.0
2024-06-01,183.0
2024-07-01,373.0
2024-08-01,141.0
2024-09-01,221.0
2024-10-01,180.0
2024-11-01,292.0
2024-12-01,419.0
2025-01-01,94.0
2025-02-01,127.0
2025-03-01,192.0
2025-04-01,176.0
2025-05-01,166.0
2025-06-01,358.0
2025-07-01,970.0
2025-08-01,173.0
