Tarih,TP_YD22
2014-10-01,210.0
2014-11-01,493.0
2014-12-01,775.0
2015-01-01,518.0
2015-02-01,484.0
2015-03-01,520.0
2015-04-01,111.0
2015-05-01,347.0
2015-06-01,157.0
2015-07-01,2315.0
2015-08-01,110.0
2015-09-01,302.0
2015-10-01,68.0
2015-11-01,142.0
2015-12-01,1291.0
2016-01-01,330.0
2016-02-01,115.0
2016-03-01,233.0
2016-04-01,307.0
2016-05-01,154.0
2016-06-01,430.0
2016-07-01,285.0
2016-08-01,464.0
2016-09-01,245.0
2016-10-01,210.0
2016-11-01,392.0
2016-12-01,1256.0
2017-01-01,230.0
2017-02-01,109.0
2017-03-01,1558.0
2017-04-01,203.0
2017-05-01,764.0
2017-06-01,298.0
2017-07-01,315.0
2017-08-01,323.0
2017-09-01,165.0
2017-10-01,966.0
2017-11-01,119.0
2017-12-01,300.0
2018-01-01,220.0
2018-02-01,163.0
2018-03-01,116.0
2018-04-01,142.0
2018-05-01,379.0
2018-06-01,655.0
2018-07-01,217.0
2018-08-01,507.0
2018-09-01,186.0
2018-10-01,185.0
2018-11-01,353.0
2018-12-01,836.0
2019-01-01,501.0
2019-02-01,262.0
2019-03-01,354.0
2019-04-01,179.0
2019-05-01,351.0
2019-06-01,673.0
2019-07-01,383.0
2019-08-01,325.0
2019-09-01,195.0
2019-10-01,146.0
2019-11-01,114.0
2019-12-01,269.0
2020-01-01,476.0
2020-02-01,1149.0
2020-03-01,222.0
2020-04-01,237.0
2020-05-01,117.0
2020-06-01,96.0
2020-07-01,790.0
2020-08-01,187.0
2020-09-01,301.0
2020-10-01,78.0
2020-11-01,150.0
2020-12-01,783.0
2021-01-01,77.0
2021-02-01,268.0
2021-03-01,57.0
2021-04-01,71.0
2021-05-01,121.0
2021-06-01,304.0
2021-07-01,877.0
2021-08-01,1517.0
2021-09-01,892.0
2021-10-01,171.0
2021-11-01,294.0
2021-12-01,501.0
2022-01-01,204.0
2022-02-01,168.0
2022-03-01,197.0
2022-04-01,598.0
2022-05-01,1479.0
2022-06-01,366.0
2022-07-01,193.0
2022-08-01,142.0
2022-09-01,202.0
2022-10-01,331.0
2022-11-01,667.0
2022-12-01,246.0
2023-01-01,149.0
2023-02-01,130.0
2023-03-01,125.0
2023-04-01,599.0
2023-05-01,189.0
2023-06-01,160.0
2023-07-01,381.0
2023-08-01,130.0
2023-09-01,137.0
2023-10-01,363.0
2023-11-01,527.0
2023-12-01,531.0
2024-01-01,154.0
2024-02-01,130.0
2024-03-01,429.0
2024-04-01,374.0
2024-05-01,419.0
2024-06-01,309.0
2024-07-01,236.0
2024-08-01,163.0
2024-09-01,219.0
2024-10-01,238.0
2024-11-01,430.0
2024-12-01,798.0
2025-01-01,846.0
2025-02-01,289.0
2025-03-01,248.0
2025-04-01,265.0
2025-05-01,258.0
2025-06-01,882.0
2025-07-01,1045.0
2025-08-01,1346.0
