Tarih,TP_ODEROLL_K3
2015-04-01,105.0
2015-05-01,104.9
2015-06-01,103.68
2015-07-01,102.89
2015-08-01,103.75
2015-09-01,100.65
2015-10-01,100.41
2015-11-01,98.43
2015-12-01,98.59
2016-01-01,97.88
2016-02-01,99.06
2016-03-01,98.3
2016-04-01,99.41
2016-05-01,99.96
2016-06-01,101.56
2016-07-01,101.91
2016-08-01,99.86
2016-09-01,100.23
2016-10-01,100.6
2016-11-01,99.62
2016-12-01,95.95
2017-01-01,95.7
2017-02-01,97.16
2017-03-01,99.36
2017-04-01,97.46
2017-05-01,100.23
2017-06-01,104.24
2017-07-01,102.07
2017-08-01,101.9
2017-09-01,102.09
2017-10-01,103.97
2017-11-01,102.38
2017-12-01,102.28
2018-01-01,104.02
2018-02-01,104.61
2018-03-01,102.3
2018-04-01,101.18
2018-05-01,101.92
2018-06-01,100.17
2018-07-01,98.81
2018-08-01,95.95
2018-09-01,93.06
2018-10-01,89.54
2018-11-01,86.14
2018-12-01,83.49
2019-01-01,83.31
2019-02-01,86.08
2019-03-01,92.96
2019-04-01,95.78
2019-05-01,97.31
2019-06-01,97.03
2019-07-01,94.94
2019-08-01,93.38
2019-09-01,91.18
2019-10-01,87.74
2019-11-01,88.54
2019-12-01,91.24
2020-01-01,91.83
2020-02-01,92.49
2020-03-01,92.16
2020-04-01,95.21
2020-05-01,94.86
2020-06-01,94.51
2020-07-01,97.73
2020-08-01,98.96
2020-09-01,100.87
2020-10-01,99.93
2020-11-01,99.48
2020-12-01,102.89
2021-01-01,102.56
2021-02-01,101.07
2021-03-01,100.98
2021-04-01,101.51
2021-05-01,100.85
2021-06-01,98.02
2021-07-01,96.19
2021-08-01,96.52
2021-09-01,94.93
2021-10-01,94.11
2021-11-01,95.26
2021-12-01,94.17
2022-01-01,94.43
2022-02-01,93.66
2022-03-01,93.83
2022-04-01,96.03
2022-05-01,94.02
2022-06-01,93.36
2022-07-01,93.02
2022-08-01,94.43
2022-09-01,93.85
2022-10-01,91.92
2022-11-01,91.9
2022-12-01,91.86
2023-01-01,91.45
2023-02-01,94.05
2023-03-01,94.59
2023-04-01,96.68
2023-05-01,99.89
2023-06-01,100.6
2023-07-01,102.21
2023-08-01,101.28
2023-09-01,106.28
2023-10-01,107.34
2023-11-01,113.19
2023-12-01,112.89
2024-01-01,116.88
2024-02-01,119.93
2024-03-01,120.29
2024-04-01,120.16
2024-05-01,116.93
2024-06-01,124.89
2024-07-01,125.1
2024-08-01,121.69
2024-09-01,123.6
2024-10-01,129.82
2024-11-01,127.78
2024-12-01,128.92
2025-01-01,132.85
2025-02-01,132.97
2025-03-01,132.93
2025-04-01,119.01
2025-05-01,122.04
2025-06-01,119.2
2025-07-01,118.07
2025-08-01,121.8
